  75:  R.r 0x1293f  R.r 0x0303f  R.r 0x1373f  R.r 0x03e3f
  83:  R.r 0x02a3f  R.r 0x1313f  R.r 0x0383f  R.r 0x13f3f
  91:  R.r 0x12b3f  R.r 0x0323f  R.r 0x1393f  R.r 0x0407f
  99:  R.r 0x02c3f  R.r 0x1333f  R.r 0x03a3f  R.r 0x1417f
 107:  R.r 0x12d3f  R.r 0x0343f  R.r 0x13b3f  R.r 0x0427f
 115:  R.r 0x02e3f  R.r 0x1353f  R.r 0x03c3f  R.r 0x1437f
 123:  R.r 0x12f3f  R.r 0x0363f  R.r 0x13d3f  R.r 0x0447f
 231:  R.d 0x1ffff  R.d 0x1ffff  R.d 0x1ffff  R.d 0x1ffff
 239:  R.d 0x1ffff  R.d 0x1ffff  R.d 0x1ffff  R.d 0x1ffff
 247:  R.n 0x07e80  R.n 0x07e80  R.n 0x07e80  R.n 0x07ea8
 251:  Rbn 0x07e81  Rbn 0x07e81  Rbn 0x07e81  Rbn 0x07ea9
 255:  RbN 0x17e81  RbN 0x17e81  RbN 0x17e81  RbN 0x17ea9
 259:  RbN 0x17e81  RbN 0x17e81  RbN 0x17e81  RbN 0x17ea9
 265:  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff
 271:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 277:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 283:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 289:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 295:  R.n 0x07e82  R.n 0x07e82  R.n 0x07e82  R.n 0x07eaa
 299:  Rbn 0x07e83  Rbn 0x07e83  Rbn 0x07e83  Rbn 0x07eab
 303:  RbN 0x17e83  RbN 0x17e83  RbN 0x17e83  RbN 0x17eab
 307:  RbN 0x17e83  RbN 0x17e83  RbN 0x17e83  RbN 0x17eab
 319:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 325:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 331:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 337:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 343:  R.n 0x07e84  R.n 0x07e84  R.n 0x07e84  R.n 0x07eac
 347:  Rbn 0x07e85  Rbn 0x07e85  Rbn 0x07e85  Rbn 0x07ead
 351:  RbN 0x17e85  RbN 0x17e85  RbN 0x17e85  RbN 0x17ead
 355:  RbN 0x17e85  RbN 0x17e85  RbN 0x17e85  RbN 0x17ead
 361:  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff
 367:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 373:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 379:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 385:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 391:  R.n 0x07e86  R.n 0x07e86  R.n 0x07e86  R.n 0x07eae
 395:  Rbn 0x07e87  Rbn 0x07e87  Rbn 0x07e87  Rbn 0x07eaf
 399:  RbN 0x17e87  RbN 0x17e87  RbN 0x17e87  RbN 0x17eaf
 403:  RbN 0x17e87  RbN 0x17e87  RbN 0x17e87  RbN 0x17eaf
 415:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 421:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 427:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 433:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 439:  R.n 0x07e88  R.n 0x07e88  R.n 0x07e88  R.n 0x07eb0
 443:  Rbn 0x07e89  Rbn 0x07e89  Rbn 0x07e89  Rbn 0x07eb1
 447:  RbN 0x17e89  RbN 0x17e89  RbN 0x17e89  RbN 0x17eb1
 451:  RbN 0x17e89  RbN 0x17e89  RbN 0x17e89  RbN 0x17eb1
 457:  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff
 463:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 469:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 475:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 481:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 487:  R.n 0x07e8a  R.n 0x07e8a  R.n 0x07e8a  R.n 0x07eb2
 491:  Rbn 0x07e8b  Rbn 0x07e8b  Rbn 0x07e8b  Rbn 0x07eb3
 495:  RbN 0x17e8b  RbN 0x17e8b  RbN 0x17e8b  RbN 0x17eb3
 499:  RbN 0x17e8b  RbN 0x17e8b  RbN 0x17e8b  RbN 0x17eb3
 511:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 517:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 523:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 529:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 535:  R.n 0x07e8c  R.n 0x07e8c  R.n 0x07e8c  R.n 0x07eb4
 539:  Rbn 0x07e8d  Rbn 0x07e8d  Rbn 0x07e8d  Rbn 0x07eb5
 543:  RbN 0x17e8d  RbN 0x17e8d  RbN 0x17e8d  RbN 0x17eb5
 547:  RbN 0x17e8d  RbN 0x17e8d  RbN 0x17e8d  RbN 0x17eb5
 553:  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff
 559:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 565:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 571:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 577:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 583:  R.n 0x07e8e  R.n 0x07e8e  R.n 0x07e8e  R.n 0x07eb6
 587:  Rbn 0x07e8f  Rbn 0x07e8f  Rbn 0x07e8f  Rbn 0x07eb7
 591:  RbN 0x17e8f  RbN 0x17e8f  RbN 0x17e8f  RbN 0x17eb7
 595:  RbN 0x17e8f  RbN 0x17e8f  RbN 0x17e8f  RbN 0x17eb7
 607:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 613:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 619:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 625:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 631:  R.n 0x07e90  R.n 0x07e90  R.n 0x07e90  R.n 0x07eb8
 635:  Rbn 0x07e91  Rbn 0x07e91  Rbn 0x07e91  Rbn 0x07eb9
 639:  RbN 0x17e91  RbN 0x17e91  RbN 0x17e91  RbN 0x17eb9
 643:  RbN 0x17e91  RbN 0x17e91  RbN 0x17e91  RbN 0x17eb9
 649:  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff
 655:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 661:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 667:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 673:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 679:  R.n 0x07e92  R.n 0x07e92  R.n 0x07e92  R.n 0x07eba
 683:  Rbn 0x07e93  Rbn 0x07e93  Rbn 0x07e93  Rbn 0x07ebb
 687:  RbN 0x17e93  RbN 0x17e93  RbN 0x17e93  RbN 0x17ebb
 691:  RbN 0x17e93  RbN 0x17e93  RbN 0x17e93  RbN 0x17ebb
 703:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 709:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 715:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 721:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 727:  R.n 0x07e94  R.n 0x07e94  R.n 0x07e94  R.n 0x07ebc
 731:  Rbn 0x07e95  Rbn 0x07e95  Rbn 0x07e95  Rbn 0x07ebd
 735:  RbN 0x17e95  RbN 0x17e95  RbN 0x17e95  RbN 0x17ebd
 739:  RbN 0x17e95  RbN 0x17e95  RbN 0x17e95  RbN 0x17ebd
 745:  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff
 751:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 757:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 763:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 769:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 775:  R.n 0x07e96  R.n 0x07e96  R.n 0x07e96  R.n 0x07ebe
 779:  Rbn 0x07e97  Rbn 0x07e97  Rbn 0x07e97  Rbn 0x07ebf
 783:  RbN 0x17e97  RbN 0x17e97  RbN 0x17e97  RbN 0x17ebf
 787:  RbN 0x17e97  RbN 0x17e97  RbN 0x17e97  RbN 0x17ebf
 799:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 805:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 811:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 817:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 823:  R.n 0x07e98  R.n 0x07e98  R.n 0x07e98  R.n 0x07ec0
 827:  Rbn 0x07e99  Rbn 0x07e99  Rbn 0x07e99  Rbn 0x07ec1
 831:  RbN 0x17e99  RbN 0x17e99  RbN 0x17e99  RbN 0x17ec1
 835:  RbN 0x17e99  RbN 0x17e99  RbN 0x17e99  RbN 0x17ec1
 841:  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff
 847:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 853:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 859:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 865:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 871:  R.n 0x07e9a  R.n 0x07e9a  R.n 0x07e9a  R.n 0x07ec2
 875:  Rbn 0x07e9b  Rbn 0x07e9b  Rbn 0x07e9b  Rbn 0x07ec3
 879:  RbN 0x17e9b  RbN 0x17e9b  RbN 0x17e9b  RbN 0x17ec3
 883:  RbN 0x17e9b  RbN 0x17e9b  RbN 0x17e9b  RbN 0x17ec3
 895:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 901:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
 907:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 913:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
 919:  R.n 0x07e9c  R.n 0x07e9c  R.n 0x07e9c  R.n 0x07ec4
 923:  Rbn 0x07e9d  Rbn 0x07e9d  Rbn 0x07e9d  Rbn 0x07ec5
 927:  RbN 0x17e9d  RbN 0x17e9d  RbN 0x17e9d  RbN 0x17ec5
 931:  RbN 0x17e9d  RbN 0x17e9d  RbN 0x17e9d  RbN 0x17ec5
 937:  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff  R.C 0x1ffff
 943:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
 949:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
