  125:  R.. 0x100ff
29500:  R.. 0x16338
52000:  R.. 0x07c7f
63250:  R.. 0x16339
96875:  R.. 0x1633a
111875:  R.. 0x17d7f
130625:  R.. 0x1633b
164375:  R.. 0x1633c
171875:  R.. 0x07e7f
198125:  R.. 0x1633d
231875:  R.. 0x17f7f
235625:  R.. 0x1633e
265625:  R.. 0x1633f
291875:  R.. 0x080bf
299375:  R.. 0x16340
333125:  R.. 0x16341
352000:  R.. 0x181bf
367000:  R.. 0x16342
400750:  R.. 0x16343
412000:  R.. 0x082bf
430875:  R.. 0x16344
464625:  R.. 0x16345
472125:  R.. 0x183bf
498250:  R.. 0x1ffff
502000:  R.. 0x1ffff
505750:  R.. 0x1ffff
509500:  R.. 0x1ffff
513250:  R.. 0x16346
533375:  R.. 0x16347
567625:  R.. 0x16348
601375:  R.. 0x16349
636875:  R.. 0x1634a
666875:  R.. 0x1634b
693250:  R.. 0x084bf
700750:  R.. 0x1634c
734500:  R.. 0x1634d
753250:  R.. 0x185bf
768250:  R.. 0x1634e
802125:  R.. 0x1634f
813375:  R.. 0x086bf
835875:  R.. 0x16350
873375:  R.. 0x187bf
933375:  R.. 0x088bf
952125:  R.. 0x16351
985875:  R.. 0x16352
993375:  R.. 0x189bf
1019500:  R.. 0x16353
1053250:  R.. 0x08abf
1057000:  R.. 0x16354
1087000:  R.. 0x16355
1113250:  R.. 0x18bbf
1120750:  R.. 0x16356
1139625:  R.. 0x1ffff
1143375:  R.. 0x1ffff
1147125:  R.. 0x1ffff
1150875:  R.. 0x1ffff
1154625:  R.. 0x16357
1186500:  R.. 0x16358
1220250:  R.. 0x16359
1254125:  R.. 0x1635a
1289750:  R.. 0x1635b
1319750:  R.. 0x1635c
1334750:  R.. 0x08cbf
1353500:  R.. 0x1635d
1387250:  R.. 0x1635e
1394750:  R.. 0x18dbf
1420875:  R.. 0x1635f
1454625:  R.. 0x08ebf
1458375:  R.. 0x16360
1488375:  R.. 0x16361
1514625:  R.. 0x18fbf
1522125:  R.. 0x16362
1555875:  R.. 0x16363
1574625:  R.. 0x090bf
1589750:  R.. 0x16364
1623500:  R.. 0x16365
1634750:  R.. 0x191bf
1657250:  R.. 0x16366
1691125:  R.. 0x16367
1694875:  R.. 0x092bf
1724875:  R.. 0x16368
1754875:  R.. 0x193bf
1758625:  R.. 0x16369
1781125:  R.. 0x1ffff
1784875:  R.. 0x1ffff
1788625:  R.. 0x1ffff
1792375:  R.. 0x1ffff
1796125:  R.. 0x1636a
1824125:  R.. 0x1636b
1857875:  R.. 0x1636c
1891625:  R.. 0x1636d
1923500:  R.. 0x1636e
1957250:  R.. 0x1636f
1976000:  R.. 0x094bf
1991000:  R.. 0x16370
2024750:  R.. 0x16371
2036125:  R.. 0x195bf
2058625:  R.. 0x16372
2092375:  R.. 0x16373
2096125:  R.. 0x096bf
2126125:  R.. 0x16374
2156250:  R.. 0x197bf
2160000:  R.. 0x16375
2193750:  R.. 0x16376
2216125:  R.. 0x098bf
2227500:  R.. 0x16377
2261125:  R.. 0x16378
2276125:  R.. 0x199bf
2336125:  R.. 0x09abf
2377375:  R.. 0x16379
2396125:  R.. 0x19bbf
2411125:  R.. 0x1637a
2422375:  R.. 0x1ffff
2426125:  R.. 0x1ffff
2429875:  R.. 0x1ffff
2433625:  R.. 0x1ffff
2444875:  R.. 0x1637b
2476750:  R.. 0x1637c
2510625:  R.. 0x1637d
2561250:  R.. 0x1637e
2580000:  R.. 0x1637f
2613750:  R.. 0x16380
2617500:  R.. 0x09cbf
2647500:  R.. 0x16381
2677500:  R.. 0x19dbf
2681250:  R.. 0x16382
2715000:  R.. 0x16383
2737500:  R.. 0x09ebf
2748750:  R.. 0x16384
2778750:  R.. 0x16385
2797500:  R.. 0x19fbf
2812500:  R.. 0x16386
2846250:  R.. 0x16387
2857500:  R.. 0x0a0bf
2880000:  R.. 0x16388
2913750:  R.. 0x16389
2917500:  R.. 0x1a1bf
2947625:  R.. 0x1638a
2977625:  R.. 0x0a2bf
2981375:  R.. 0x1638b
3015125:  R.. 0x1638c
3037625:  R.. 0x1a3bf
3048875:  R.. 0x1638d
3063875:  R.. 0x1ffff
3067625:  R.. 0x1ffff
3071375:  R.. 0x1ffff
3075125:  R.. 0x1ffff
3082625:  R.. 0x1638e
3114500:  R.. 0x1638f
