 9625:  R.. 0x160ef
20875:  R.. 0x193bf
43375:  R.. 0x160f0
77250:  R.. 0x160f1
81000:  R.. 0x094bf
111000:  R.. 0x160f2
141000:  R.. 0x195bf
144750:  R.. 0x160f3
167375:  R.. 0x1ffff
171125:  R.. 0x1ffff
174875:  R.. 0x1ffff
178625:  R.. 0x1ffff
182375:  R.. 0x160f4
212875:  R.. 0x160f5
244250:  R.. 0x160f6
278000:  R.. 0x160f7
313625:  R.. 0x160f8
362250:  R.. 0x096bf
422250:  R.. 0x197bf
429750:  R.. 0x160f9
463500:  R.. 0x160fa
482250:  R.. 0x098bf
497250:  R.. 0x160fb
531125:  R.. 0x160fc
542375:  R.. 0x199bf
564875:  R.. 0x160fd
598625:  R.. 0x160fe
602375:  R.. 0x09abf
632500:  R.. 0x160ff
662500:  R.. 0x19bbf
666250:  R.. 0x16100
700000:  R.. 0x16101
722500:  R.. 0x09cbf
733750:  R.. 0x16102
767375:  R.. 0x16103
782375:  R.. 0x19dbf
801125:  R.. 0x16104
808625:  R.. 0x1ffff
812375:  R.. 0x1ffff
816125:  R.. 0x1ffff
819875:  R.. 0x1ffff
831125:  R.. 0x16105
866750:  R.. 0x16106
900500:  R.. 0x16107
947375:  R.. 0x16108
966250:  R.. 0x16109
1000000:  R.. 0x1610a
1003750:  R.. 0x09ebf
1033750:  R.. 0x1610b
1063875:  R.. 0x19fbf
1067625:  R.. 0x1610c
1101375:  R.. 0x1610d
1123750:  R.. 0x0a0bf
1135000:  R.. 0x1610e
1168750:  R.. 0x1610f
1183750:  R.. 0x1a1bf
1202500:  R.. 0x16110
1236250:  R.. 0x16111
1243750:  R.. 0x0a2bf
1270000:  R.. 0x16112
1303750:  R.. 0x1a3bf
1307500:  R.. 0x16113
1337500:  R.. 0x16114
1363750:  R.. 0x0a4bf
1371250:  R.. 0x16115
1401250:  R.. 0x16116
1423875:  R.. 0x1a5bf
1435125:  R.. 0x16117
1450125:  R.. 0x1ffff
1453875:  R.. 0x1ffff
