 1500:  R.. 0x15611
31500:  R.. 0x15612
57750:  R.. 0x0c8ff
65250:  R.. 0x15613
99000:  R.. 0x15614
117750:  R.. 0x1c9ff
132750:  R.. 0x15615
166500:  R.. 0x15616
177750:  R.. 0x0caff
200250:  R.. 0x15617
233875:  R.. 0x15618
237625:  R.. 0x1cbff
267625:  R.. 0x15619
297625:  R.. 0x0ccff
301375:  R.. 0x1561a
335125:  R.. 0x1561b
357750:  R.. 0x1cdff
369000:  R.. 0x1561c
402750:  R.. 0x1561d
417750:  R.. 0x0ceff
436500:  R.. 0x1561e
470375:  R.. 0x1561f
477875:  R.. 0x1cfff
504125:  R.. 0x1ffff
507875:  R.. 0x1ffff
511625:  R.. 0x1ffff
515375:  R.. 0x1ffff
519125:  R.. 0x15620
534125:  R.. 0x15621
569750:  R.. 0x15622
603500:  R.. 0x15623
642750:  R.. 0x15624
669000:  R.. 0x15625
699000:  R.. 0x0d0ff
702750:  R.. 0x15626
736500:  R.. 0x15627
759000:  R.. 0x1d1ff
770250:  R.. 0x15628
804000:  R.. 0x15629
819125:  R.. 0x0d2ff
837875:  R.. 0x1562a
871625:  R.. 0x1562b
879125:  R.. 0x1d3ff
905500:  R.. 0x1562c
939250:  R.. 0x0d4ff
943000:  R.. 0x1562d
973000:  R.. 0x1562e
999250:  R.. 0x1d5ff
1006750:  R.. 0x1562f
1040375:  R.. 0x15630
1059125:  R.. 0x0d6ff
1119125:  R.. 0x1d7ff
1145375:  R.. 0x1ffff
1149125:  R.. 0x1ffff
1152875:  R.. 0x1ffff
1156625:  R.. 0x1ffff
1160375:  R.. 0x15631
1190375:  R.. 0x15632
1222250:  R.. 0x15633
1256125:  R.. 0x15634
1291750:  R.. 0x15635
1325500:  R.. 0x15636
1340500:  R.. 0x0d8ff
1359375:  R.. 0x15637
1389375:  R.. 0x15638
1400625:  R.. 0x1d9ff
1423125:  R.. 0x15639
1456750:  R.. 0x1563a
1460500:  R.. 0x0daff
1490500:  R.. 0x1563b
1520500:  R.. 0x1dbff
1524250:  R.. 0x1563c
1558000:  R.. 0x1563d
1580500:  R.. 0x0dcff
1591750:  R.. 0x1563e
1625500:  R.. 0x1563f
1640500:  R.. 0x1ddff
1659250:  R.. 0x15640
1693000:  R.. 0x15641
1700500:  R.. 0x0deff
1726875:  R.. 0x15642
1760625:  R.. 0x1dfff
1764375:  R.. 0x15643
1786875:  R.. 0x1ffff
1790625:  R.. 0x1ffff
1794375:  R.. 0x1ffff
1798125:  R.. 0x1ffff
1801875:  R.. 0x15644
1828125:  R.. 0x15645
1860000:  R.. 0x15646
1893750:  R.. 0x15647
1929375:  R.. 0x15648
1959375:  R.. 0x15649
1981875:  R.. 0x0e0ff
1993125:  R.. 0x1564a
2026750:  R.. 0x1564b
2041750:  R.. 0x1e1ff
2060625:  R.. 0x1564c
2094375:  R.. 0x1564d
2101875:  R.. 0x0e2ff
2128125:  R.. 0x1564e
2161875:  R.. 0x1e3ff
2165625:  R.. 0x1564f
2195750:  R.. 0x15650
