  125:  R.. 0x000ff
 9125:  R.. 0x15753
27875:  R.. 0x1bbbf
69125:  R.. 0x15754
87875:  R.. 0x0bcbf
133000:  R.. 0x15755
148000:  R.. 0x1bdbf
174250:  R.. 0x1ffff
178000:  R.. 0x1ffff
181750:  R.. 0x1ffff
185500:  R.. 0x1ffff
193125:  R.. 0x15756
255000:  R.. 0x15757
316750:  R.. 0x15758
369250:  R.. 0x0bebf
376750:  R.. 0x15759
429250:  R.. 0x1bfbf
440500:  R.. 0x1575a
489250:  R.. 0x0c0ff
500500:  R.. 0x1575b
549375:  R.. 0x1c1ff
560625:  R.. 0x1575c
609375:  R.. 0x0c2ff
669500:  R.. 0x1c3ff
706875:  R.. 0x1575d
729375:  R.. 0x0c4ff
770625:  R.. 0x1575e
789375:  R.. 0x1c5ff
815625:  R.. 0x1ffff
819375:  R.. 0x1ffff
823125:  R.. 0x1ffff
826875:  R.. 0x1ffff
830625:  R.. 0x1575f
892375:  R.. 0x15760
954375:  R.. 0x15761
1010750:  R.. 0x0c6ff
1014500:  R.. 0x15762
1070750:  R.. 0x1c7ff
1078250:  R.. 0x15763
1130750:  R.. 0x0c8ff
1138250:  R.. 0x15764
1190750:  R.. 0x1c9ff
1198250:  R.. 0x15765
1250625:  R.. 0x0caff
1261875:  R.. 0x15766
1310625:  R.. 0x1cbff
1321875:  R.. 0x15767
1370750:  R.. 0x0ccff
1385750:  R.. 0x15768
1430750:  R.. 0x1cdff
1445750:  R.. 0x15769
1457125:  R.. 0x1ffff
1460875:  R.. 0x1ffff
1464625:  R.. 0x1ffff
1468375:  R.. 0x1ffff
1507750:  R.. 0x1576a
1567750:  R.. 0x1576b
1629625:  R.. 0x1576c
1652000:  R.. 0x0ceff
1689500:  R.. 0x1576d
1712000:  R.. 0x1cfff
1753250:  R.. 0x1576e
1772000:  R.. 0x0d0ff
1813250:  R.. 0x1576f
1832125:  R.. 0x1d1ff
1877125:  R.. 0x15770
1892125:  R.. 0x0d2ff
1952250:  R.. 0x1d3ff
2012250:  R.. 0x0d4ff
2019750:  R.. 0x15771
2072125:  R.. 0x1d5ff
2083375:  R.. 0x15772
2098375:  R.. 0x1ffff
2102125:  R.. 0x1ffff
2105875:  R.. 0x1ffff
2109625:  R.. 0x1ffff
2144750:  R.. 0x15773
2205250:  R.. 0x15774
2267250:  R.. 0x15775
2293500:  R.. 0x0d6ff
2327250:  R.. 0x15776
2353625:  R.. 0x1d7ff
2391125:  R.. 0x15777
2413625:  R.. 0x0d8ff
2451000:  R.. 0x15778
2473500:  R.. 0x1d9ff
2514750:  R.. 0x15779
2533500:  R.. 0x0daff
2574750:  R.. 0x1577a
2593500:  R.. 0x1dbff
2634750:  R.. 0x1577b
2653500:  R.. 0x0dcff
2698500:  R.. 0x1577c
2713625:  R.. 0x1ddff
2739875:  R.. 0x1ffff
2743625:  R.. 0x1ffff
2747375:  R.. 0x1ffff
2751125:  R.. 0x1ffff
2758625:  R.. 0x1577d
2820625:  R.. 0x1577e
2882375:  R.. 0x1577f
2934875:  R.. 0x0deff
2942375:  R.. 0x15780
2994750:  R.. 0x1dfff
3006000:  R.. 0x15781
3054750:  R.. 0x0e0ff
3066125:  R.. 0x15782
3114875:  R.. 0x1e1ff
3126125:  R.. 0x15783
3175000:  R.. 0x0e2ff
3190000:  R.. 0x15784
3235000:  R.. 0x1e3ff
3295000:  R.. 0x0e4ff
3336250:  R.. 0x15785
3355000:  R.. 0x1e5ff
3381125:  R.. 0x1ffff
3384875:  R.. 0x1ffff
3388625:  R.. 0x1ffff
3392375:  R.. 0x1ffff
3396125:  R.. 0x15786
3458000:  R.. 0x15787
3520000:  R.. 0x15788
3576250:  R.. 0x0e6ff
3580000:  R.. 0x15789
3636375:  R.. 0x1e7ff
3643875:  R.. 0x1578a
3696375:  R.. 0x0e8ff
3703875:  R.. 0x1578b
3756375:  R.. 0x1e9ff
3763875:  R.. 0x1578c
3816250:  R.. 0x0eaff
3827500:  R.. 0x1578d
3876250:  R.. 0x1ebff
3887500:  R.. 0x1578e
3936250:  R.. 0x0ecff
3951250:  R.. 0x1578f
3996375:  R.. 0x1edff
4011375:  R.. 0x15790
4022625:  R.. 0x1ffff
4026375:  R.. 0x1ffff
4030125:  R.. 0x1ffff
4033875:  R.. 0x1ffff
4073375:  R.. 0x15791
