  250:  R.. 0x1ff63
14250:  R.. 0x159a2
59250:  R.. 0x0607f
74250:  R.. 0x159a3
119250:  R.. 0x1617f
138000:  R.. 0x159a4
179125:  R.. 0x0627f
197875:  R.. 0x159a5
239125:  R.. 0x1637f
258000:  R.. 0x159a6
299250:  R.. 0x0647f
321750:  R.. 0x159a7
359375:  R.. 0x1657f
381875:  R.. 0x159a8
385625:  R.. 0x1ffff
389375:  R.. 0x1ffff
393125:  R.. 0x1ffff
396875:  R.. 0x1ffff
443750:  R.. 0x159a9
503750:  R.. 0x159aa
565625:  R.. 0x159ab
580500:  R.. 0x0667f
629250:  R.. 0x159ac
640500:  R.. 0x1677f
689250:  R.. 0x159ad
700500:  R.. 0x0687f
749375:  R.. 0x159ae
760625:  R.. 0x1697f
813250:  R.. 0x159af
820750:  R.. 0x06a7f
873250:  R.. 0x159b0
880750:  R.. 0x16b7f
937000:  R.. 0x159b1
940750:  R.. 0x06c7f
996875:  R.. 0x159b2
1000625:  R.. 0x16d7f
1026875:  R.. 0x1ffff
1030625:  R.. 0x1ffff
1034375:  R.. 0x1ffff
1038125:  R.. 0x1ffff
1056875:  R.. 0x159b3
1118750:  R.. 0x159b4
1222000:  R.. 0x06e7f
1267125:  R.. 0x159b5
1282125:  R.. 0x16f7f
1327125:  R.. 0x159b6
1342125:  R.. 0x0707f
1387125:  R.. 0x159b7
1402000:  R.. 0x1717f
1450750:  R.. 0x159b8
1462000:  R.. 0x0727f
1510750:  R.. 0x159b9
1522000:  R.. 0x1737f
1574500:  R.. 0x159ba
1582000:  R.. 0x0747f
1634625:  R.. 0x159bb
1642125:  R.. 0x1757f
1668375:  R.. 0x1ffff
1672125:  R.. 0x1ffff
1675875:  R.. 0x1ffff
1679625:  R.. 0x1ffff
1694625:  R.. 0x159bc
1756625:  R.. 0x159bd
1818375:  R.. 0x159be
1863375:  R.. 0x0767f
1882125:  R.. 0x159bf
1923375:  R.. 0x1777f
1942125:  R.. 0x159c0
1983375:  R.. 0x0787f
2002125:  R.. 0x159c1
2043375:  R.. 0x1797f
2065875:  R.. 0x159c2
2103500:  R.. 0x07a7f
2126000:  R.. 0x159c3
2163500:  R.. 0x17b7f
2186000:  R.. 0x159c4
2223500:  R.. 0x07c7f
2249750:  R.. 0x159c5
2283500:  R.. 0x17d7f
2309750:  R.. 0x1ffff
2313500:  R.. 0x1ffff
2317250:  R.. 0x1ffff
2321000:  R.. 0x1ffff
2324750:  R.. 0x159c6
2371500:  R.. 0x159c7
2448500:  R.. 0x159c8
2504750:  R.. 0x07e7f
2564875:  R.. 0x17f7f
2579875:  R.. 0x159c9
2624875:  R.. 0x080bf
2639875:  R.. 0x159ca
2684875:  R.. 0x181bf
2703625:  R.. 0x159cb
2744750:  R.. 0x082bf
2763500:  R.. 0x159cc
2804750:  R.. 0x183bf
2823500:  R.. 0x159cd
2864750:  R.. 0x084bf
2887375:  R.. 0x159ce
2924875:  R.. 0x185bf
2947375:  R.. 0x159cf
2951125:  R.. 0x1ffff
2954875:  R.. 0x1ffff
2958625:  R.. 0x1ffff
2962375:  R.. 0x1ffff
3009375:  R.. 0x159d0
3069375:  R.. 0x159d1
3131250:  R.. 0x159d2
3146250:  R.. 0x086bf
3194875:  R.. 0x159d3
3206125:  R.. 0x187bf
3254875:  R.. 0x159d4
3266125:  R.. 0x088bf
3318625:  R.. 0x159d5
3326125:  R.. 0x189bf
3378750:  R.. 0x159d6
3386250:  R.. 0x08abf
3438875:  R.. 0x159d7
3446375:  R.. 0x18bbf
3502625:  R.. 0x159d8
3506375:  R.. 0x08cbf
3562500:  R.. 0x159d9
3566250:  R.. 0x18dbf
3592500:  R.. 0x1ffff
3596250:  R.. 0x1ffff
3600000:  R.. 0x1ffff
3603750:  R.. 0x1ffff
3622500:  R.. 0x159da
3684375:  R.. 0x159db
3746250:  R.. 0x159dc
3787625:  R.. 0x08ebf
3847625:  R.. 0x18fbf
3892750:  R.. 0x159dd
3907750:  R.. 0x090bf
3952625:  R.. 0x159de
3967625:  R.. 0x191bf
4016375:  R.. 0x159df
4027625:  R.. 0x092bf
4076375:  R.. 0x159e0
4087625:  R.. 0x193bf
