 5250:  W.. 0x1fd47
35250:  R.. 0x1bd48
46500:  W.. 0x1fd48
50250:  R.. 0x1a9bf
76625:  R.. 0x1bd49
87875:  W.. 0x1fd49
110375:  R.. 0x0aabf
117875:  R.. 0x1bd4a
129125:  W.. 0x1fd4a
159250:  R.. 0x1bd4b
170500:  R.. 0x1abbf
174250:  W.. 0x1fd4b
204250:  R.. 0x1bd4c
215500:  W.. 0x1fd4c
230500:  R.. 0x0acbf
245500:  R.. 0x1bd4d
256750:  W.. 0x1fd4d
286750:  R.. 0x1bd4e
290500:  R.. 0x1adbf
298000:  W.. 0x1fd4e
327875:  R.. 0x1bd4f
339125:  W.. 0x1fd4f
350375:  R.. 0x0aebf
369125:  R.. 0x1bd50
380375:  W.. 0x1fd50
410375:  R.. 0x1afbf
414125:  R.. 0x1bd51
425375:  W.. 0x1fd51
455375:  R.. 0x1bd52
466625:  W.. 0x1fd52
470375:  R.. 0x0b0bf
496625:  R.. 0x1ffff
500375:  R.. 0x1ffff
504125:  R.. 0x1ffff
507875:  R.. 0x1ffff
511625:  R.. 0x1bd53
523000:  W.. 0x1fd53
554875:  R.. 0x1bd54
566125:  W.. 0x1fd54
596125:  R.. 0x1bd55
607375:  W.. 0x1fd55
635625:  R.. 0x1bd56
646875:  W.. 0x1fd56
676875:  R.. 0x1bd57
688125:  W.. 0x1fd57
691875:  R.. 0x1b1bf
718000:  R.. 0x1bd58
729250:  W.. 0x1fd58
751750:  R.. 0x0b2bf
759250:  R.. 0x1bd59
770500:  W.. 0x1fd59
800500:  R.. 0x1bd5a
811750:  R.. 0x1b3bf
815500:  W.. 0x1fd5a
845500:  R.. 0x1bd5b
856750:  W.. 0x1fd5b
871750:  R.. 0x0b4bf
886750:  R.. 0x1bd5c
898000:  W.. 0x1fd5c
928000:  R.. 0x1bd5d
931750:  R.. 0x1b5bf
939250:  W.. 0x1fd5d
969375:  R.. 0x1bd5e
980625:  W.. 0x1fd5e
991875:  R.. 0x0b6bf
1010625:  R.. 0x1bd5f
1021875:  W.. 0x1fd5f
1051875:  R.. 0x1b7bf
1055625:  R.. 0x1bd60
1066875:  W.. 0x1fd60
1096875:  R.. 0x1bd61
1108125:  W.. 0x1fd61
1111875:  R.. 0x0b8bf
1138125:  R.. 0x1ffff
1141875:  R.. 0x1ffff
1145625:  R.. 0x1ffff
1149375:  R.. 0x1ffff
1153125:  R.. 0x1bd62
1164375:  W.. 0x1fd62
1196250:  R.. 0x1bd63
1207500:  W.. 0x1fd63
1237500:  R.. 0x1bd64
1248625:  W.. 0x1fd64
1276750:  R.. 0x1bd65
1288000:  W.. 0x1fd65
1318125:  R.. 0x1bd66
1329375:  W.. 0x1fd66
1333125:  R.. 0x1b9bf
1359375:  R.. 0x1bd67
1370625:  W.. 0x1fd67
1393125:  R.. 0x0babf
1400625:  R.. 0x1bd68
1411875:  W.. 0x1fd68
1442000:  R.. 0x1bd69
1453250:  R.. 0x1bbbf
1457000:  W.. 0x1fd69
1487000:  R.. 0x1bd6a
1498250:  W.. 0x1fd6a
1513250:  R.. 0x0bcbf
1528250:  R.. 0x1bd6b
1539500:  W.. 0x1fd6b
1569500:  R.. 0x1bd6c
1573250:  R.. 0x1bdbf
1580750:  W.. 0x1fd6c
1610750:  R.. 0x1bd6d
1622000:  W.. 0x1fd6d
1633250:  R.. 0x0bebf
1652000:  R.. 0x1bd6e
1663125:  W.. 0x1fd6e
1693125:  R.. 0x1bfbf
1696875:  R.. 0x1bd6f
1708125:  W.. 0x1fd6f
1738125:  R.. 0x1bd70
1749375:  W.. 0x1fd70
1753125:  R.. 0x0c0ff
1779500:  R.. 0x1ffff
1783250:  R.. 0x1ffff
1787000:  R.. 0x1ffff
1790750:  R.. 0x1ffff
1794500:  R.. 0x1bd71
1805750:  W.. 0x1fd71
1837625:  R.. 0x1bd72
1848875:  W.. 0x1fd72
1879000:  R.. 0x1bd73
1890250:  W.. 0x1fd73
1918375:  R.. 0x1bd74
1929625:  W.. 0x1fd74
1959625:  R.. 0x1bd75
1970875:  W.. 0x1fd75
1974625:  R.. 0x1c1ff
2000875:  R.. 0x1bd76
2012125:  W.. 0x1fd76
2034625:  R.. 0x0c2ff
2042125:  R.. 0x1bd77
2053375:  W.. 0x1fd77
2083250:  R.. 0x1bd78
2094500:  R.. 0x1c3ff
2098250:  W.. 0x1fd78
2128250:  R.. 0x1bd79
2139500:  W.. 0x1fd79
2154500:  R.. 0x0c4ff
