14750:  W.. 0x03981
71125:  R.. 0x0407f
74875:  R.. 0x1fa00
86125:  W.. 0x03a00
116125:  R.. 0x1fa01
127375:  W.. 0x03a01
131250:  R.. 0x1417f
187500:  R.. 0x1fa80
191250:  R.. 0x0427f
198750:  W.. 0x03a80
228750:  R.. 0x1fa81
240000:  W.. 0x03a81
251250:  R.. 0x1437f
300000:  R.. 0x1fb00
311250:  R.. 0x0447f
315000:  W.. 0x03b00
345000:  R.. 0x1fb01
356125:  W.. 0x03b01
371125:  R.. 0x1457f
416125:  R.. 0x1fb80
427375:  W.. 0x03b80
431125:  R.. 0x0467f
457375:  R.. 0x1fb81
468625:  W.. 0x03b81
491250:  R.. 0x1477f
517500:  R.. 0x1ffff
521250:  R.. 0x1ffff
525000:  R.. 0x1ffff
528750:  R.. 0x1ffff
532500:  R.. 0x1fc00
543750:  W.. 0x03c00
575625:  R.. 0x1fc01
586875:  W.. 0x03c01
656375:  R.. 0x1fc80
667625:  W.. 0x03c80
697625:  R.. 0x1fc81
708875:  W.. 0x03c81
712625:  R.. 0x0487f
768750:  R.. 0x1fd00
772500:  R.. 0x1497f
780000:  W.. 0x03d00
810000:  R.. 0x1fd01
821250:  W.. 0x03d01
832500:  R.. 0x04a7f
881250:  R.. 0x1fd80
892500:  R.. 0x14b7f
896250:  W.. 0x03d80
926250:  R.. 0x1fd81
937500:  W.. 0x03d81
952625:  R.. 0x04c7f
997625:  R.. 0x1fe00
1008875:  W.. 0x03e00
1012625:  R.. 0x14d7f
1039000:  R.. 0x1fe01
1050125:  W.. 0x03e01
1072750:  R.. 0x04e7f
1110250:  R.. 0x1fe80
1121500:  W.. 0x03e80
1132750:  R.. 0x14f7f
1151375:  R.. 0x1fe81
1158875:  R.. 0x1ffff
1162625:  R.. 0x1ffff
1166375:  R.. 0x1ffff
1170125:  R.. 0x1ffff
1173875:  W.. 0x03e81
1235750:  R.. 0x1ff00
1247000:  W.. 0x03f00
1277000:  R.. 0x1ff01
1297625:  W.. 0x03f01
1353875:  R.. 0x0507f
1357625:  R.. 0x1ff80
1368875:  W.. 0x03f80
1399000:  R.. 0x1ff81
1410250:  W.. 0x03f81
1414000:  R.. 0x1517f
1470250:  R.. 0x00000
1474000:  R.. 0x0527f
1481500:  W.. 0x04000
1511500:  R.. 0x00001
1522750:  W.. 0x04001
1534125:  R.. 0x1537f
1582750:  R.. 0x00080
1594000:  R.. 0x0547f
1597750:  W.. 0x04080
1627750:  R.. 0x00081
1639000:  W.. 0x04081
1654000:  R.. 0x1557f
1698875:  R.. 0x00100
1710125:  W.. 0x04100
1713875:  R.. 0x0567f
1740125:  R.. 0x00101
1751375:  W.. 0x04101
1774000:  R.. 0x1577f
1800250:  R.. 0x1ffff
1804000:  R.. 0x1ffff
1807750:  R.. 0x1ffff
1811500:  R.. 0x1ffff
1815250:  R.. 0x00180
1826500:  W.. 0x04180
1858375:  R.. 0x00181
1869750:  W.. 0x04181
1939125:  R.. 0x00200
1950375:  W.. 0x04200
1980375:  R.. 0x00201
1991625:  W.. 0x04201
1995375:  R.. 0x0587f
2051625:  R.. 0x00280
2055375:  R.. 0x1597f
2062875:  W.. 0x04280
2092750:  R.. 0x00281
2104000:  W.. 0x04281
2115250:  R.. 0x05a7f
2164000:  R.. 0x00300
2175250:  R.. 0x15b7f
2179000:  W.. 0x04300
2209000:  R.. 0x00301
2220250:  W.. 0x04301
2235375:  R.. 0x05c7f
2280375:  R.. 0x00380
2291625:  W.. 0x04380
2295500:  R.. 0x15d7f
2321750:  R.. 0x00381
2333000:  W.. 0x04381
2355500:  R.. 0x05e7f
2393000:  R.. 0x00400
2404250:  W.. 0x04400
2415500:  R.. 0x15f7f
2434250:  R.. 0x00401
2441750:  R.. 0x1ffff
2445500:  R.. 0x1ffff
2449250:  R.. 0x1ffff
2453000:  R.. 0x1ffff
2456750:  W.. 0x04401
2518500:  R.. 0x00480
2529750:  W.. 0x04480
2559750:  R.. 0x00481
2580375:  W.. 0x04481
2636625:  R.. 0x0607f
2640375:  R.. 0x00500
2651625:  W.. 0x04500
2681750:  R.. 0x00501
2693000:  W.. 0x04501
2696750:  R.. 0x1617f
2753000:  R.. 0x00580
2756750:  R.. 0x0627f
2764250:  W.. 0x04580
2794375:  R.. 0x00581
2805625:  W.. 0x04581
2816875:  R.. 0x1637f
2865625:  R.. 0x00600
2876875:  R.. 0x0647f
2880625:  W.. 0x04600
2910500:  R.. 0x00601
2921750:  W.. 0x04601
2936750:  R.. 0x1657f
2981750:  R.. 0x00680
2993000:  W.. 0x04680
2996750:  R.. 0x0667f
3023000:  R.. 0x00681
3034250:  W.. 0x04681
3056750:  R.. 0x1677f
3083000:  R.. 0x1ffff
3086750:  R.. 0x1ffff
3090500:  R.. 0x1ffff
3094250:  R.. 0x1ffff
3098000:  R.. 0x00700
3109250:  W.. 0x04700
3141250:  R.. 0x00701
3152500:  W.. 0x04701
3221875:  R.. 0x00780
3233125:  W.. 0x04780
3263250:  R.. 0x00781
3274500:  W.. 0x04781
3278250:  R.. 0x0687f
3334375:  R.. 0x00800
3338250:  R.. 0x1697f
3345625:  W.. 0x04800
3375625:  R.. 0x00801
3386875:  W.. 0x04801
3398125:  R.. 0x06a7f
3446875:  R.. 0x00880
3458125:  R.. 0x16b7f
3461875:  W.. 0x04880
3491875:  R.. 0x00881
3503125:  W.. 0x04881
3518125:  R.. 0x06c7f
3563125:  R.. 0x00900
3574375:  W.. 0x04900
3578250:  R.. 0x16d7f
3604500:  R.. 0x00901
3615750:  W.. 0x04901
3638250:  R.. 0x06e7f
3675750:  R.. 0x00980
3687000:  W.. 0x04980
3698375:  R.. 0x16f7f
3717000:  R.. 0x00981
3724625:  R.. 0x1ffff
3728250:  R.. 0x1ffff
3732000:  R.. 0x1ffff
3735750:  R.. 0x1ffff
3739500:  W.. 0x04981
3801375:  R.. 0x00a00
3812625:  W.. 0x04a00
3842500:  R.. 0x00a01
3863125:  W.. 0x04a01
3919375:  R.. 0x0707f
3923125:  R.. 0x00a80
3934375:  W.. 0x04a80
3964500:  R.. 0x00a81
3975750:  W.. 0x04a81
3979500:  R.. 0x1717f
4035875:  R.. 0x00b00
4039625:  R.. 0x0727f
4047125:  W.. 0x04b00
4077125:  R.. 0x00b01
4088375:  W.. 0x04b01
