 9250:  W.. 0x03e83
39375:  R.. 0x1fe84
50625:  R.. 0x11f3f
54375:  W.. 0x03e84
110625:  R.. 0x0203f
114375:  R.. 0x1ff00
125625:  W.. 0x03f00
155625:  R.. 0x1ff01
166875:  W.. 0x03f01
170625:  R.. 0x1213f
196750:  R.. 0x1ff02
208000:  W.. 0x03f02
230500:  R.. 0x0223f
238000:  R.. 0x1ff03
249250:  W.. 0x03f03
279250:  R.. 0x1ff04
290500:  R.. 0x1233f
294250:  W.. 0x03f04
350500:  R.. 0x0243f
354250:  R.. 0x1ff80
365500:  W.. 0x03f80
376875:  R.. 0x1ffff
380625:  R.. 0x1ffff
384375:  R.. 0x1ffff
388125:  R.. 0x1ffff
395625:  R.. 0x1ff81
406875:  W.. 0x03f81
438750:  R.. 0x1ff82
450000:  W.. 0x03f82
480125:  R.. 0x1ff83
491375:  W.. 0x03f83
519500:  R.. 0x1ff84
530750:  W.. 0x03f84
572000:  R.. 0x1253f
590625:  R.. 0x00000
601875:  W.. 0x04000
631875:  R.. 0x0263f
635625:  R.. 0x00001
646875:  W.. 0x04001
676875:  R.. 0x00002
688125:  W.. 0x04002
691875:  R.. 0x1273f
718125:  R.. 0x00003
729375:  W.. 0x04003
751875:  R.. 0x0283f
759375:  R.. 0x00004
770625:  W.. 0x04004
812000:  R.. 0x1293f
830750:  R.. 0x00080
842000:  W.. 0x04080
872000:  R.. 0x02a3f
875750:  R.. 0x00081
887000:  W.. 0x04081
917000:  R.. 0x00082
928250:  W.. 0x04082
932125:  R.. 0x12b3f
958375:  R.. 0x00083
969625:  W.. 0x04083
992000:  R.. 0x02c3f
999500:  R.. 0x00084
1010750:  W.. 0x04084
1018375:  R.. 0x1ffff
1022000:  R.. 0x1ffff
1025750:  R.. 0x1ffff
1029500:  R.. 0x1ffff
1072625:  R.. 0x00100
1083875:  W.. 0x04100
1113875:  R.. 0x00101
1125125:  W.. 0x04101
1157000:  R.. 0x00102
1168250:  W.. 0x04102
1198250:  R.. 0x00103
1209500:  W.. 0x04103
1213250:  R.. 0x12d3f
1239500:  R.. 0x00104
1250750:  W.. 0x04104
1273250:  R.. 0x02e3f
1310875:  R.. 0x00180
1322125:  W.. 0x04180
1333375:  R.. 0x12f3f
1352125:  R.. 0x00181
1363375:  W.. 0x04181
1393375:  R.. 0x0303f
1397125:  R.. 0x00182
1408375:  W.. 0x04182
1438375:  R.. 0x00183
1449625:  W.. 0x04183
1453375:  R.. 0x1313f
1479625:  R.. 0x00184
1490875:  W.. 0x04184
1513375:  R.. 0x0323f
1550750:  R.. 0x00200
1562000:  W.. 0x04200
1573375:  R.. 0x1333f
1592000:  R.. 0x00201
1603250:  W.. 0x04201
1633250:  R.. 0x0343f
1637000:  R.. 0x00202
1648375:  W.. 0x04202
1659625:  R.. 0x1ffff
1663375:  R.. 0x1ffff
1667125:  R.. 0x1ffff
1670875:  R.. 0x1ffff
1678375:  R.. 0x00203
1689625:  W.. 0x04203
1721500:  R.. 0x00204
1732750:  W.. 0x04204
1798500:  R.. 0x00280
1809750:  W.. 0x04280
1839750:  R.. 0x00281
1851000:  W.. 0x04281
1854750:  R.. 0x1353f
1881000:  R.. 0x00282
1892250:  W.. 0x04282
1914750:  R.. 0x0363f
1922250:  R.. 0x00283
1933375:  W.. 0x04283
1963375:  R.. 0x00284
1974625:  R.. 0x1373f
1978375:  W.. 0x04284
2034625:  R.. 0x0383f
2038375:  R.. 0x00300
2049625:  W.. 0x04300
2079625:  R.. 0x00301
2090875:  W.. 0x04301
2094750:  R.. 0x1393f
2121000:  R.. 0x00302
2132250:  W.. 0x04302
2154750:  R.. 0x03a3f
2162250:  R.. 0x00303
2173500:  W.. 0x04303
2203625:  R.. 0x00304
2214875:  R.. 0x13b3f
2218625:  W.. 0x04304
2274875:  R.. 0x03c3f
2278625:  R.. 0x00380
2289875:  W.. 0x04380
2301125:  R.. 0x1ffff
2304875:  R.. 0x1ffff
2308625:  R.. 0x1ffff
2312375:  R.. 0x1ffff
2319875:  R.. 0x00381
2331000:  W.. 0x04381
2362875:  R.. 0x00382
2374125:  W.. 0x04382
2404125:  R.. 0x00383
2415375:  W.. 0x04383
2443500:  R.. 0x00384
2454750:  W.. 0x04384
2496000:  R.. 0x13d3f
2514750:  R.. 0x00400
2526000:  W.. 0x04400
2556125:  R.. 0x03e3f
2559875:  R.. 0x00401
2571125:  W.. 0x04401
2601125:  R.. 0x00402
2612375:  W.. 0x04402
2616250:  R.. 0x13f3f
2642500:  R.. 0x00403
2653750:  W.. 0x04403
2676250:  R.. 0x0407f
2683750:  R.. 0x00404
2695000:  W.. 0x04404
2736250:  R.. 0x1417f
2754875:  R.. 0x00480
2766125:  W.. 0x04480
2796125:  R.. 0x0427f
2799875:  R.. 0x00481
2811125:  W.. 0x04481
2841125:  R.. 0x00482
2852375:  W.. 0x04482
2856125:  R.. 0x1437f
2882375:  R.. 0x00483
2893625:  W.. 0x04483
2916125:  R.. 0x0447f
2923625:  R.. 0x00484
2934875:  W.. 0x04484
