13750:  R.. 0x19780
25000:  W.. 0x1d780
55000:  R.. 0x19781
75750:  W.. 0x1d781
105750:  R.. 0x19782
117000:  W.. 0x1d782
132000:  R.. 0x1797f
147000:  R.. 0x19783
158250:  W.. 0x1d783
188375:  R.. 0x19784
192125:  R.. 0x07a7f
199625:  W.. 0x1d784
229625:  R.. 0x19785
240875:  W.. 0x1d785
252125:  R.. 0x17b7f
300875:  R.. 0x19800
312125:  R.. 0x07c7f
315875:  W.. 0x1d800
345875:  R.. 0x19801
357125:  W.. 0x1d801
372125:  R.. 0x17d7f
387000:  R.. 0x19802
398250:  W.. 0x1d802
428250:  R.. 0x19803
432000:  R.. 0x07e7f
439500:  W.. 0x1d803
469500:  R.. 0x19804
480750:  W.. 0x1d804
492000:  R.. 0x17f7f
510750:  R.. 0x19805
522000:  W.. 0x1d805
552125:  R.. 0x080bf
578375:  R.. 0x1ffff
582125:  R.. 0x1ffff
585875:  R.. 0x1ffff
589625:  R.. 0x1ffff
593375:  R.. 0x19880
604625:  W.. 0x1d880
636625:  R.. 0x19881
647875:  W.. 0x1d881
677875:  R.. 0x19882
689125:  W.. 0x1d882
717250:  R.. 0x19883
728500:  W.. 0x1d883
758500:  R.. 0x19884
769750:  W.. 0x1d884
773500:  R.. 0x181bf
799625:  R.. 0x19885
810875:  W.. 0x1d885
833375:  R.. 0x082bf
870875:  R.. 0x19900
882125:  W.. 0x1d900
893375:  R.. 0x183bf
912125:  R.. 0x19901
923375:  W.. 0x1d901
953375:  R.. 0x084bf
957125:  R.. 0x19902
968375:  W.. 0x1d902
998500:  R.. 0x19903
1009750:  W.. 0x1d903
1013500:  R.. 0x185bf
1039750:  R.. 0x19904
1051000:  W.. 0x1d904
1073625:  R.. 0x086bf
1081125:  R.. 0x19905
1092375:  W.. 0x1d905
1133625:  R.. 0x187bf
1152375:  R.. 0x19980
1163625:  W.. 0x1d980
1193500:  R.. 0x088bf
1197250:  R.. 0x19981
1208500:  W.. 0x1d981
1219750:  R.. 0x1ffff
1223500:  R.. 0x1ffff
1227250:  R.. 0x1ffff
1231000:  R.. 0x1ffff
1238500:  R.. 0x19982
1249750:  W.. 0x1d982
1281625:  R.. 0x19983
1292875:  W.. 0x1d983
1322875:  R.. 0x19984
1334125:  W.. 0x1d984
1362250:  R.. 0x19985
1373500:  W.. 0x1d985
1414750:  R.. 0x189bf
1433625:  R.. 0x19a00
1444875:  W.. 0x1da00
1474875:  R.. 0x08abf
1478625:  R.. 0x19a01
1489875:  W.. 0x1da01
1519875:  R.. 0x19a02
1531125:  W.. 0x1da02
1535000:  R.. 0x18bbf
1561250:  R.. 0x19a03
1572500:  W.. 0x1da03
1594875:  R.. 0x08cbf
1602375:  R.. 0x19a04
1613625:  W.. 0x1da04
1643625:  R.. 0x19a05
1654875:  R.. 0x18dbf
1658625:  W.. 0x1da05
1714750:  R.. 0x08ebf
1718625:  R.. 0x19a80
1729750:  W.. 0x1da80
1759750:  R.. 0x19a81
1771000:  W.. 0x1da81
1774875:  R.. 0x18fbf
1801125:  R.. 0x19a82
1812375:  W.. 0x1da82
1834875:  R.. 0x090bf
1842375:  R.. 0x19a83
1853625:  W.. 0x1da83
1861125:  R.. 0x1ffff
