17125:  R.. 0x03f86
28375:  R.. 0x0487f
32125:  W.. 0x07f86
62125:  R.. 0x03f87
73375:  W.. 0x07f87
88500:  R.. 0x1497f
133500:  R.. 0x04000
144750:  W.. 0x08000
148500:  R.. 0x04a7f
174625:  R.. 0x04001
185875:  W.. 0x08001
208375:  R.. 0x14b7f
215875:  R.. 0x04002
227125:  W.. 0x08002
234625:  R.. 0x1ffff
238375:  R.. 0x1ffff
242125:  R.. 0x1ffff
245875:  R.. 0x1ffff
257125:  R.. 0x04003
268375:  W.. 0x08003
300250:  R.. 0x04004
311500:  W.. 0x08004
341500:  R.. 0x04005
352750:  W.. 0x08005
380875:  R.. 0x04006
392125:  W.. 0x08006
422125:  R.. 0x04007
429625:  R.. 0x04c7f
433375:  W.. 0x08007
489750:  R.. 0x14d7f
493500:  R.. 0x04080
504750:  W.. 0x08080
534750:  R.. 0x04081
546000:  W.. 0x08081
549750:  R.. 0x04e7f
576000:  R.. 0x04082
587250:  W.. 0x08082
609750:  R.. 0x14f7f
617250:  R.. 0x04083
628500:  W.. 0x08083
658500:  R.. 0x04084
669750:  R.. 0x0507f
673500:  W.. 0x08084
703375:  R.. 0x04085
714625:  W.. 0x08085
729750:  R.. 0x1517f
744625:  R.. 0x04086
755875:  W.. 0x08086
786000:  R.. 0x04087
789750:  R.. 0x0527f
797250:  W.. 0x08087
849750:  R.. 0x1537f
857250:  R.. 0x04100
868500:  W.. 0x08100
876125:  R.. 0x1ffff
879875:  R.. 0x1ffff
883625:  R.. 0x1ffff
887375:  R.. 0x1ffff
898625:  R.. 0x04101
909875:  W.. 0x08101
941750:  R.. 0x04102
953000:  W.. 0x08102
983000:  R.. 0x04103
994250:  W.. 0x08103
1022375:  R.. 0x04104
1033625:  W.. 0x08104
1063625:  R.. 0x04105
1071125:  R.. 0x0547f
1074875:  W.. 0x08105
1104750:  R.. 0x04106
1116000:  W.. 0x08106
1131125:  R.. 0x1557f
1146000:  R.. 0x04107
1157250:  W.. 0x08107
1191000:  R.. 0x0567f
1217250:  R.. 0x04180
1228500:  W.. 0x08180
1251125:  R.. 0x1577f
1258625:  R.. 0x04181
1269875:  W.. 0x08181
1299875:  R.. 0x04182
1311125:  R.. 0x0587f
1314875:  W.. 0x08182
1345000:  R.. 0x04183
1356250:  W.. 0x08183
1371250:  R.. 0x1597f
1386250:  R.. 0x04184
1397500:  W.. 0x08184
1427500:  R.. 0x04185
1431250:  R.. 0x05a7f
1438750:  W.. 0x08185
1468750:  R.. 0x04186
1480000:  W.. 0x08186
1491250:  R.. 0x15b7f
1509875:  R.. 0x04187
1517500:  R.. 0x1ffff
1521125:  R.. 0x1ffff
1524875:  R.. 0x1ffff
1528625:  R.. 0x1ffff
1532375:  W.. 0x08187
1594250:  R.. 0x04200
1605500:  W.. 0x08200
1635500:  R.. 0x04201
1656125:  W.. 0x08201
1686125:  R.. 0x04202
1697375:  W.. 0x08202
1712500:  R.. 0x05c7f
1727500:  R.. 0x04203
1738750:  W.. 0x08203
1768750:  R.. 0x04204
1772500:  R.. 0x15d7f
1780000:  W.. 0x08204
1810125:  R.. 0x04205
1821375:  W.. 0x08205
1832625:  R.. 0x05e7f
1851375:  R.. 0x04206
1862625:  W.. 0x08206
1892625:  R.. 0x15f7f
1896375:  R.. 0x04207
1907625:  W.. 0x08207
1952500:  R.. 0x0607f
1967500:  R.. 0x04280
1978750:  W.. 0x08280
2008750:  R.. 0x04281
2012500:  R.. 0x1617f
2020000:  W.. 0x08281
2050000:  R.. 0x04282
2061250:  W.. 0x08282
2072500:  R.. 0x0627f
2091250:  R.. 0x04283
2102500:  W.. 0x08283
2132500:  R.. 0x1637f
2136250:  R.. 0x04284
2147500:  W.. 0x08284
2158875:  R.. 0x1ffff
2162625:  R.. 0x1ffff
2166375:  R.. 0x1ffff
2170125:  R.. 0x1ffff
2177625:  R.. 0x04285
2188875:  W.. 0x08285
2220750:  R.. 0x04286
2232000:  W.. 0x08286
2262125:  R.. 0x04287
2273375:  W.. 0x08287
2335125:  R.. 0x04300
2346375:  W.. 0x08300
2353875:  R.. 0x0647f
2376375:  R.. 0x04301
2387625:  W.. 0x08301
2413875:  R.. 0x1657f
2417625:  R.. 0x04302
2428875:  W.. 0x08302
2458750:  R.. 0x04303
2470000:  W.. 0x08303
2473875:  R.. 0x0667f
2500000:  R.. 0x04304
2511375:  W.. 0x08304
2533875:  R.. 0x1677f
2541375:  R.. 0x04305
2552625:  W.. 0x08305
2582625:  R.. 0x04306
2593875:  R.. 0x0687f
2597625:  W.. 0x08306
2627750:  R.. 0x04307
2639000:  W.. 0x08307
2654000:  R.. 0x1697f
2699000:  R.. 0x04380
2710250:  W.. 0x08380
2714000:  R.. 0x06a7f
2740250:  R.. 0x04381
2751500:  W.. 0x08381
2774000:  R.. 0x16b7f
2781500:  R.. 0x04382
