92000:  R.. 0x0787f
152125:  R.. 0x1797f
212125:  R.. 0x07a7f
272250:  R.. 0x17b7f
332250:  R.. 0x07c7f
392250:  R.. 0x17d7f
452250:  R.. 0x07e7f
512125:  R.. 0x17f7f
515875:  R.. 0x18000
527125:  W.. 0x1c000
538375:  R.. 0x1ffff
542125:  R.. 0x1ffff
545875:  R.. 0x1ffff
549625:  R.. 0x1ffff
557125:  R.. 0x18001
568375:  W.. 0x1c001
630375:  R.. 0x18080
641625:  W.. 0x1c080
677375:  R.. 0x18081
688625:  W.. 0x1c081
707375:  R.. 0x14001
733625:  R.. 0x080bf
741125:  R.. 0x14002
748625:  R.. 0x18100
759875:  W.. 0x1c100
774875:  R.. 0x14003
789875:  R.. 0x18101
793625:  R.. 0x181bf
801125:  W.. 0x1c101
808625:  R.. 0x14004
842375:  R.. 0x14005
853625:  R.. 0x082bf
861125:  R.. 0x18180
872250:  W.. 0x1c180
876125:  R.. 0x14006
902250:  R.. 0x18181
906000:  R.. 0x14007
913500:  R.. 0x183bf
917250:  W.. 0x1c181
939750:  R.. 0x14008
973500:  R.. 0x084bf
977250:  R.. 0x14009
981000:  R.. 0x18200
992250:  W.. 0x1c200
1007250:  R.. 0x1400a
1022250:  R.. 0x18201
1033625:  R.. 0x185bf
1037375:  W.. 0x1c201
1041125:  R.. 0x1400b
1074875:  R.. 0x1400c
1093625:  R.. 0x086bf
1097375:  R.. 0x18280
1108625:  R.. 0x1400d
1112375:  W.. 0x1c280
1142500:  R.. 0x1400e
1146250:  R.. 0x18281
1153750:  R.. 0x187bf
1157500:  W.. 0x1c281
1176250:  R.. 0x1400f
1180000:  R.. 0x1ffff
1183750:  R.. 0x1ffff
1187500:  R.. 0x1ffff
1191250:  R.. 0x1ffff
1210000:  R.. 0x14010
1217500:  R.. 0x18300
1230625:  W.. 0x1c300
1241875:  R.. 0x14011
1260625:  R.. 0x18301
1271875:  W.. 0x1c301
1275625:  R.. 0x14012
1318625:  R.. 0x14013
1333625:  R.. 0x18380
1344875:  R.. 0x14014
1348625:  W.. 0x1c380
1374875:  R.. 0x088bf
1378625:  R.. 0x14015
1382375:  R.. 0x18381
1393625:  W.. 0x1c381
1412375:  R.. 0x14016
1434875:  R.. 0x189bf
1446125:  R.. 0x14017
1453625:  R.. 0x18400
1464875:  W.. 0x1c400
1479875:  R.. 0x14018
1495000:  R.. 0x08abf
1498750:  R.. 0x18401
1510000:  R.. 0x14019
1513750:  W.. 0x1c401
1543750:  R.. 0x1401a
1555000:  R.. 0x18bbf
1573750:  R.. 0x18480
1577500:  R.. 0x1401b
1585000:  W.. 0x1c480
1611375:  R.. 0x1401c
1615125:  R.. 0x08cbf
1618875:  R.. 0x18481
1630125:  W.. 0x1c481
1645125:  R.. 0x1401d
1675125:  R.. 0x18dbf
1678875:  R.. 0x1401e
1690125:  R.. 0x18500
1701250:  W.. 0x1c500
1712500:  R.. 0x1401f
1731250:  R.. 0x18501
1735000:  R.. 0x08ebf
1742500:  W.. 0x1c501
1746250:  R.. 0x14020
1780000:  R.. 0x14021
1795000:  R.. 0x18fbf
1802500:  R.. 0x18580
1813750:  R.. 0x14022
1817500:  W.. 0x1c580
1821250:  R.. 0x1ffff
1825000:  R.. 0x1ffff
1828750:  R.. 0x1ffff
1832500:  R.. 0x1ffff
1847500:  R.. 0x14023
1851250:  R.. 0x18581
1862875:  W.. 0x1c581
1879375:  R.. 0x14024
1913125:  R.. 0x14025
1924375:  R.. 0x18600
1935625:  W.. 0x1c600
1960125:  R.. 0x14026
1963875:  R.. 0x18601
1975125:  W.. 0x1c601
1982625:  R.. 0x14027
2016375:  R.. 0x090bf
2020125:  R.. 0x14028
2035125:  R.. 0x18680
2046375:  W.. 0x1c680
2076500:  R.. 0x191bf
2080250:  R.. 0x18681
2091375:  W.. 0x1c681
2136375:  R.. 0x092bf
2151375:  R.. 0x18700
2162625:  W.. 0x1c700
2192625:  R.. 0x18701
2196375:  R.. 0x193bf
2203875:  W.. 0x1c701
2256250:  R.. 0x094bf
2263750:  R.. 0x18780
2275000:  W.. 0x1c780
2305125:  R.. 0x18781
2316375:  R.. 0x195bf
2320125:  W.. 0x1c781
2376375:  R.. 0x096bf
2380125:  R.. 0x18800
2391375:  W.. 0x1c800
2421500:  R.. 0x18801
2432750:  W.. 0x1c801
2436500:  R.. 0x197bf
2462750:  R.. 0x1ffff
2466500:  R.. 0x1ffff
2470250:  R.. 0x1ffff
2474000:  R.. 0x1ffff
2492750:  R.. 0x18880
2504500:  W.. 0x1c880
2535875:  R.. 0x18881
2547125:  W.. 0x1c881
2609000:  R.. 0x18900
2620250:  W.. 0x1c900
2650125:  R.. 0x18901
2657625:  R.. 0x098bf
2661375:  W.. 0x1c901
2717625:  R.. 0x199bf
2721375:  R.. 0x18980
2732625:  W.. 0x1c980
2762750:  R.. 0x18981
2774000:  W.. 0x1c981
2777750:  R.. 0x09abf
2834000:  R.. 0x18a00
2837875:  R.. 0x19bbf
2845250:  W.. 0x1ca00
2875375:  R.. 0x18a01
2886625:  W.. 0x1ca01
2897875:  R.. 0x09cbf
2946625:  R.. 0x18a80
2957875:  R.. 0x19dbf
2961625:  W.. 0x1ca80
