 4125:  R.. 0x1273f
19125:  R.. 0x1be7c
30375:  W.. 0x1fe7c
60375:  R.. 0x1be7d
64125:  R.. 0x0283f
71625:  W.. 0x1fe7d
90375:  R.. 0x1ffff
94125:  R.. 0x1ffff
97875:  R.. 0x1ffff
101625:  R.. 0x1ffff
105375:  R.. 0x15906
109125:  R.. 0x1be7e
120375:  W.. 0x1fe7e
152125:  R.. 0x1be7f
163375:  W.. 0x1fe7f
197250:  R.. 0x15907
229125:  R.. 0x1be80
240375:  W.. 0x1fe80
270500:  R.. 0x1be81
281750:  W.. 0x1fe81
285500:  R.. 0x1293f
300500:  R.. 0x15908
311750:  R.. 0x1be82
323000:  W.. 0x1fe82
345500:  R.. 0x02a3f
353000:  R.. 0x1be83
364250:  W.. 0x1fe83
394250:  R.. 0x1be84
405500:  R.. 0x12b3f
409250:  R.. 0x15909
413000:  W.. 0x1fe84
443000:  R.. 0x1be85
454250:  W.. 0x1fe85
465500:  R.. 0x02c3f
484250:  R.. 0x1be86
495500:  W.. 0x1fe86
510375:  R.. 0x1590a
525375:  R.. 0x12d3f
529125:  R.. 0x1be87
540375:  W.. 0x1fe87
570375:  R.. 0x1be88
581625:  W.. 0x1fe88
585375:  R.. 0x02e3f
611625:  R.. 0x1590b
615375:  R.. 0x1be89
626750:  W.. 0x1fe89
645500:  R.. 0x12f3f
656750:  R.. 0x1be8a
668000:  W.. 0x1fe8a
698000:  R.. 0x1be8b
705500:  R.. 0x0303f
709250:  W.. 0x1fe8b
716875:  R.. 0x1590c
731875:  R.. 0x1ffff
735625:  R.. 0x1ffff
739375:  R.. 0x1ffff
743125:  R.. 0x1ffff
746875:  R.. 0x1be8c
758125:  W.. 0x1fe8c
790000:  R.. 0x1be8d
801250:  W.. 0x1fe8d
820000:  R.. 0x1590d
831250:  R.. 0x1be8e
842500:  W.. 0x1fe8e
870625:  R.. 0x1be8f
881875:  W.. 0x1fe8f
911875:  R.. 0x1be90
923000:  R.. 0x1590e
926750:  R.. 0x1313f
930500:  W.. 0x1fe90
960500:  R.. 0x1be91
971750:  W.. 0x1fe91
986750:  R.. 0x0323f
1001750:  R.. 0x1be92
1013000:  W.. 0x1fe92
1024250:  R.. 0x1590f
1043000:  R.. 0x1be93
1046750:  R.. 0x1333f
1054250:  W.. 0x1fe93
1084375:  R.. 0x1be94
1095625:  W.. 0x1fe94
1106875:  R.. 0x0343f
1125625:  R.. 0x1be95
1129375:  R.. 0x15910
1136875:  W.. 0x1fe95
1166875:  R.. 0x1353f
1170625:  R.. 0x1be96
1182000:  W.. 0x1fe96
1212000:  R.. 0x1be97
1223250:  W.. 0x1fe97
1227000:  R.. 0x0363f
1230750:  R.. 0x15911
1253250:  R.. 0x1be98
1264500:  W.. 0x1fe98
1287000:  R.. 0x1373f
1294500:  R.. 0x1be99
1305750:  W.. 0x1fe99
1335750:  R.. 0x15912
1339500:  R.. 0x1be9a
1346875:  R.. 0x0383f
1350625:  W.. 0x1fe9a
1373125:  R.. 0x1ffff
1376875:  R.. 0x1ffff
1380625:  R.. 0x1ffff
1384375:  R.. 0x1ffff
1388125:  R.. 0x1be9b
1399375:  W.. 0x1fe9b
1431250:  R.. 0x1be9c
1438750:  R.. 0x15913
1442500:  W.. 0x1fe9c
1472500:  R.. 0x1be9d
1483750:  W.. 0x1fe9d
1511875:  R.. 0x1be9e
1523125:  W.. 0x1fe9e
1541875:  R.. 0x15914
1553250:  R.. 0x1be9f
1564500:  W.. 0x1fe9f
1568250:  R.. 0x1393f
1594500:  R.. 0x1bea0
1605750:  W.. 0x1fea0
1628250:  R.. 0x03a3f
1635875:  R.. 0x1bea1
1647125:  W.. 0x1fea1
1677125:  R.. 0x1bea2
1688375:  R.. 0x13b3f
1692125:  W.. 0x1fea2
1722125:  R.. 0x1bea3
1729625:  R.. 0x15915
1733375:  W.. 0x1fea3
1748250:  R.. 0x03c3f
1763250:  R.. 0x1bea4
1774500:  W.. 0x1fea4
1804500:  R.. 0x1bea5
1808250:  R.. 0x13d3f
1815750:  W.. 0x1fea5
