10125:  R.. 0x19b66
17625:  R.. 0x181bf
21375:  W.. 0x1db66
25125:  W.. 0x181ab
51375:  R.. 0x19b67
58750:  W.. 0x181ac
62500:  W.. 0x1db67
77500:  R.. 0x082bf
92500:  W.. 0x181ad
96250:  R.. 0x19b68
107500:  W.. 0x1db68
126375:  W.. 0x181ae
137625:  R.. 0x183bf
141375:  R.. 0x19b69
152625:  W.. 0x1db69
160125:  W.. 0x181af
182625:  R.. 0x19b6a
193875:  W.. 0x181b0
197625:  R.. 0x084bf
201375:  W.. 0x1db6a
227750:  W.. 0x181b1
231500:  R.. 0x19b6b
242750:  W.. 0x1db6b
257750:  R.. 0x185bf
261500:  W.. 0x181b2
272750:  R.. 0x19b6c
284000:  W.. 0x1db6c
295250:  W.. 0x181b3
314000:  R.. 0x19b6d
317750:  R.. 0x086bf
325250:  W.. 0x1db6d
329000:  W.. 0x181b4
355250:  R.. 0x19b6e
362750:  W.. 0x181b5
366500:  W.. 0x1db6e
377750:  R.. 0x187bf
396500:  W.. 0x181b6
400250:  R.. 0x19b6f
411500:  W.. 0x1db6f
430250:  W.. 0x181b7
437750:  R.. 0x088bf
441500:  R.. 0x19b70
452625:  W.. 0x1db70
460125:  W.. 0x181b8
463875:  R.. 0x1ffff
467625:  R.. 0x1ffff
471375:  R.. 0x1ffff
475125:  R.. 0x1ffff
482625:  R.. 0x19b71
493875:  W.. 0x181b9
497625:  W.. 0x1db71
529500:  W.. 0x181ba
533250:  R.. 0x19b72
544500:  W.. 0x1db72
563250:  W.. 0x181bb
574625:  R.. 0x19b73
602750:  W.. 0x181bc
606500:  W.. 0x1db73
629000:  W.. 0x181bd
636500:  R.. 0x19b74
647750:  W.. 0x1db74
659125:  R.. 0x189bf
662875:  W.. 0x181be
677875:  R.. 0x19b75
689125:  W.. 0x1db75
696625:  W.. 0x181bf
719125:  R.. 0x08abf
722875:  R.. 0x19b76
734125:  W.. 0x1db76
764125:  R.. 0x19b77
775375:  W.. 0x1db77
779125:  R.. 0x18bbf
805375:  R.. 0x19b78
812875:  W.. 0x181c0
816625:  W.. 0x1db78
839125:  R.. 0x08cbf
846500:  W.. 0x181c1
850375:  R.. 0x19b79
861500:  W.. 0x1db79
880250:  W.. 0x181c2
891500:  R.. 0x19b7a
899000:  R.. 0x18dbf
902750:  W.. 0x1db7a
914000:  W.. 0x181c3
932750:  R.. 0x19b7b
944000:  W.. 0x1db7b
947750:  W.. 0x181c4
959000:  R.. 0x08ebf
974000:  R.. 0x19b7c
981500:  W.. 0x181c5
985250:  W.. 0x1db7c
1015250:  W.. 0x181c6
1019000:  R.. 0x18fbf
1022750:  R.. 0x19b7d
1034125:  W.. 0x1db7d
1049125:  W.. 0x181c7
1064125:  R.. 0x19b7e
1075375:  W.. 0x1db7e
1079125:  R.. 0x090bf
1082875:  W.. 0x181c8
1105375:  R.. 0x1ffff
1109125:  R.. 0x1ffff
1112875:  R.. 0x1ffff
1116625:  R.. 0x1ffff
1120375:  W.. 0x181c9
1124250:  R.. 0x19b7f
1135500:  W.. 0x1db7f
1151875:  W.. 0x181ca
1182375:  W.. 0x181cb
1197375:  R.. 0x19b80
1208625:  W.. 0x1db80
1216125:  W.. 0x181cc
1244250:  R.. 0x19b81
1251750:  W.. 0x181cd
1255375:  W.. 0x1db81
1285375:  W.. 0x181ce
1289125:  R.. 0x19b82
1300375:  R.. 0x191bf
1304125:  W.. 0x1db82
1315375:  W.. 0x181cf
1334125:  R.. 0x19b83
1345375:  W.. 0x1db83
1349125:  W.. 0x181d0
1360375:  R.. 0x092bf
1375375:  R.. 0x19b84
1382875:  W.. 0x181d1
1386625:  W.. 0x1db84
1416625:  W.. 0x181d2
1420375:  R.. 0x193bf
1424125:  R.. 0x19b85
1435375:  W.. 0x1db85
1450375:  W.. 0x181d3
1465375:  R.. 0x19b86
1476625:  W.. 0x1db86
1480375:  R.. 0x094bf
1484250:  W.. 0x181d4
1506750:  R.. 0x19b87
1518000:  W.. 0x181d5
1521750:  W.. 0x1db87
1540500:  R.. 0x195bf
1551750:  W.. 0x181d6
1555500:  R.. 0x19b88
1566750:  W.. 0x1db88
1585625:  W.. 0x181d7
1596875:  R.. 0x19b89
1600625:  R.. 0x096bf
1608125:  W.. 0x1db89
1619375:  W.. 0x181d8
1638125:  R.. 0x19b8a
1649375:  W.. 0x1db8a
1653125:  W.. 0x181d9
1660625:  R.. 0x197bf
1679250:  R.. 0x19b8b
1686750:  W.. 0x181da
1690500:  W.. 0x1db8b
1720500:  R.. 0x098bf
1724250:  W.. 0x181db
1728000:  R.. 0x19b8c
1739250:  W.. 0x1db8c
1746750:  R.. 0x1ffff
1750500:  R.. 0x1ffff
1754250:  R.. 0x1ffff
1758000:  R.. 0x1ffff
1761750:  W.. 0x181dc
1769250:  R.. 0x19b8d
1780500:  W.. 0x1db8d
1788375:  W.. 0x181dd
1812375:  R.. 0x19b8e
1819875:  W.. 0x181de
1823625:  W.. 0x1db8e
1853625:  W.. 0x181df
1857375:  R.. 0x19b8f
1885500:  W.. 0x181e0
1889250:  W.. 0x1db8f
1919250:  W.. 0x181e1
1923000:  R.. 0x19b90
1934375:  W.. 0x1db90
1941875:  R.. 0x199bf
1953125:  W.. 0x181e2
1964375:  R.. 0x19b91
1975625:  W.. 0x1db91
1986875:  W.. 0x181e3
2001875:  R.. 0x09abf
2005625:  R.. 0x19b92
2016875:  W.. 0x1db92
2020625:  W.. 0x181e4
2046875:  R.. 0x19b93
2054375:  W.. 0x181e5
2058125:  W.. 0x1db93
2061875:  R.. 0x19bbf
2088125:  W.. 0x181e6
2091875:  R.. 0x19b94
2103125:  W.. 0x1db94
2121875:  R.. 0x09cbf
2125625:  W.. 0x181e7
2133125:  R.. 0x19b95
2144375:  W.. 0x1db95
2174375:  R.. 0x19b96
2181875:  R.. 0x19dbf
2185625:  W.. 0x1db96
2215500:  R.. 0x19b97
2226750:  W.. 0x1db97
2238000:  W.. 0x181e8
2241750:  R.. 0x09ebf
2256750:  R.. 0x19b98
2268000:  W.. 0x1db98
2271750:  W.. 0x181e9
2298125:  R.. 0x19b99
2301875:  R.. 0x19fbf
2305625:  W.. 0x181ea
2309375:  W.. 0x1db99
2339375:  W.. 0x181eb
