 3625:  R.. 0x1abbf
29875:  R.. 0x1ffff
33625:  R.. 0x1ffff
37375:  R.. 0x1ffff
41125:  R.. 0x1ffff
44875:  W.. 0x1f880
67500:  W.. 0x1f881
118125:  W.. 0x1f900
140625:  W.. 0x1f901
191250:  W.. 0x1f980
213750:  W.. 0x1f981
225000:  R.. 0x0acbf
262375:  W.. 0x1fa00
284875:  R.. 0x1adbf
288625:  W.. 0x1fa01
337375:  W.. 0x1fa80
344875:  R.. 0x0aebf
359875:  W.. 0x1fa81
405000:  R.. 0x1afbf
408625:  W.. 0x1fb00
431250:  W.. 0x1fb01
465000:  R.. 0x0b0bf
480000:  W.. 0x1fb80
502625:  W.. 0x1fb81
525125:  R.. 0x1b1bf
551375:  W.. 0x1fc00
573875:  W.. 0x1fc01
585125:  R.. 0x0b2bf
622625:  W.. 0x1fc80
645125:  R.. 0x1b3bf
648750:  W.. 0x1fc81
671250:  R.. 0x1ffff
675000:  R.. 0x1ffff
678750:  R.. 0x1ffff
682500:  R.. 0x1ffff
697500:  W.. 0x1fd00
721875:  W.. 0x1fd01
770625:  W.. 0x1fd80
810000:  W.. 0x1fd81
858875:  W.. 0x1fe00
866375:  R.. 0x0b4bf
881375:  W.. 0x1fe01
926375:  R.. 0x1b5bf
930125:  W.. 0x1fe80
952625:  W.. 0x1fe81
986500:  R.. 0x0b6bf
1001500:  W.. 0x1ff00
1024000:  W.. 0x1ff01
1046500:  R.. 0x1b7bf
1072625:  W.. 0x1ff80
1095125:  W.. 0x1ff81
1106375:  R.. 0x0b8bf
1143875:  W.. 0x00000
1166375:  R.. 0x1b9bf
1170125:  W.. 0x00001
1218875:  W.. 0x00080
1226375:  R.. 0x0babf
1241375:  W.. 0x00081
1286375:  R.. 0x1bbbf
1290125:  W.. 0x00100
1312750:  R.. 0x1ffff
1316500:  R.. 0x1ffff
1320250:  R.. 0x1ffff
1324000:  R.. 0x1ffff
1327750:  W.. 0x00101
1378375:  W.. 0x00180
1400875:  W.. 0x00181
1451500:  W.. 0x00200
1474000:  W.. 0x00201
1507750:  R.. 0x0bcbf
1522750:  W.. 0x00280
1545250:  W.. 0x00281
1567750:  R.. 0x1bdbf
1593875:  W.. 0x00300
1616375:  W.. 0x00301
1627625:  R.. 0x0bebf
1665125:  W.. 0x00380
1687750:  R.. 0x1bfbf
1691500:  W.. 0x00381
1740250:  W.. 0x00400
1747875:  R.. 0x0c0ff
1762875:  W.. 0x00401
1807875:  R.. 0x1c1ff
1811625:  W.. 0x00480
1834125:  W.. 0x00481
1867875:  R.. 0x0c2ff
1882875:  W.. 0x00500
1905375:  W.. 0x00501
1927875:  R.. 0x1c3ff
1954125:  R.. 0x1ffff
1957875:  R.. 0x1ffff
1961500:  R.. 0x1ffff
1965250:  R.. 0x1ffff
1969000:  W.. 0x00580
1991500:  W.. 0x00581
2042125:  W.. 0x00600
2064625:  W.. 0x00601
2115375:  W.. 0x00680
2137875:  W.. 0x00681
2149125:  R.. 0x0c4ff
2186625:  W.. 0x00700
2209250:  R.. 0x1c5ff
2213000:  W.. 0x00701
2261750:  W.. 0x00780
2269250:  R.. 0x0c6ff
2284250:  W.. 0x00781
2329250:  R.. 0x1c7ff
2333000:  W.. 0x00800
2355375:  W.. 0x00801
2389125:  R.. 0x0c8ff
2404125:  W.. 0x00880
2426625:  W.. 0x00881
2449125:  R.. 0x1c9ff
2475375:  W.. 0x00900
2497875:  W.. 0x00901
2509125:  R.. 0x0caff
2546625:  W.. 0x00980
2569250:  R.. 0x1cbff
2573000:  W.. 0x00981
2595500:  R.. 0x1ffff
2599250:  R.. 0x1ffff
2603000:  R.. 0x1ffff
2606750:  R.. 0x1ffff
2621750:  W.. 0x00a00
2646125:  W.. 0x00a01
2695000:  W.. 0x00a80
2734375:  W.. 0x00a81
2783000:  W.. 0x00b00
2790500:  R.. 0x0ccff
2805500:  W.. 0x00b01
2850500:  R.. 0x1cdff
2854250:  W.. 0x00b80
2876750:  W.. 0x00b81
2910500:  R.. 0x0ceff
2925500:  W.. 0x00c00
2948000:  W.. 0x00c01
2970500:  R.. 0x1cfff
2996750:  W.. 0x00c80
3019375:  W.. 0x00c81
3030625:  R.. 0x0d0ff
3068125:  W.. 0x00d00
3090625:  R.. 0x1d1ff
3094375:  W.. 0x00d01
3143125:  W.. 0x00d80
3150750:  R.. 0x0d2ff
3165625:  W.. 0x00d81
3210625:  R.. 0x1d3ff
3214375:  W.. 0x00e00
3236875:  R.. 0x1ffff
3240625:  R.. 0x1ffff
3244375:  R.. 0x1ffff
3248125:  R.. 0x1ffff
3251875:  W.. 0x00e01
3302375:  W.. 0x00e80
3324875:  W.. 0x00e81
3375625:  W.. 0x00f00
3398125:  W.. 0x00f01
3431875:  R.. 0x0d4ff
3446875:  W.. 0x00f80
3469375:  W.. 0x00f81
3492000:  R.. 0x1d5ff
3518250:  W.. 0x01000
