 8250:  W.. 0x1e201
30750:  R.. 0x183bf
57000:  R.. 0x1ffff
60750:  R.. 0x1ffff
64500:  R.. 0x1ffff
68250:  R.. 0x1ffff
72000:  W.. 0x1e280
94500:  W.. 0x1e281
145125:  W.. 0x1e300
167500:  W.. 0x1e301
218125:  W.. 0x1e380
240625:  W.. 0x1e381
251875:  R.. 0x084bf
289500:  W.. 0x1e400
312000:  R.. 0x185bf
315750:  W.. 0x1e401
364625:  W.. 0x1e480
372125:  R.. 0x086bf
387125:  W.. 0x1e481
432125:  R.. 0x187bf
435875:  W.. 0x1e500
458375:  W.. 0x1e501
492125:  R.. 0x088bf
507125:  W.. 0x1e580
529625:  W.. 0x1e581
552125:  R.. 0x189bf
578250:  W.. 0x1e600
600750:  W.. 0x1e601
612000:  R.. 0x08abf
649500:  W.. 0x1e680
672000:  R.. 0x18bbf
675750:  W.. 0x1e681
698250:  R.. 0x1ffff
702000:  R.. 0x1ffff
705750:  R.. 0x1ffff
709500:  R.. 0x1ffff
724625:  W.. 0x1e700
749000:  W.. 0x1e701
797750:  W.. 0x1e780
837250:  W.. 0x1e781
886000:  W.. 0x1e800
893500:  R.. 0x08cbf
908500:  W.. 0x1e801
953500:  R.. 0x18dbf
957250:  W.. 0x1e880
979625:  W.. 0x1e881
1013375:  R.. 0x08ebf
1028375:  W.. 0x1e900
1050875:  W.. 0x1e901
1073375:  R.. 0x18fbf
1099625:  W.. 0x1e980
1122125:  W.. 0x1e981
1133375:  R.. 0x090bf
1171000:  W.. 0x1ea00
1193500:  R.. 0x191bf
1197250:  W.. 0x1ea01
1246000:  W.. 0x1ea80
1253500:  R.. 0x092bf
1268625:  W.. 0x1ea81
1313625:  R.. 0x193bf
1317375:  W.. 0x1eb00
1339875:  R.. 0x1ffff
1343625:  R.. 0x1ffff
1347375:  R.. 0x1ffff
1351125:  R.. 0x1ffff
1354875:  W.. 0x1eb01
1405375:  W.. 0x1eb80
1427875:  W.. 0x1eb81
1478500:  W.. 0x1ec00
1501000:  W.. 0x1ec01
1534750:  R.. 0x094bf
1549750:  W.. 0x1ec80
1572250:  W.. 0x1ec81
1594750:  R.. 0x195bf
1621000:  W.. 0x1ed00
1643625:  W.. 0x1ed01
1654875:  R.. 0x096bf
1692375:  W.. 0x1ed80
1714875:  R.. 0x197bf
1718625:  W.. 0x1ed81
1767500:  W.. 0x1ee00
1775000:  R.. 0x098bf
1789875:  W.. 0x1ee01
1834875:  R.. 0x199bf
1838625:  W.. 0x1ee80
1861125:  W.. 0x1ee81
1894875:  R.. 0x09abf
1909875:  W.. 0x1ef00
1932250:  W.. 0x1ef01
1954875:  R.. 0x19bbf
1981125:  R.. 0x1ffff
1984875:  R.. 0x1ffff
1988625:  R.. 0x1ffff
1992375:  R.. 0x1ffff
1996125:  W.. 0x1ef80
2018625:  W.. 0x1ef81
2069250:  W.. 0x1f000
2091875:  W.. 0x1f001
2142500:  W.. 0x1f080
2165000:  W.. 0x1f081
2176250:  R.. 0x09cbf
2213750:  W.. 0x1f100
2236250:  R.. 0x19dbf
2240000:  W.. 0x1f101
2288750:  W.. 0x1f180
2296250:  R.. 0x09ebf
2311250:  W.. 0x1f181
2356125:  R.. 0x19fbf
2359875:  W.. 0x1f200
2382375:  W.. 0x1f201
2416125:  R.. 0x0a0bf
2431250:  W.. 0x1f280
2453750:  W.. 0x1f281
2476250:  R.. 0x1a1bf
2502500:  W.. 0x1f300
2525125:  W.. 0x1f301
2536375:  R.. 0x0a2bf
2573875:  W.. 0x1f380
2596375:  R.. 0x1a3bf
2600125:  W.. 0x1f381
2622625:  R.. 0x1ffff
2626375:  R.. 0x1ffff
2630125:  R.. 0x1ffff
2633875:  R.. 0x1ffff
2648875:  W.. 0x1f400
2673250:  W.. 0x1f401
2721875:  W.. 0x1f480
2761250:  W.. 0x1f481
2810000:  W.. 0x1f500
2817500:  R.. 0x0a4bf
2832500:  W.. 0x1f501
2877625:  R.. 0x1a5bf
2881250:  W.. 0x1f580
2903875:  W.. 0x1f581
2937625:  R.. 0x0a6bf
2952625:  W.. 0x1f600
2975250:  W.. 0x1f601
2997750:  R.. 0x1a7bf
3024000:  W.. 0x1f680
3046500:  W.. 0x1f681
3057750:  R.. 0x0a8bf
3095250:  W.. 0x1f700
3117750:  R.. 0x1a9bf
3121375:  W.. 0x1f701
3170125:  W.. 0x1f780
3177625:  R.. 0x0aabf
3192625:  W.. 0x1f781
3237625:  R.. 0x1abbf
3241375:  W.. 0x1f800
3263875:  R.. 0x1ffff
3267625:  R.. 0x1ffff
3271375:  R.. 0x1ffff
3275125:  R.. 0x1ffff
3278875:  W.. 0x1f801
3329500:  W.. 0x1f880
3352125:  W.. 0x1f881
3402750:  W.. 0x1f900
3425375:  W.. 0x1f901
3459125:  R.. 0x0acbf
3474125:  W.. 0x1f980
3496625:  W.. 0x1f981
3519125:  R.. 0x1adbf
3545250:  W.. 0x1fa00
3567750:  W.. 0x1fa01
3579000:  R.. 0x0aebf
3616500:  W.. 0x1fa80
3639000:  R.. 0x1afbf
3642750:  W.. 0x1fa81
3691500:  W.. 0x1fb00
3699000:  R.. 0x0b0bf
3714000:  W.. 0x1fb01
3759000:  R.. 0x1b1bf
3762750:  W.. 0x1fb80
3785375:  W.. 0x1fb81
3819125:  R.. 0x0b2bf
3834125:  W.. 0x1fc00
3856625:  W.. 0x1fc01
3879125:  R.. 0x1b3bf
3905500:  R.. 0x1ffff
3909250:  R.. 0x1ffff
3912875:  R.. 0x1ffff
3916625:  R.. 0x1ffff
3920375:  W.. 0x1fc80
3942875:  W.. 0x1fc81
3993500:  W.. 0x1fd00
4016000:  W.. 0x1fd01
4066500:  W.. 0x1fd80
4089000:  W.. 0x1fd81
