70375:  R.. 0x1c3ff
130250:  R.. 0x0c4ff
190250:  R.. 0x1c5ff
250125:  R.. 0x0c6ff
310250:  R.. 0x1c7ff
370375:  R.. 0x0c8ff
430375:  R.. 0x1c9ff
490375:  R.. 0x0caff
516625:  R.. 0x1ffff
520375:  R.. 0x1ffff
524125:  R.. 0x1ffff
527875:  R.. 0x1ffff
711500:  R.. 0x1cbff
771625:  R.. 0x0ccff
831750:  R.. 0x1cdff
891750:  R.. 0x0ceff
951750:  R.. 0x1cfff
1011750:  R.. 0x0d0ff
1071625:  R.. 0x1d1ff
1131625:  R.. 0x0d2ff
1157875:  R.. 0x1ffff
1161625:  R.. 0x1ffff
1165375:  R.. 0x1ffff
1169125:  R.. 0x1ffff
1353125:  R.. 0x1d3ff
1413125:  R.. 0x0d4ff
1473000:  R.. 0x1d5ff
1533000:  R.. 0x0d6ff
1593000:  R.. 0x1d7ff
1653125:  R.. 0x0d8ff
1713125:  R.. 0x1d9ff
1773250:  R.. 0x0daff
1799500:  R.. 0x1ffff
1803250:  R.. 0x1ffff
1807000:  R.. 0x1ffff
1810750:  R.. 0x1ffff
1994375:  R.. 0x1dbff
2054375:  R.. 0x0dcff
2114500:  R.. 0x1ddff
2174500:  R.. 0x0deff
2234500:  R.. 0x1dfff
2294500:  R.. 0x0e0ff
2354500:  R.. 0x1e1ff
2414375:  R.. 0x0e2ff
2440750:  R.. 0x1ffff
2444500:  R.. 0x1ffff
2448250:  R.. 0x1ffff
2452000:  R.. 0x1ffff
2635875:  R.. 0x1e3ff
2695875:  R.. 0x0e4ff
2755875:  R.. 0x1e5ff
2815750:  R.. 0x0e6ff
2875750:  R.. 0x1e7ff
2935875:  R.. 0x0e8ff
2996000:  R.. 0x1e9ff
3056000:  R.. 0x0eaff
3082250:  R.. 0x1ffff
3086000:  R.. 0x1ffff
3089750:  R.. 0x1ffff
3093500:  R.. 0x1ffff
3277125:  R.. 0x1ebff
3337125:  R.. 0x0ecff
3397250:  R.. 0x1edff
3457375:  R.. 0x0eeff
3517375:  R.. 0x1efff
3577250:  R.. 0x0f0ff
3637250:  R.. 0x1f1ff
3697250:  R.. 0x0f2ff
3723500:  R.. 0x1ffff
3727250:  R.. 0x1ffff
3731000:  R.. 0x1ffff
3734750:  R.. 0x1ffff
3918750:  R.. 0x1f3ff
3978625:  R.. 0x0f4ff
4038625:  R.. 0x1f5ff
