13250:  R.. 0x1400f
17000:  W.. 0x1c680
47000:  R.. 0x14010
65750:  W.. 0x1c700
69500:  R.. 0x0d2ff
80750:  R.. 0x14011
114500:  R.. 0x14012
118250:  W.. 0x1c780
129500:  R.. 0x1d3ff
148125:  R.. 0x14013
166875:  W.. 0x1c800
181875:  R.. 0x14014
189375:  R.. 0x0d4ff
215625:  R.. 0x14015
219375:  W.. 0x1c880
249375:  R.. 0x1d5ff
253125:  R.. 0x14016
268125:  W.. 0x1c900
283125:  R.. 0x14017
309375:  R.. 0x0d6ff
316875:  R.. 0x14018
320625:  W.. 0x1c980
346875:  R.. 0x14019
369500:  R.. 0x1d7ff
373250:  W.. 0x1ca00
380750:  R.. 0x1401a
414500:  R.. 0x1401b
422000:  W.. 0x1ca80
429500:  R.. 0x0d8ff
448250:  R.. 0x1401c
470875:  W.. 0x1cb00
482125:  R.. 0x1401d
489625:  R.. 0x1d9ff
515875:  R.. 0x1ffff
519625:  R.. 0x1ffff
523375:  R.. 0x1ffff
527125:  R.. 0x1ffff
530875:  R.. 0x1401e
534500:  W.. 0x1cb80
549500:  R.. 0x1401f
585125:  R.. 0x14020
588875:  W.. 0x1cc00
618875:  R.. 0x14021
654500:  R.. 0x14022
658250:  W.. 0x1cc80
684500:  R.. 0x14023
707000:  W.. 0x1cd00
710750:  R.. 0x0daff
718250:  R.. 0x14024
752000:  R.. 0x14025
755750:  W.. 0x1cd80
770750:  R.. 0x1dbff
785750:  R.. 0x14026
804500:  W.. 0x1ce00
819625:  R.. 0x14027
830875:  R.. 0x0dcff
853375:  R.. 0x14028
857125:  W.. 0x1ce80
890875:  R.. 0x1ddff
905875:  W.. 0x1cf00
950875:  R.. 0x0deff
954625:  W.. 0x1cf80
1003375:  W.. 0x1d000
1010875:  R.. 0x1dfff
1052125:  W.. 0x1d080
1070875:  R.. 0x0e0ff
1100750:  W.. 0x1d100
1130750:  R.. 0x1e1ff
1149500:  W.. 0x1d180
1157000:  R.. 0x1ffff
1160750:  R.. 0x1ffff
1164625:  R.. 0x1ffff
1168375:  R.. 0x1ffff
1198750:  W.. 0x1d200
1249000:  W.. 0x1d280
1299750:  W.. 0x1d300
1348500:  W.. 0x1d380
1352250:  R.. 0x0e2ff
1397250:  W.. 0x1d400
1412250:  R.. 0x1e3ff
1446000:  W.. 0x1d480
1472125:  R.. 0x0e4ff
1494625:  W.. 0x1d500
1532125:  R.. 0x1e5ff
1543375:  W.. 0x1d580
1592125:  R.. 0x0e6ff
1595875:  W.. 0x1d600
1644750:  W.. 0x1d680
1652250:  R.. 0x1e7ff
1693500:  W.. 0x1d700
1712375:  R.. 0x0e8ff
1742375:  W.. 0x1d780
1772375:  R.. 0x1e9ff
1791125:  W.. 0x1d800
1798625:  R.. 0x1ffff
1802375:  R.. 0x1ffff
1806125:  R.. 0x1ffff
1809875:  R.. 0x1ffff
1840375:  W.. 0x1d880
1890375:  W.. 0x1d900
1941000:  W.. 0x1d980
1989750:  W.. 0x1da00
1993500:  R.. 0x0eaff
2038500:  W.. 0x1da80
2053500:  R.. 0x1ebff
2087375:  W.. 0x1db00
2113625:  R.. 0x0ecff
2136125:  W.. 0x1db80
2173750:  R.. 0x1edff
2185000:  W.. 0x1dc00
2233750:  R.. 0x0eeff
2237500:  W.. 0x1dc80
2286125:  W.. 0x1dd00
2293625:  R.. 0x1efff
2334875:  W.. 0x1dd80
2353625:  R.. 0x0f0ff
2383625:  W.. 0x1de00
2413625:  R.. 0x1f1ff
2432375:  W.. 0x1de80
2439875:  R.. 0x1ffff
2443625:  R.. 0x1ffff
2447375:  R.. 0x1ffff
2451125:  R.. 0x1ffff
2481625:  W.. 0x1df00
2531875:  W.. 0x1df80
2582500:  W.. 0x1e000
2631375:  W.. 0x1e080
2635125:  R.. 0x0f2ff
2680000:  W.. 0x1e100
2695000:  R.. 0x1f3ff
2728750:  W.. 0x1e180
2755000:  R.. 0x0f4ff
2777500:  W.. 0x1e200
2815000:  R.. 0x1f5ff
2826125:  W.. 0x1e280
2875000:  R.. 0x0f6ff
2878750:  W.. 0x1e300
2927500:  W.. 0x1e380
2935000:  R.. 0x1f7ff
2976375:  W.. 0x1e400
2995125:  R.. 0x0f8ff
3025125:  W.. 0x1e480
3055125:  R.. 0x1f9ff
3073875:  W.. 0x1e500
3081375:  R.. 0x1ffff
3085125:  R.. 0x1ffff
3088875:  R.. 0x1ffff
3092625:  R.. 0x1ffff
3123125:  W.. 0x1e580
3173250:  W.. 0x1e600
3223750:  W.. 0x1e680
3272500:  W.. 0x1e700
3276250:  R.. 0x0faff
3321250:  W.. 0x1e780
3336375:  R.. 0x1fbff
3370125:  W.. 0x1e800
3396375:  R.. 0x0fcff
3419000:  W.. 0x1e880
3456500:  R.. 0x1fdff
3467750:  W.. 0x1e900
3516500:  R.. 0x0feff
3520250:  W.. 0x1e980
3569000:  W.. 0x1ea00
3576500:  R.. 0x1ffff
3617625:  W.. 0x1ea80
3636375:  R.. 0x0003f
3666375:  W.. 0x1eb00
3696375:  R.. 0x1013f
3715125:  W.. 0x1eb80
3722625:  R.. 0x1ffff
3726375:  R.. 0x1ffff
3730125:  R.. 0x1ffff
3733875:  R.. 0x1ffff
3764375:  W.. 0x1ec00
3814625:  W.. 0x1ec80
3865250:  W.. 0x1ed00
3914125:  W.. 0x1ed80
3917875:  R.. 0x0023f
3962875:  W.. 0x1ee00
3977875:  R.. 0x1033f
4011625:  W.. 0x1ee80
4037750:  R.. 0x0043f
4060250:  W.. 0x1ef00
