 3000:  R.. 0x1273f
14125:  W.. 0x01203
29125:  R.. 0x1ffff
32875:  R.. 0x1ffff
36625:  R.. 0x1ffff
40375:  R.. 0x1ffff
44125:  W.. 0x01204
66625:  W.. 0x01205
91000:  W.. 0x01206
113500:  W.. 0x01207
135875:  W.. 0x01208
167750:  W.. 0x01209
190250:  W.. 0x0120a
212750:  W.. 0x0120b
224125:  R.. 0x0283f
261625:  W.. 0x01280
284125:  R.. 0x1293f
287875:  W.. 0x01281
310375:  W.. 0x01282
333000:  W.. 0x01283
344250:  R.. 0x02a3f
355500:  W.. 0x01284
378000:  W.. 0x01285
400500:  W.. 0x01286
404250:  R.. 0x12b3f
423000:  W.. 0x01287
445500:  W.. 0x01288
464250:  R.. 0x02c3f
468000:  W.. 0x01289
490500:  W.. 0x0128a
513000:  W.. 0x0128b
524250:  R.. 0x12d3f
561625:  W.. 0x01300
584125:  R.. 0x02e3f
587875:  W.. 0x01301
610375:  W.. 0x01302
632875:  W.. 0x01303
644125:  R.. 0x12f3f
655375:  W.. 0x01304
670500:  R.. 0x1ffff
674250:  R.. 0x1ffff
678000:  R.. 0x1ffff
681750:  R.. 0x1ffff
685500:  W.. 0x01305
708000:  W.. 0x01306
732375:  W.. 0x01307
754875:  W.. 0x01308
777500:  W.. 0x01309
809375:  W.. 0x0130a
831875:  W.. 0x0130b
865625:  R.. 0x0303f
880625:  W.. 0x01380
903125:  W.. 0x01381
925500:  R.. 0x1313f
929250:  W.. 0x01382
951750:  W.. 0x01383
974250:  W.. 0x01384
985500:  R.. 0x0323f
996750:  W.. 0x01385
1019250:  W.. 0x01386
1041750:  W.. 0x01387
1045500:  R.. 0x1333f
1064250:  W.. 0x01388
1086750:  W.. 0x01389
1105500:  R.. 0x0343f
1109250:  W.. 0x0138a
1131875:  W.. 0x0138b
1165625:  R.. 0x1353f
1180625:  W.. 0x01400
1203250:  W.. 0x01401
1225750:  R.. 0x0363f
1229500:  W.. 0x01402
1252000:  W.. 0x01403
1274500:  W.. 0x01404
1285750:  R.. 0x1373f
1297000:  W.. 0x01405
1312000:  R.. 0x1ffff
1315625:  R.. 0x1ffff
1319375:  R.. 0x1ffff
1323125:  R.. 0x1ffff
1326875:  W.. 0x01406
1349375:  W.. 0x01407
1373750:  W.. 0x01408
1396250:  W.. 0x01409
1418750:  W.. 0x0140a
1450625:  W.. 0x0140b
1499375:  W.. 0x01480
1506875:  R.. 0x0383f
1521875:  W.. 0x01481
1544375:  W.. 0x01482
1567000:  R.. 0x1393f
1570750:  W.. 0x01483
1593250:  W.. 0x01484
1615750:  W.. 0x01485
1627000:  R.. 0x03a3f
1638250:  W.. 0x01486
1660875:  W.. 0x01487
1683250:  W.. 0x01488
1687125:  R.. 0x13b3f
1705750:  W.. 0x01489
1728250:  W.. 0x0148a
1747000:  R.. 0x03c3f
1750750:  W.. 0x0148b
1799500:  W.. 0x01500
1807000:  R.. 0x13d3f
1821875:  W.. 0x01501
1844375:  W.. 0x01502
1866875:  R.. 0x03e3f
1870625:  W.. 0x01503
1893125:  W.. 0x01504
1915750:  W.. 0x01505
1927000:  R.. 0x13f3f
1938250:  W.. 0x01506
1953250:  R.. 0x1ffff
1957000:  R.. 0x1ffff
1960750:  R.. 0x1ffff
1964500:  R.. 0x1ffff
1968250:  W.. 0x01507
1990875:  W.. 0x01508
2015250:  W.. 0x01509
2037750:  W.. 0x0150a
2060250:  W.. 0x0150b
2110875:  W.. 0x01580
2133375:  W.. 0x01581
2148375:  R.. 0x0407f
2155875:  W.. 0x01582
2178375:  W.. 0x01583
2200750:  W.. 0x01584
2208375:  R.. 0x1417f
2223250:  W.. 0x01585
2245750:  W.. 0x01586
2268250:  R.. 0x0427f
2272000:  W.. 0x01587
2294500:  W.. 0x01588
2317000:  W.. 0x01589
2328375:  R.. 0x1437f
2339500:  W.. 0x0158a
2362125:  W.. 0x0158b
2388375:  R.. 0x0447f
2410875:  W.. 0x01600
2433500:  W.. 0x01601
2448500:  R.. 0x1457f
2456000:  W.. 0x01602
2478500:  W.. 0x01603
2501000:  W.. 0x01604
2508500:  R.. 0x0467f
2523500:  W.. 0x01605
2546000:  W.. 0x01606
2568500:  R.. 0x1477f
2572250:  W.. 0x01607
2594750:  R.. 0x1ffff
2598500:  R.. 0x1ffff
2602250:  R.. 0x1ffff
2606000:  R.. 0x1ffff
2609625:  W.. 0x01608
2632125:  W.. 0x01609
2656500:  W.. 0x0160a
2679000:  W.. 0x0160b
2733375:  W.. 0x01680
2755875:  W.. 0x01681
2778375:  W.. 0x01682
2789750:  R.. 0x0487f
2801000:  W.. 0x01683
2823500:  W.. 0x01684
2846000:  W.. 0x01685
2849750:  R.. 0x1497f
2868500:  W.. 0x01686
2891125:  W.. 0x01687
2909875:  R.. 0x04a7f
2913625:  W.. 0x01688
2936125:  W.. 0x01689
2958625:  W.. 0x0168a
2969875:  R.. 0x14b7f
2981125:  W.. 0x0168b
3029750:  R.. 0x04c7f
3033500:  W.. 0x01700
3056000:  W.. 0x01701
3078500:  W.. 0x01702
3089750:  R.. 0x14d7f
3101000:  W.. 0x01703
3123500:  W.. 0x01704
3146000:  W.. 0x01705
3149750:  R.. 0x04e7f
3168500:  W.. 0x01706
3191000:  W.. 0x01707
3209750:  R.. 0x14f7f
3213500:  W.. 0x01708
3236125:  R.. 0x1ffff
3239750:  R.. 0x1ffff
3243625:  R.. 0x1ffff
3247375:  R.. 0x1ffff
3251000:  W.. 0x01709
3273625:  W.. 0x0170a
3298000:  W.. 0x0170b
3346750:  W.. 0x01780
3375000:  W.. 0x01781
3397500:  W.. 0x01782
3420000:  W.. 0x01783
3431250:  R.. 0x0507f
3442375:  W.. 0x01784
3464875:  W.. 0x01785
3487375:  W.. 0x01786
3491125:  R.. 0x1517f
3509875:  W.. 0x01787
3532375:  W.. 0x01788
3551125:  R.. 0x0527f
3554875:  W.. 0x01789
3577375:  W.. 0x0178a
3599875:  W.. 0x0178b
3611125:  R.. 0x1537f
3648625:  W.. 0x01800
3671125:  R.. 0x0547f
3674875:  W.. 0x01801
3697375:  W.. 0x01802
3719875:  W.. 0x01803
