 2125:  W.. 0x0ad83
24625:  W.. 0x0ad84
47125:  W.. 0x0ad85
58375:  R.. 0x0d2ff
69625:  W.. 0x0ad86
92125:  W.. 0x0ad87
114500:  W.. 0x0ad88
118375:  R.. 0x1d3ff
137000:  W.. 0x0ad89
159500:  W.. 0x0ad8a
178250:  R.. 0x0d4ff
182000:  W.. 0x0ad8b
230750:  W.. 0x0ae00
238375:  R.. 0x1d5ff
253250:  W.. 0x0ae01
275875:  W.. 0x0ae02
298375:  R.. 0x0d6ff
302125:  W.. 0x0ae03
324625:  W.. 0x0ae04
347125:  W.. 0x0ae05
358500:  R.. 0x1d7ff
369750:  W.. 0x0ae06
384750:  R.. 0x1ffff
388500:  R.. 0x1ffff
392250:  R.. 0x1ffff
396000:  R.. 0x1ffff
399750:  W.. 0x0ae07
422250:  W.. 0x0ae08
446625:  W.. 0x0ae09
469125:  W.. 0x0ae0a
491625:  W.. 0x0ae0b
542125:  W.. 0x0ae80
564625:  W.. 0x0ae81
579625:  R.. 0x0d8ff
587125:  W.. 0x0ae82
609625:  W.. 0x0ae83
632125:  W.. 0x0ae84
639625:  R.. 0x1d9ff
654625:  W.. 0x0ae85
677125:  W.. 0x0ae86
699625:  R.. 0x0daff
703375:  W.. 0x0ae87
726000:  W.. 0x0ae88
748500:  W.. 0x0ae89
759750:  R.. 0x1dbff
771000:  W.. 0x0ae8a
793500:  W.. 0x0ae8b
819875:  R.. 0x0dcff
842375:  W.. 0x0af00
864875:  W.. 0x0af01
879875:  R.. 0x1ddff
887375:  W.. 0x0af02
909875:  W.. 0x0af03
932250:  W.. 0x0af04
939750:  R.. 0x0deff
954750:  W.. 0x0af05
977250:  W.. 0x0af06
999750:  R.. 0x1dfff
1003500:  W.. 0x0af07
1026000:  R.. 0x1ffff
1029750:  R.. 0x1ffff
1033500:  R.. 0x1ffff
1037250:  R.. 0x1ffff
1041000:  W.. 0x0af08
1063500:  W.. 0x0af09
1087875:  W.. 0x0af0a
1110375:  W.. 0x0af0b
1164875:  W.. 0x0af80
1187375:  W.. 0x0af81
1209875:  W.. 0x0af82
1221125:  R.. 0x0e0ff
1232375:  W.. 0x0af83
1254875:  W.. 0x0af84
1277500:  W.. 0x0af85
1281250:  R.. 0x1e1ff
1300000:  W.. 0x0af86
1322375:  W.. 0x0af87
1341125:  R.. 0x0e2ff
1344875:  W.. 0x0af88
1367375:  W.. 0x0af89
1389875:  W.. 0x0af8a
1401125:  R.. 0x1e3ff
1412375:  W.. 0x0af8b
1461125:  R.. 0x0e4ff
1464875:  W.. 0x0b000
1487375:  W.. 0x0b001
1509875:  W.. 0x0b002
1521125:  R.. 0x1e5ff
1532375:  W.. 0x0b003
1554875:  W.. 0x0b004
1577375:  W.. 0x0b005
1581125:  R.. 0x0e6ff
