18500:  W.. 0x06a08
29875:  R.. 0x1ddff
41125:  W.. 0x06a09
63625:  W.. 0x06a0a
86125:  W.. 0x06a0b
89875:  R.. 0x0deff
134875:  W.. 0x06a80
150000:  R.. 0x1dfff
157500:  W.. 0x06a81
176250:  R.. 0x1ffff
180000:  R.. 0x1ffff
183750:  R.. 0x1ffff
187500:  R.. 0x1ffff
191250:  W.. 0x06a82
213750:  W.. 0x06a83
238125:  W.. 0x06a84
260625:  W.. 0x06a85
283125:  W.. 0x06a86
315000:  W.. 0x06a87
337500:  W.. 0x06a88
360000:  W.. 0x06a89
371250:  R.. 0x0e0ff
382375:  W.. 0x06a8a
404875:  W.. 0x06a8b
431125:  R.. 0x1e1ff
453625:  W.. 0x06b00
476125:  W.. 0x06b01
491125:  R.. 0x0e2ff
498625:  W.. 0x06b02
521250:  W.. 0x06b03
543750:  W.. 0x06b04
551250:  R.. 0x1e3ff
566250:  W.. 0x06b05
588875:  W.. 0x06b06
611375:  R.. 0x0e4ff
615125:  W.. 0x06b07
637625:  W.. 0x06b08
660125:  W.. 0x06b09
671375:  R.. 0x1e5ff
682625:  W.. 0x06b0a
705125:  W.. 0x06b0b
731375:  R.. 0x0e6ff
753750:  W.. 0x06b80
776250:  W.. 0x06b81
791250:  R.. 0x1e7ff
798750:  W.. 0x06b82
817500:  R.. 0x1ffff
821250:  R.. 0x1ffff
825000:  R.. 0x1ffff
828750:  R.. 0x1ffff
832500:  W.. 0x06b83
855000:  W.. 0x06b84
879375:  W.. 0x06b85
901875:  W.. 0x06b86
924375:  W.. 0x06b87
956375:  W.. 0x06b88
978875:  W.. 0x06b89
1001375:  W.. 0x06b8a
1012750:  R.. 0x0e8ff
1024000:  W.. 0x06b8b
1072750:  R.. 0x1e9ff
1076500:  W.. 0x06c00
1099000:  W.. 0x06c01
1121500:  W.. 0x06c02
1132750:  R.. 0x0eaff
1143875:  W.. 0x06c03
1166375:  W.. 0x06c04
1188875:  W.. 0x06c05
1192625:  R.. 0x1ebff
1211375:  W.. 0x06c06
1233875:  W.. 0x06c07
1252625:  R.. 0x0ecff
1256375:  W.. 0x06c08
1278875:  W.. 0x06c09
1301375:  W.. 0x06c0a
1312625:  R.. 0x1edff
1323875:  W.. 0x06c0b
1372750:  R.. 0x0eeff
1376375:  W.. 0x06c80
1399000:  W.. 0x06c81
1421500:  W.. 0x06c82
1432750:  R.. 0x1efff
1444000:  W.. 0x06c83
1459125:  R.. 0x1ffff
1462875:  R.. 0x1ffff
1466625:  R.. 0x1ffff
1470375:  R.. 0x1ffff
1474125:  W.. 0x06c84
1496625:  W.. 0x06c85
1521000:  W.. 0x06c86
1543375:  W.. 0x06c87
1565875:  W.. 0x06c88
1597750:  W.. 0x06c89
1620250:  W.. 0x06c8a
1642750:  W.. 0x06c8b
1654000:  R.. 0x0f0ff
1691375:  W.. 0x06d00
1714000:  R.. 0x1f1ff
1717625:  W.. 0x06d01
1740250:  W.. 0x06d02
1762750:  W.. 0x06d03
1774000:  R.. 0x0f2ff
1785250:  W.. 0x06d04
1807750:  W.. 0x06d05
1830375:  W.. 0x06d06
1834125:  R.. 0x1f3ff
1852875:  W.. 0x06d07
1875375:  W.. 0x06d08
1894125:  R.. 0x0f4ff
1897875:  W.. 0x06d09
1920375:  W.. 0x06d0a
1942875:  W.. 0x06d0b
1954250:  R.. 0x1f5ff
1991625:  W.. 0x06d80
2014125:  R.. 0x0f6ff
2017875:  W.. 0x06d81
2040250:  W.. 0x06d82
2062750:  W.. 0x06d83
2074125:  R.. 0x1f7ff
2085250:  W.. 0x06d84
2100250:  R.. 0x1ffff
2104000:  R.. 0x1ffff
2107750:  R.. 0x1ffff
2111500:  R.. 0x1ffff
2115250:  W.. 0x06d85
2137750:  W.. 0x06d86
2162125:  W.. 0x06d87
2184750:  W.. 0x06d88
2207250:  W.. 0x06d89
2239125:  W.. 0x06d8a
2261750:  W.. 0x06d8b
2295500:  R.. 0x0f8ff
2310500:  W.. 0x06e00
2333000:  W.. 0x06e01
2355500:  R.. 0x1f9ff
2359250:  W.. 0x06e02
2381750:  W.. 0x06e03
2404250:  W.. 0x06e04
2415500:  R.. 0x0faff
2426750:  W.. 0x06e05
2449250:  W.. 0x06e06
2471625:  W.. 0x06e07
2475500:  R.. 0x1fbff
2494125:  W.. 0x06e08
2516625:  W.. 0x06e09
2535375:  R.. 0x0fcff
