 4375:  R.. 0x00e3f
19375:  W.. 0x00b80
41750:  W.. 0x00b81
64250:  R.. 0x10f3f
68000:  W.. 0x00b82
90500:  W.. 0x00b83
113000:  W.. 0x00b84
124250:  R.. 0x0103f
135500:  W.. 0x00b85
158000:  W.. 0x00b86
180500:  W.. 0x00b87
184250:  R.. 0x1113f
203000:  W.. 0x00b88
225500:  W.. 0x00b89
244250:  R.. 0x0123f
248000:  W.. 0x00b8a
270625:  W.. 0x00b8b
293125:  W.. 0x00b8c
304375:  R.. 0x1133f
341875:  W.. 0x00c00
364500:  R.. 0x0143f
368250:  W.. 0x00c01
390750:  W.. 0x00c02
413250:  W.. 0x00c03
424500:  R.. 0x1153f
435750:  W.. 0x00c04
450750:  R.. 0x1ffff
454500:  R.. 0x1ffff
458125:  R.. 0x1ffff
461875:  R.. 0x1ffff
465625:  W.. 0x00c05
488125:  W.. 0x00c06
512500:  W.. 0x00c07
535000:  W.. 0x00c08
557500:  W.. 0x00c09
589375:  W.. 0x00c0a
611875:  W.. 0x00c0b
634375:  W.. 0x00c0c
645625:  R.. 0x0163f
683125:  W.. 0x00c80
705750:  R.. 0x1173f
709375:  W.. 0x00c81
732000:  W.. 0x00c82
754500:  W.. 0x00c83
765750:  R.. 0x0183f
777000:  W.. 0x00c84
799500:  W.. 0x00c85
822000:  W.. 0x00c86
825875:  R.. 0x1193f
844500:  W.. 0x00c87
867000:  W.. 0x00c88
885750:  R.. 0x01a3f
889500:  W.. 0x00c89
912000:  W.. 0x00c8a
934500:  W.. 0x00c8b
945750:  R.. 0x11b3f
957000:  W.. 0x00c8c
1005750:  R.. 0x01c3f
1009375:  W.. 0x00d00
1031875:  W.. 0x00d01
1054375:  W.. 0x00d02
1065750:  R.. 0x11d3f
1077000:  W.. 0x00d03
1092000:  R.. 0x1ffff
1095750:  R.. 0x1ffff
1099500:  R.. 0x1ffff
1103250:  R.. 0x1ffff
1107000:  W.. 0x00d04
1129500:  W.. 0x00d05
1153875:  W.. 0x00d06
1176375:  W.. 0x00d07
1199000:  W.. 0x00d08
1230875:  W.. 0x00d09
1253375:  W.. 0x00d0a
1275875:  W.. 0x00d0b
1287125:  R.. 0x01e3f
1298375:  W.. 0x00d0c
1347125:  R.. 0x11f3f
1350875:  W.. 0x00d80
1373375:  W.. 0x00d81
1395875:  W.. 0x00d82
1407125:  R.. 0x0203f
1418250:  W.. 0x00d83
1440750:  W.. 0x00d84
1463250:  W.. 0x00d85
1467000:  R.. 0x1213f
1485750:  W.. 0x00d86
1508250:  W.. 0x00d87
1527000:  R.. 0x0223f
1530750:  W.. 0x00d88
1553375:  W.. 0x00d89
1575875:  W.. 0x00d8a
1587125:  R.. 0x1233f
1598375:  W.. 0x00d8b
1620875:  W.. 0x00d8c
1647250:  R.. 0x0243f
1669750:  W.. 0x00e00
1692250:  W.. 0x00e01
1707250:  R.. 0x1253f
1714750:  W.. 0x00e02
1733500:  R.. 0x1ffff
1737250:  R.. 0x1ffff
1741000:  R.. 0x1ffff
1744750:  R.. 0x1ffff
1748500:  W.. 0x00e03
1771000:  W.. 0x00e04
1795375:  W.. 0x00e05
1817875:  W.. 0x00e06
1840250:  W.. 0x00e07
1872125:  W.. 0x00e08
1894625:  W.. 0x00e09
1917125:  W.. 0x00e0a
1928375:  R.. 0x0263f
1939625:  W.. 0x00e0b
1962125:  W.. 0x00e0c
1988500:  R.. 0x1273f
2011000:  W.. 0x00e80
2033500:  W.. 0x00e81
2048500:  R.. 0x0283f
2056000:  W.. 0x00e82
2078500:  W.. 0x00e83
2101125:  W.. 0x00e84
2108625:  R.. 0x1293f
2123625:  W.. 0x00e85
2146125:  W.. 0x00e86
2168625:  R.. 0x02a3f
2172375:  W.. 0x00e87
2194875:  W.. 0x00e88
2217375:  W.. 0x00e89
2228625:  R.. 0x12b3f
2239750:  W.. 0x00e8a
2262250:  W.. 0x00e8b
2284750:  W.. 0x00e8c
2288500:  R.. 0x02c3f
2333500:  W.. 0x00f00
2348500:  R.. 0x12d3f
2356000:  W.. 0x00f01
2374750:  R.. 0x1ffff
2378500:  R.. 0x1ffff
2382250:  R.. 0x1ffff
2386000:  R.. 0x1ffff
2389750:  W.. 0x00f02
2412250:  W.. 0x00f03
2436625:  W.. 0x00f04
2459250:  W.. 0x00f05
2481750:  W.. 0x00f06
2513625:  W.. 0x00f07
2536250:  W.. 0x00f08
2558750:  W.. 0x00f09
2570000:  R.. 0x02e3f
2581250:  W.. 0x00f0a
2603750:  W.. 0x00f0b
2626125:  W.. 0x00f0c
2630000:  R.. 0x12f3f
2674875:  W.. 0x00f80
2689875:  R.. 0x0303f
2697375:  W.. 0x00f81
2719875:  W.. 0x00f82
2742250:  W.. 0x00f83
2749875:  R.. 0x1313f
2764750:  W.. 0x00f84
2787375:  W.. 0x00f85
2809875:  R.. 0x0323f
2813625:  W.. 0x00f86
2836125:  W.. 0x00f87
2858625:  W.. 0x00f88
2870000:  R.. 0x1333f
2881250:  W.. 0x00f89
2903750:  W.. 0x00f8a
2926250:  W.. 0x00f8b
2930000:  R.. 0x0343f
2948750:  W.. 0x00f8c
2990125:  R.. 0x1353f
2997500:  W.. 0x01000
3016375:  R.. 0x1ffff
3020125:  R.. 0x1ffff
