96375:  R.. 0x0203f
156375:  R.. 0x1213f
216375:  R.. 0x0223f
276500:  R.. 0x1233f
336500:  R.. 0x0243f
396625:  R.. 0x1253f
456625:  R.. 0x0263f
516500:  R.. 0x1273f
542750:  R.. 0x1ffff
546500:  R.. 0x1ffff
550250:  R.. 0x1ffff
554000:  R.. 0x1ffff
737875:  R.. 0x0283f
797875:  R.. 0x1293f
857875:  R.. 0x02a3f
917875:  R.. 0x12b3f
977875:  R.. 0x02c3f
1037750:  R.. 0x12d3f
1097875:  R.. 0x02e3f
1157875:  R.. 0x12f3f
1184250:  R.. 0x1ffff
1188000:  R.. 0x1ffff
1191750:  R.. 0x1ffff
1195500:  R.. 0x1ffff
1334250:  W.. 0x1c000
1356750:  W.. 0x1c001
1379250:  R.. 0x0303f
1405500:  W.. 0x1c080
1427875:  W.. 0x1c081
1439125:  R.. 0x1313f
1499125:  R.. 0x0323f
1559250:  R.. 0x1333f
1619250:  R.. 0x0343f
1679375:  R.. 0x1353f
1739375:  R.. 0x0363f
1799375:  R.. 0x1373f
1825500:  R.. 0x1ffff
1829250:  R.. 0x1ffff
1833000:  R.. 0x1ffff
1836750:  R.. 0x1ffff
2020625:  R.. 0x0383f
2080750:  R.. 0x1393f
2140750:  R.. 0x03a3f
2200750:  R.. 0x13b3f
2260625:  R.. 0x03c3f
2320625:  R.. 0x13d3f
2380625:  R.. 0x03e3f
2440750:  R.. 0x13f3f
2467000:  R.. 0x1ffff
2470750:  R.. 0x1ffff
2474500:  R.. 0x1ffff
2478250:  R.. 0x1ffff
2662000:  R.. 0x0407f
2722000:  R.. 0x1417f
2782000:  R.. 0x0427f
2842000:  R.. 0x1437f
2902125:  R.. 0x0447f
2962125:  R.. 0x1457f
3022125:  R.. 0x0467f
3082125:  R.. 0x1477f
3108375:  R.. 0x1ffff
3112125:  R.. 0x1ffff
3115875:  R.. 0x1ffff
3119625:  R.. 0x1ffff
3303375:  R.. 0x0487f
3363500:  R.. 0x1497f
3423500:  R.. 0x04a7f
3483500:  R.. 0x14b7f
3543500:  R.. 0x04c7f
3603375:  R.. 0x14d7f
3663375:  R.. 0x04e7f
3723500:  R.. 0x14f7f
3749750:  R.. 0x1ffff
3753500:  R.. 0x1ffff
3757250:  R.. 0x1ffff
3761000:  R.. 0x1ffff
3944875:  R.. 0x0507f
4004750:  R.. 0x1517f
4064750:  R.. 0x0527f
