41875:  R.. 0x0bcbf
102000:  R.. 0x1bdbf
162000:  R.. 0x0bebf
221875:  R.. 0x1bfbf
248125:  R.. 0x1ffff
251875:  R.. 0x1ffff
255625:  R.. 0x1ffff
259375:  R.. 0x1ffff
443125:  R.. 0x0c0ff
503250:  R.. 0x1c1ff
563250:  R.. 0x0c2ff
623250:  R.. 0x1c3ff
683250:  R.. 0x0c4ff
743125:  R.. 0x1c5ff
803125:  R.. 0x0c6ff
863250:  R.. 0x1c7ff
889500:  R.. 0x1ffff
893250:  R.. 0x1ffff
897125:  R.. 0x1ffff
900875:  R.. 0x1ffff
1084625:  R.. 0x0c8ff
1144500:  R.. 0x1c9ff
1204500:  R.. 0x0caff
1264625:  R.. 0x1cbff
1324625:  R.. 0x0ccff
1384750:  R.. 0x1cdff
1444750:  R.. 0x0ceff
1504750:  R.. 0x1cfff
1530875:  R.. 0x1ffff
1534625:  R.. 0x1ffff
1538375:  R.. 0x1ffff
1542125:  R.. 0x1ffff
1645250:  W.. 0x1c000
1669625:  W.. 0x1c001
1718500:  W.. 0x1c080
1726000:  R.. 0x0d0ff
1741000:  W.. 0x1c081
1786125:  R.. 0x1d1ff
1846125:  R.. 0x0d2ff
1906125:  R.. 0x1d3ff
1966000:  R.. 0x0d4ff
2026000:  R.. 0x1d5ff
2086000:  R.. 0x0d6ff
2146000:  R.. 0x1d7ff
2172375:  R.. 0x1ffff
2176125:  R.. 0x1ffff
2179875:  R.. 0x1ffff
2183625:  R.. 0x1ffff
2367375:  R.. 0x0d8ff
2427375:  R.. 0x1d9ff
2487250:  R.. 0x0daff
2547375:  R.. 0x1dbff
2607375:  R.. 0x0dcff
2667500:  R.. 0x1ddff
2727500:  R.. 0x0deff
2787500:  R.. 0x1dfff
2813750:  R.. 0x1ffff
2817500:  R.. 0x1ffff
2821250:  R.. 0x1ffff
2825000:  R.. 0x1ffff
3008750:  R.. 0x0e0ff
3068875:  R.. 0x1e1ff
3128875:  R.. 0x0e2ff
3188875:  R.. 0x1e3ff
3248875:  R.. 0x0e4ff
3308750:  R.. 0x1e5ff
3368750:  R.. 0x0e6ff
3428875:  R.. 0x1e7ff
3455125:  R.. 0x1ffff
3458875:  R.. 0x1ffff
3462625:  R.. 0x1ffff
3466375:  R.. 0x1ffff
3650250:  R.. 0x0e8ff
3710125:  R.. 0x1e9ff
3770125:  R.. 0x0eaff
3830125:  R.. 0x1ebff
3890250:  R.. 0x0ecff
3950250:  R.. 0x1edff
4010375:  R.. 0x0eeff
4070375:  R.. 0x1efff
