 4875:  R.. 0x183bf
31125:  R.. 0x1ffff
34875:  R.. 0x1ffff
38625:  R.. 0x1ffff
42375:  R.. 0x1ffff
226000:  R.. 0x084bf
286000:  R.. 0x185bf
346125:  R.. 0x086bf
406125:  R.. 0x187bf
466125:  R.. 0x088bf
526125:  R.. 0x189bf
586125:  R.. 0x08abf
646000:  R.. 0x18bbf
672250:  R.. 0x1ffff
676000:  R.. 0x1ffff
679750:  R.. 0x1ffff
683625:  R.. 0x1ffff
867500:  R.. 0x08cbf
927500:  R.. 0x18dbf
987500:  R.. 0x08ebf
1047375:  R.. 0x18fbf
1107375:  R.. 0x090bf
1167500:  R.. 0x191bf
1227500:  R.. 0x092bf
1287625:  R.. 0x193bf
1313875:  R.. 0x1ffff
1317625:  R.. 0x1ffff
1321375:  R.. 0x1ffff
1325125:  R.. 0x1ffff
1508750:  R.. 0x094bf
1568750:  R.. 0x195bf
1628875:  R.. 0x096bf
1689000:  R.. 0x197bf
1749000:  R.. 0x098bf
1809000:  R.. 0x199bf
1868875:  R.. 0x09abf
1928875:  R.. 0x19bbf
1955125:  R.. 0x1ffff
1958875:  R.. 0x1ffff
1962625:  R.. 0x1ffff
1966375:  R.. 0x1ffff
2150250:  R.. 0x09cbf
2210375:  R.. 0x19dbf
2270250:  R.. 0x09ebf
2330250:  R.. 0x19fbf
2390250:  R.. 0x0a0bf
2450250:  R.. 0x1a1bf
2510375:  R.. 0x0a2bf
2570375:  R.. 0x1a3bf
2596625:  R.. 0x1ffff
2600375:  R.. 0x1ffff
2604125:  R.. 0x1ffff
2607875:  R.. 0x1ffff
2791500:  R.. 0x0a4bf
2851625:  R.. 0x1a5bf
2911625:  R.. 0x0a6bf
2971750:  R.. 0x1a7bf
3031750:  R.. 0x0a8bf
3091750:  R.. 0x1a9bf
3151750:  R.. 0x0aabf
3211625:  R.. 0x1abbf
3237875:  R.. 0x1ffff
3241625:  R.. 0x1ffff
3245375:  R.. 0x1ffff
3249125:  R.. 0x1ffff
3433125:  R.. 0x0acbf
3493125:  R.. 0x1adbf
3553000:  R.. 0x0aebf
3613000:  R.. 0x1afbf
3673000:  R.. 0x0b0bf
3733000:  R.. 0x1b1bf
3793125:  R.. 0x0b2bf
3853250:  R.. 0x1b3bf
3879500:  R.. 0x1ffff
3883250:  R.. 0x1ffff
3887000:  R.. 0x1ffff
3890750:  R.. 0x1ffff
4074375:  R.. 0x0b4bf
