55250:  R.. 0x01a3f
115375:  R.. 0x11b3f
141625:  R.. 0x1ffff
145375:  R.. 0x1ffff
149125:  R.. 0x1ffff
152875:  R.. 0x1ffff
336500:  R.. 0x01c3f
396500:  R.. 0x11d3f
456625:  R.. 0x01e3f
516750:  R.. 0x11f3f
576750:  R.. 0x0203f
636750:  R.. 0x1213f
696625:  R.. 0x0223f
756625:  R.. 0x1233f
782875:  R.. 0x1ffff
786625:  R.. 0x1ffff
790375:  R.. 0x1ffff
794125:  R.. 0x1ffff
978125:  R.. 0x0243f
1038125:  R.. 0x1253f
1098000:  R.. 0x0263f
1158000:  R.. 0x1273f
1218000:  R.. 0x0283f
1278000:  R.. 0x1293f
1338125:  R.. 0x02a3f
1398125:  R.. 0x12b3f
1424375:  R.. 0x1ffff
1428125:  R.. 0x1ffff
1431875:  R.. 0x1ffff
1435625:  R.. 0x1ffff
1619250:  R.. 0x02c3f
1679375:  R.. 0x12d3f
1739375:  R.. 0x02e3f
1799500:  R.. 0x12f3f
1859500:  R.. 0x0303f
1919500:  R.. 0x1313f
1979500:  R.. 0x0323f
2039375:  R.. 0x1333f
2065625:  R.. 0x1ffff
2069375:  R.. 0x1ffff
2073125:  R.. 0x1ffff
2076875:  R.. 0x1ffff
2260875:  R.. 0x0343f
2320875:  R.. 0x1353f
2380750:  R.. 0x0363f
2440750:  R.. 0x1373f
2500750:  R.. 0x0383f
2560750:  R.. 0x1393f
2620875:  R.. 0x03a3f
2681000:  R.. 0x13b3f
2707250:  R.. 0x1ffff
2711000:  R.. 0x1ffff
2714750:  R.. 0x1ffff
2718500:  R.. 0x1ffff
2902125:  R.. 0x03c3f
2962125:  R.. 0x13d3f
3022125:  R.. 0x03e3f
3082250:  R.. 0x13f3f
3142375:  R.. 0x0407f
3202375:  R.. 0x1417f
3262250:  R.. 0x0427f
3322250:  R.. 0x1437f
3348500:  R.. 0x1ffff
3352250:  R.. 0x1ffff
3356000:  R.. 0x1ffff
3359750:  R.. 0x1ffff
3543625:  R.. 0x0447f
3603625:  R.. 0x1457f
3663625:  R.. 0x0467f
3723625:  R.. 0x1477f
3783500:  R.. 0x0487f
3843625:  R.. 0x1497f
3903625:  R.. 0x04a7f
3963750:  R.. 0x14b7f
3990000:  R.. 0x1ffff
3993750:  R.. 0x1ffff
3997500:  R.. 0x1ffff
4001250:  R.. 0x1ffff
