 6500:  R.. 0x1053f
10250:  R.. 0x04901
21500:  W.. 0x04901
66500:  R.. 0x0063f
81500:  R.. 0x00980
96500:  R.. 0x04980
107750:  W.. 0x04980
126500:  R.. 0x1073f
137750:  R.. 0x00980
152750:  R.. 0x04980
164000:  W.. 0x04980
186500:  R.. 0x0083f
194000:  R.. 0x00981
209000:  R.. 0x04981
220125:  W.. 0x04981
246500:  R.. 0x1093f
250125:  R.. 0x00981
265125:  R.. 0x04981
276375:  W.. 0x04981
306375:  R.. 0x00a3f
332750:  R.. 0x1ffff
336500:  R.. 0x1ffff
340250:  R.. 0x1ffff
344000:  R.. 0x1ffff
347750:  R.. 0x00a00
362750:  R.. 0x04a00
374500:  W.. 0x04a00
405875:  R.. 0x00a00
420875:  R.. 0x04a00
432125:  W.. 0x04a00
471625:  R.. 0x00a01
486625:  R.. 0x04a01
497875:  W.. 0x04a01
527875:  R.. 0x10b3f
531625:  R.. 0x00a01
546625:  R.. 0x04a01
557875:  W.. 0x04a01
587875:  R.. 0x00c3f
617875:  R.. 0x00a80
632750:  R.. 0x04a80
644000:  W.. 0x04a80
647875:  R.. 0x10d3f
674000:  R.. 0x00a80
689000:  R.. 0x04a80
700250:  W.. 0x04a80
707750:  R.. 0x00e3f
730250:  R.. 0x00a81
745250:  R.. 0x04a81
756500:  W.. 0x04a81
767750:  R.. 0x10f3f
786500:  R.. 0x00a81
801625:  R.. 0x04a81
812875:  W.. 0x04a81
827875:  R.. 0x0103f
872875:  R.. 0x00b00
888000:  R.. 0x1113f
891750:  R.. 0x04b00
903000:  W.. 0x04b00
933000:  R.. 0x00b00
948000:  R.. 0x0123f
951750:  R.. 0x04b00
963000:  W.. 0x04b00
974250:  R.. 0x1ffff
978000:  R.. 0x1ffff
981750:  R.. 0x1ffff
985500:  R.. 0x1ffff
993000:  R.. 0x00b01
1008000:  R.. 0x04b01
1020625:  W.. 0x04b01
1051000:  R.. 0x00b01
1066000:  R.. 0x04b01
1077250:  W.. 0x04b01
1139125:  R.. 0x00b80
1154125:  R.. 0x04b80
1165375:  W.. 0x04b80
1169125:  R.. 0x1133f
1195375:  R.. 0x00b80
1210375:  R.. 0x04b80
1221625:  W.. 0x04b80
1229125:  R.. 0x0143f
1251750:  R.. 0x00b81
1266750:  R.. 0x04b81
1278000:  W.. 0x04b81
1289250:  R.. 0x1153f
1308000:  R.. 0x00b81
1323000:  R.. 0x04b81
1334375:  W.. 0x04b81
1349375:  R.. 0x0163f
1394375:  R.. 0x00c00
1409375:  R.. 0x1173f
1413125:  R.. 0x04c00
1424250:  W.. 0x04c00
1454250:  R.. 0x00c00
1469250:  R.. 0x0183f
1473000:  R.. 0x04c00
1484250:  W.. 0x04c00
1514250:  R.. 0x00c01
1529250:  R.. 0x1193f
1533000:  R.. 0x04c01
1544250:  W.. 0x04c01
1574125:  R.. 0x00c01
1589250:  R.. 0x01a3f
1593000:  R.. 0x04c01
1604250:  W.. 0x04c01
1615500:  R.. 0x1ffff
1619250:  R.. 0x1ffff
1623000:  R.. 0x1ffff
1626750:  R.. 0x1ffff
1666125:  R.. 0x00c80
1681125:  R.. 0x04c80
1692500:  W.. 0x04c80
1722500:  R.. 0x00c80
1754375:  R.. 0x04c80
1765625:  W.. 0x04c80
1795625:  R.. 0x00c81
1810750:  R.. 0x11b3f
1814375:  R.. 0x04c81
1825625:  W.. 0x04c81
1855625:  R.. 0x00c81
1870625:  R.. 0x01c3f
1874375:  R.. 0x04c81
1885625:  W.. 0x04c81
1930625:  R.. 0x11d3f
1945500:  R.. 0x00d00
1960500:  R.. 0x04d00
1971750:  W.. 0x04d00
1990500:  R.. 0x01e3f
2001750:  R.. 0x00d00
2016750:  R.. 0x04d00
2028000:  W.. 0x04d00
2050625:  R.. 0x11f3f
2058125:  R.. 0x00d01
2073125:  R.. 0x04d01
2084375:  W.. 0x04d01
2110625:  R.. 0x0203f
2114375:  R.. 0x00d01
2129500:  R.. 0x04d01
2140750:  W.. 0x04d01
2170750:  R.. 0x1213f
2200750:  R.. 0x00d80
2215750:  R.. 0x04d80
2227000:  W.. 0x04d80
2230750:  R.. 0x0223f
2257000:  R.. 0x1ffff
2260750:  R.. 0x1ffff
2264500:  R.. 0x1ffff
2268250:  R.. 0x1ffff
2272000:  R.. 0x00d80
2287000:  R.. 0x04d80
2298625:  W.. 0x04d80
2330000:  R.. 0x00d81
2345000:  R.. 0x04d81
2356250:  W.. 0x04d81
2395625:  R.. 0x00d81
2410625:  R.. 0x04d81
2421875:  W.. 0x04d81
2451875:  R.. 0x1233f
2481875:  R.. 0x00e00
2497000:  R.. 0x04e00
2508250:  W.. 0x04e00
2512000:  R.. 0x0243f
2538250:  R.. 0x00e00
2553250:  R.. 0x04e00
2564500:  W.. 0x04e00
2572125:  R.. 0x1253f
2594625:  R.. 0x00e01
2609625:  R.. 0x04e01
2620875:  W.. 0x04e01
2632125:  R.. 0x0263f
2650875:  R.. 0x00e01
2665875:  R.. 0x04e01
2677125:  W.. 0x04e01
2692125:  R.. 0x1273f
2737000:  R.. 0x00e80
2752000:  R.. 0x0283f
2755750:  R.. 0x04e80
2767000:  W.. 0x04e80
2797000:  R.. 0x00e80
2812000:  R.. 0x1293f
2815750:  R.. 0x04e80
2827000:  W.. 0x04e80
2857000:  R.. 0x00e81
2872000:  R.. 0x02a3f
2875750:  R.. 0x04e81
2887000:  W.. 0x04e81
2898250:  R.. 0x1ffff
2902000:  R.. 0x1ffff
2905750:  R.. 0x1ffff
2909500:  R.. 0x1ffff
2917000:  R.. 0x00e81
2932000:  R.. 0x04e81
2944750:  W.. 0x04e81
3005250:  R.. 0x00f00
3037250:  R.. 0x04f00
3048500:  W.. 0x04f00
3078500:  R.. 0x00f00
3093500:  R.. 0x12b3f
3097250:  R.. 0x04f00
3108500:  W.. 0x04f00
3138500:  R.. 0x00f01
3153375:  R.. 0x02c3f
3157125:  R.. 0x04f01
3168375:  W.. 0x04f01
3198375:  R.. 0x00f01
3213375:  R.. 0x12d3f
