14000:  R.. 0x0c0ff
17750:  R.. 0x00381
32750:  R.. 0x04381
44000:  W.. 0x04381
74000:  R.. 0x1c1ff
104000:  R.. 0x00400
119000:  R.. 0x04400
130250:  W.. 0x04400
134000:  R.. 0x0c2ff
160250:  R.. 0x1ffff
164000:  R.. 0x1ffff
167750:  R.. 0x1ffff
171500:  R.. 0x1ffff
175250:  R.. 0x00400
190250:  R.. 0x04400
202000:  W.. 0x04400
233500:  R.. 0x00401
248500:  R.. 0x04401
259750:  W.. 0x04401
299125:  R.. 0x00401
314250:  R.. 0x04401
325500:  W.. 0x04401
355500:  R.. 0x1c3ff
385500:  R.. 0x00480
400375:  R.. 0x04480
411625:  W.. 0x04480
415375:  R.. 0x0c4ff
441625:  R.. 0x00480
456625:  R.. 0x04480
467875:  W.. 0x04480
475375:  R.. 0x1c5ff
497875:  R.. 0x00481
512875:  R.. 0x04481
524125:  W.. 0x04481
535375:  R.. 0x0c6ff
554125:  R.. 0x00481
569125:  R.. 0x04481
580375:  W.. 0x04481
595375:  R.. 0x1c7ff
640375:  R.. 0x00500
655500:  R.. 0x0c8ff
659250:  R.. 0x04500
670500:  W.. 0x04500
700500:  R.. 0x00500
715500:  R.. 0x1c9ff
719250:  R.. 0x04500
730500:  W.. 0x04500
760500:  R.. 0x00501
775625:  R.. 0x0caff
779250:  R.. 0x04501
790500:  W.. 0x04501
801875:  R.. 0x1ffff
805625:  R.. 0x1ffff
809375:  R.. 0x1ffff
813000:  R.. 0x1ffff
820500:  R.. 0x00501
835500:  R.. 0x04501
848125:  W.. 0x04501
908625:  R.. 0x00580
940375:  R.. 0x04580
951625:  W.. 0x04580
981625:  R.. 0x00580
996750:  R.. 0x1cbff
1000375:  R.. 0x04580
1011625:  W.. 0x04580
1041750:  R.. 0x00581
1056750:  R.. 0x0ccff
1060500:  R.. 0x04581
1071750:  W.. 0x04581
1101750:  R.. 0x00581
1116875:  R.. 0x1cdff
1120625:  R.. 0x04581
1131875:  W.. 0x04581
1176875:  R.. 0x0ceff
1191875:  R.. 0x00600
1206875:  R.. 0x04600
1218125:  W.. 0x04600
1236875:  R.. 0x1cfff
1248125:  R.. 0x00600
1263125:  R.. 0x04600
1274375:  W.. 0x04600
1296875:  R.. 0x0d0ff
1304375:  R.. 0x00601
1319375:  R.. 0x04601
1330500:  W.. 0x04601
1356875:  R.. 0x1d1ff
1360500:  R.. 0x00601
1375500:  R.. 0x04601
1386750:  W.. 0x04601
1416750:  R.. 0x0d2ff
1443125:  R.. 0x1ffff
1446875:  R.. 0x1ffff
1450625:  R.. 0x1ffff
1454375:  R.. 0x1ffff
1458000:  R.. 0x00680
1473125:  R.. 0x04680
1484750:  W.. 0x04680
1516250:  R.. 0x00680
1531250:  R.. 0x04680
1542500:  W.. 0x04680
1582000:  R.. 0x00681
1597000:  R.. 0x04681
1608250:  W.. 0x04681
1638250:  R.. 0x1d3ff
1642000:  R.. 0x00681
1657000:  R.. 0x04681
1668250:  W.. 0x04681
1698250:  R.. 0x0d4ff
1728125:  R.. 0x00700
1743125:  R.. 0x04700
1754375:  W.. 0x04700
1758250:  R.. 0x1d5ff
1784375:  R.. 0x00700
1799375:  R.. 0x04700
1810625:  W.. 0x04700
1818125:  R.. 0x0d6ff
1840625:  R.. 0x00701
1855625:  R.. 0x04701
1866875:  W.. 0x04701
1878125:  R.. 0x1d7ff
1896875:  R.. 0x00701
1911875:  R.. 0x04701
1923250:  W.. 0x04701
1938250:  R.. 0x0d8ff
1983250:  R.. 0x00780
1998375:  R.. 0x1d9ff
2002125:  R.. 0x04780
2013375:  W.. 0x04780
2043375:  R.. 0x00780
2058375:  R.. 0x0daff
2062125:  R.. 0x04780
2073375:  W.. 0x04780
2084625:  R.. 0x1ffff
2088375:  R.. 0x1ffff
2092125:  R.. 0x1ffff
2095875:  R.. 0x1ffff
2103375:  R.. 0x00781
2118375:  R.. 0x04781
2131000:  W.. 0x04781
2161375:  R.. 0x00781
2176375:  R.. 0x04781
2187625:  W.. 0x04781
2249500:  R.. 0x00800
2264500:  R.. 0x04800
2275750:  W.. 0x04800
2279500:  R.. 0x1dbff
2305750:  R.. 0x00800
2320750:  R.. 0x04800
2332000:  W.. 0x04800
2339500:  R.. 0x0dcff
2362125:  R.. 0x00801
2377125:  R.. 0x04801
2388375:  W.. 0x04801
2399625:  R.. 0x1ddff
2418375:  R.. 0x00801
2433375:  R.. 0x04801
2444625:  W.. 0x04801
2459750:  R.. 0x0deff
2504750:  R.. 0x00880
2519750:  R.. 0x1dfff
2523500:  R.. 0x04880
2534625:  W.. 0x04880
2564625:  R.. 0x00880
2579625:  R.. 0x0e0ff
2583375:  R.. 0x04880
2594625:  W.. 0x04880
2624625:  R.. 0x00881
2639625:  R.. 0x1e1ff
2643375:  R.. 0x04881
2654500:  W.. 0x04881
2684500:  R.. 0x00881
2699625:  R.. 0x0e2ff
2703250:  R.. 0x04881
2714625:  W.. 0x04881
2725875:  R.. 0x1ffff
2729625:  R.. 0x1ffff
2733375:  R.. 0x1ffff
2737125:  R.. 0x1ffff
2776500:  R.. 0x00900
2791500:  R.. 0x04900
2802875:  W.. 0x04900
2832875:  R.. 0x00900
2864750:  R.. 0x04900
2876000:  W.. 0x04900
2906000:  R.. 0x00901
2921125:  R.. 0x1e3ff
2924750:  R.. 0x04901
2936000:  W.. 0x04901
2966000:  R.. 0x00901
2981000:  R.. 0x0e4ff
2984750:  R.. 0x04901
2996000:  W.. 0x04901
3041000:  R.. 0x1e5ff
3055875:  R.. 0x00980
3070875:  R.. 0x04980
3082125:  W.. 0x04980
3100875:  R.. 0x0e6ff
3112125:  R.. 0x00980
3127125:  R.. 0x04980
3138375:  W.. 0x04980
3161000:  R.. 0x1e7ff
3168500:  R.. 0x00981
3183500:  R.. 0x04981
3194750:  W.. 0x04981
3221000:  R.. 0x0e8ff
3224750:  R.. 0x00981
3239750:  R.. 0x04981
3251125:  W.. 0x04981
3281125:  R.. 0x1e9ff
3311125:  R.. 0x00a00
3326125:  R.. 0x04a00
3337375:  W.. 0x04a00
3341125:  R.. 0x0eaff
3367375:  R.. 0x1ffff
3371125:  R.. 0x1ffff
3374875:  R.. 0x1ffff
3378625:  R.. 0x1ffff
3382375:  R.. 0x00a00
3397375:  R.. 0x04a00
3409000:  W.. 0x04a00
3440375:  R.. 0x00a01
3455375:  R.. 0x04a01
3466625:  W.. 0x04a01
3506000:  R.. 0x00a01
3521000:  R.. 0x04a01
3532250:  W.. 0x04a01
