    0:  W.v 0x10000
 7375:  R.. 0x19dbf
11125:  W.. 0x1e482
41125:  R.. 0x1a483
56125:  R.. 0x1e483
67375:  R.. 0x09ebf
71125:  W.. 0x1e483
101125:  R.. 0x1a483
116125:  R.. 0x1e483
127375:  R.. 0x19fbf
131125:  W.. 0x1e483
161125:  R.. 0x1a484
176125:  R.. 0x1e484
187375:  R.. 0x0a0bf
191125:  W.. 0x1e484
221125:  R.. 0x1a484
236125:  R.. 0x1e484
247500:  R.. 0x1a1bf
251250:  W.. 0x1e484
281250:  R.. 0x1a485
296250:  R.. 0x1e485
307500:  R.. 0x0a2bf
311250:  W.. 0x1e485
341375:  R.. 0x1a485
356375:  R.. 0x1e485
367625:  R.. 0x1a3bf
371375:  W.. 0x1e485
401375:  R.. 0x1a486
416250:  R.. 0x1e486
427500:  R.. 0x0a4bf
431250:  W.. 0x1e486
453750:  R.. 0x1ffff
457500:  R.. 0x1ffff
461250:  R.. 0x1ffff
465000:  R.. 0x1ffff
468750:  R.. 0x1a486
483750:  R.. 0x1e486
495500:  W.. 0x1e486
556875:  R.. 0x1a500
571875:  R.. 0x1e500
592500:  W.. 0x1e500
622500:  R.. 0x1a500
637500:  R.. 0x1e500
648750:  R.. 0x1a5bf
652500:  W.. 0x1e500
682500:  R.. 0x1a501
697625:  R.. 0x1e501
708875:  R.. 0x0a6bf
712625:  W.. 0x1e501
742625:  R.. 0x1a501
757625:  R.. 0x1e501
768875:  R.. 0x1a7bf
772625:  W.. 0x1e501
802625:  R.. 0x1a502
817625:  R.. 0x1e502
828875:  R.. 0x0a8bf
832625:  W.. 0x1e502
862625:  R.. 0x1a502
877625:  R.. 0x1e502
888875:  R.. 0x1a9bf
892625:  W.. 0x1e502
922625:  R.. 0x1a503
937625:  R.. 0x1e503
948875:  R.. 0x0aabf
952625:  W.. 0x1e503
982500:  R.. 0x1a503
997500:  R.. 0x1e503
1008750:  R.. 0x1abbf
1012500:  W.. 0x1e503
1042500:  R.. 0x1a504
1057625:  R.. 0x1e504
1068875:  R.. 0x0acbf
1072625:  W.. 0x1e504
1095125:  R.. 0x1ffff
1098875:  R.. 0x1ffff
1102625:  R.. 0x1ffff
1106375:  R.. 0x1ffff
1110125:  R.. 0x1a504
1125125:  R.. 0x1e504
1136875:  W.. 0x1e504
1168375:  R.. 0x1a505
1183375:  R.. 0x1e505
1194625:  W.. 0x1e505
1234000:  R.. 0x1a505
1249000:  R.. 0x1e505
1260250:  W.. 0x1e505
1290250:  R.. 0x1adbf
1294000:  R.. 0x1a506
1309000:  R.. 0x1e506
1320250:  W.. 0x1e506
1350125:  R.. 0x0aebf
1354000:  R.. 0x1a506
1368875:  R.. 0x1e506
1380125:  W.. 0x1e506
1410125:  R.. 0x1afbf
1440125:  R.. 0x1a580
1455125:  R.. 0x1e580
1466375:  W.. 0x1e580
1470125:  R.. 0x0b0bf
1496375:  R.. 0x1a580
1511375:  R.. 0x1e580
1522750:  W.. 0x1e580
1530250:  R.. 0x1b1bf
1552750:  R.. 0x1a581
1567750:  R.. 0x1e581
1579000:  W.. 0x1e581
1590250:  R.. 0x0b2bf
1609125:  R.. 0x1a581
1624125:  R.. 0x1e581
1635375:  W.. 0x1e581
1650375:  R.. 0x1b3bf
1665375:  R.. 0x1a582
1680375:  R.. 0x1e582
1691625:  W.. 0x1e582
1710375:  R.. 0x0b4bf
1721625:  R.. 0x1a582
1736625:  R.. 0x1ffff
1740375:  R.. 0x1ffff
1744125:  R.. 0x1ffff
1747875:  R.. 0x1ffff
1751625:  R.. 0x1e582
1762750:  W.. 0x1e582
1794625:  R.. 0x1a583
1809625:  R.. 0x1e583
1820875:  W.. 0x1e583
1850875:  R.. 0x1a583
1875250:  R.. 0x1e583
1886500:  W.. 0x1e583
1916500:  R.. 0x1a584
1931500:  R.. 0x1b5bf
1935250:  R.. 0x1e584
1946500:  W.. 0x1e584
1976625:  R.. 0x1a584
1991625:  R.. 0x0b6bf
1995375:  R.. 0x1e584
2006625:  W.. 0x1e584
2036625:  R.. 0x1a585
2051750:  R.. 0x1b7bf
2055500:  R.. 0x1e585
2066750:  W.. 0x1e585
2096750:  R.. 0x1a585
2111750:  R.. 0x0b8bf
2115500:  R.. 0x1e585
2126750:  W.. 0x1e585
2156750:  R.. 0x1a586
2171625:  R.. 0x1b9bf
2175375:  R.. 0x1e586
2186625:  W.. 0x1e586
2216625:  R.. 0x1a586
2231625:  R.. 0x0babf
2235375:  R.. 0x1e586
2246625:  W.. 0x1e586
2291625:  R.. 0x1bbbf
2306625:  R.. 0x1a600
2321625:  R.. 0x1e600
2332875:  W.. 0x1e600
2351625:  R.. 0x0bcbf
2362875:  R.. 0x1a600
2377875:  R.. 0x1ffff
2381625:  R.. 0x1ffff
2385375:  R.. 0x1ffff
2389125:  R.. 0x1ffff
2392875:  R.. 0x1e600
2404125:  W.. 0x1e600
2436125:  R.. 0x1a601
2451125:  R.. 0x1e601
2462375:  W.. 0x1e601
2492375:  R.. 0x1a601
2516875:  R.. 0x1e601
2528125:  W.. 0x1e601
2558125:  R.. 0x1a602
2573000:  R.. 0x1bdbf
2576750:  R.. 0x1e602
2588000:  W.. 0x1e602
2618000:  R.. 0x1a602
2633000:  R.. 0x0bebf
2636750:  R.. 0x1e602
2648000:  W.. 0x1e602
2678000:  R.. 0x1a603
2692875:  R.. 0x1bfbf
2696625:  R.. 0x1e603
2707875:  W.. 0x1e603
2737875:  R.. 0x1a603
2753000:  R.. 0x0c0ff
2756750:  R.. 0x1e603
2768000:  W.. 0x1e603
2798000:  R.. 0x1a604
2813000:  R.. 0x1c1ff
2816750:  R.. 0x1e604
2828000:  W.. 0x1e604
2858125:  R.. 0x1a604
2873125:  R.. 0x0c2ff
2876875:  R.. 0x1e604
2888125:  W.. 0x1e604
2918125:  R.. 0x1a605
2933125:  R.. 0x1c3ff
2936875:  R.. 0x1e605
2948125:  W.. 0x1e605
2978125:  R.. 0x1a605
2993125:  R.. 0x0c4ff
2996875:  R.. 0x1e605
3008125:  W.. 0x1e605
3019375:  R.. 0x1ffff
3023125:  R.. 0x1ffff
3026875:  R.. 0x1ffff
3030625:  R.. 0x1ffff
3038125:  R.. 0x1a606
3053125:  R.. 0x1e606
3065750:  W.. 0x1e606
3096125:  R.. 0x1a606
3111125:  R.. 0x1e606
3122375:  W.. 0x1e606
3184250:  R.. 0x1a680
3199375:  R.. 0x1e680
3210625:  W.. 0x1e680
3214375:  R.. 0x1c5ff
3240625:  R.. 0x1a680
3255625:  R.. 0x1e680
3266875:  W.. 0x1e680
3274375:  R.. 0x0c6ff
3297000:  R.. 0x1a681
3312000:  R.. 0x1e681
3323250:  W.. 0x1e681
3334500:  R.. 0x1c7ff
3353250:  R.. 0x1a681
3368250:  R.. 0x1e681
3379500:  W.. 0x1e681
3394500:  R.. 0x0c8ff
3409500:  R.. 0x1a682
3424500:  R.. 0x1e682
3435750:  W.. 0x1e682
3454500:  R.. 0x1c9ff
3465750:  R.. 0x1a682
3480750:  R.. 0x1e682
3491875:  W.. 0x1e682
3514375:  R.. 0x0caff
3521875:  R.. 0x1a683
3536875:  R.. 0x1e683
3548125:  W.. 0x1e683
