10125:  W.. 0x17d4a
17625:  R.. 0x18887
32625:  R.. 0x1c887
43875:  W.. 0x17d4b
47625:  W.. 0x1c887
75875:  W.. 0x17d4c
79625:  R.. 0x18888
94625:  R.. 0x1c888
105875:  W.. 0x1c888
109625:  W.. 0x17d4d
132125:  R.. 0x1737f
135875:  R.. 0x18888
143375:  W.. 0x17d4e
150875:  R.. 0x1c888
162250:  W.. 0x1c888
177250:  W.. 0x17d4f
192250:  R.. 0x0747f
196000:  R.. 0x18889
211000:  W.. 0x17d50
214750:  R.. 0x1c889
226000:  W.. 0x1c889
244750:  W.. 0x17d51
252250:  R.. 0x1757f
256000:  R.. 0x18889
271000:  R.. 0x1c889
278500:  W.. 0x17d52
282250:  W.. 0x1c889
312250:  R.. 0x0767f
316000:  W.. 0x17d53
319750:  R.. 0x1888a
334625:  R.. 0x1c88a
345875:  W.. 0x17d54
349625:  W.. 0x1c88a
372125:  R.. 0x1777f
379625:  W.. 0x17d55
383375:  R.. 0x1888a
398375:  R.. 0x1c88a
409625:  W.. 0x1c88a
413375:  W.. 0x17d56
432125:  R.. 0x0787f
439625:  R.. 0x1888b
447125:  W.. 0x17d57
454625:  R.. 0x1c88b
465875:  W.. 0x1c88b
480875:  W.. 0x17d58
492125:  R.. 0x1797f
495875:  R.. 0x1888b
511000:  R.. 0x1c88b
514750:  W.. 0x17d59
522250:  W.. 0x1c88b
548500:  W.. 0x17d5a
552250:  R.. 0x07a7f
556000:  R.. 0x1888c
571000:  R.. 0x1c88c
578500:  R.. 0x1ffff
582250:  R.. 0x1ffff
586000:  R.. 0x1ffff
589750:  R.. 0x1ffff
593500:  W.. 0x17d5b
597250:  W.. 0x1c88c
616125:  W.. 0x17d5c
629250:  R.. 0x1888c
644250:  R.. 0x1c88c
648000:  W.. 0x17d5d
655500:  W.. 0x1c88c
681750:  W.. 0x17d5e
685500:  R.. 0x1888d
717375:  W.. 0x17d5f
721125:  R.. 0x1c88d
732250:  W.. 0x1c88d
762250:  R.. 0x1888d
773500:  R.. 0x17b7f
777250:  R.. 0x1c88d
788500:  W.. 0x1c88d
818500:  R.. 0x1888e
833500:  R.. 0x07c7f
837250:  W.. 0x17d60
841000:  R.. 0x1c88e
852250:  W.. 0x1c88e
867250:  W.. 0x17d61
882250:  R.. 0x1888e
893500:  R.. 0x17d7f
897250:  R.. 0x1c88e
901000:  W.. 0x17d62
908500:  W.. 0x1c88e
931000:  W.. 0x17d63
938500:  R.. 0x1888f
953500:  R.. 0x07e7f
957375:  R.. 0x1c88f
964875:  W.. 0x17d64
968625:  W.. 0x1c88f
998625:  W.. 0x17d65
1002375:  R.. 0x1888f
1013625:  R.. 0x17f7f
1017375:  R.. 0x1c88f
1028625:  W.. 0x1c88f
1032375:  W.. 0x17d66
1058750:  R.. 0x18890
1066250:  W.. 0x17d67
1073750:  R.. 0x080bf
1077500:  R.. 0x1c890
1088750:  W.. 0x1c890
1099875:  W.. 0x17d68
1118625:  R.. 0x18890
1133625:  R.. 0x181bf
1137375:  W.. 0x17d69
1141125:  R.. 0x1c890
1152375:  W.. 0x1c890
1167375:  W.. 0x17d6a
1182375:  R.. 0x18891
1193625:  R.. 0x082bf
1197375:  R.. 0x1c891
1201125:  W.. 0x17d6b
1208625:  W.. 0x1c891
1219875:  R.. 0x1ffff
1223625:  R.. 0x1ffff
1227375:  R.. 0x1ffff
1231125:  R.. 0x1ffff
1234875:  W.. 0x17d6c
1238625:  R.. 0x18891
1253500:  R.. 0x1c891
1266250:  W.. 0x1c891
1270375:  W.. 0x17d6d
1296750:  R.. 0x18892
1300500:  W.. 0x17d6e
1311750:  R.. 0x1c892
1323000:  W.. 0x1c892
1334250:  W.. 0x17d6f
1358625:  R.. 0x18892
1369875:  W.. 0x17d70
1373625:  R.. 0x1c892
1384875:  W.. 0x1c892
1403750:  W.. 0x17d71
1415000:  R.. 0x183bf
1418750:  R.. 0x18893
1433750:  R.. 0x1c893
1437500:  W.. 0x17d72
1445000:  W.. 0x1c893
1471250:  W.. 0x17d73
1475000:  R.. 0x084bf
1478750:  R.. 0x18893
1493750:  R.. 0x1c893
1501250:  W.. 0x17d74
1505000:  W.. 0x1c893
1535000:  R.. 0x185bf
1538750:  W.. 0x17d75
1542500:  R.. 0x18894
1557500:  R.. 0x1c894
1568750:  W.. 0x17d76
1572500:  W.. 0x1c894
1595000:  R.. 0x086bf
1602500:  W.. 0x17d77
1606250:  R.. 0x18894
1621250:  R.. 0x1c894
1632500:  W.. 0x1c894
1636250:  W.. 0x17d78
1655000:  R.. 0x187bf
1662375:  R.. 0x18895
1669875:  W.. 0x17d79
1677375:  R.. 0x1c895
1688625:  W.. 0x1c895
1703625:  W.. 0x17d7a
1714875:  R.. 0x088bf
1718625:  R.. 0x18895
1733625:  R.. 0x1c895
1737375:  W.. 0x17d7b
1744875:  W.. 0x1c895
1771250:  W.. 0x17d7c
1775000:  R.. 0x189bf
1778750:  R.. 0x18896
1793750:  R.. 0x1c896
1805000:  W.. 0x17d7d
1808750:  W.. 0x1c896
1835000:  R.. 0x08abf
1838750:  W.. 0x17d7e
1842500:  R.. 0x18896
1857625:  R.. 0x1c896
1861375:  R.. 0x1ffff
1865125:  R.. 0x1ffff
1868875:  R.. 0x1ffff
1872625:  R.. 0x1ffff
1876375:  W.. 0x17d7f
1880125:  W.. 0x1c896
1907750:  W.. 0x17d80
1912000:  R.. 0x18897
1927000:  R.. 0x1c897
1938250:  W.. 0x17d81
1942000:  W.. 0x1c897
1972000:  W.. 0x17d82
1975750:  R.. 0x18897
2000125:  R.. 0x1c897
2007625:  W.. 0x17d83
2011375:  W.. 0x1c897
2041375:  W.. 0x17d84
2045125:  R.. 0x18898
2056375:  R.. 0x18bbf
2060125:  R.. 0x1c898
2071250:  W.. 0x1c898
2075000:  W.. 0x17d85
2101250:  R.. 0x18898
2105000:  W.. 0x17d86
2116250:  R.. 0x08cbf
2120000:  R.. 0x1c898
2131250:  W.. 0x1c898
2138750:  W.. 0x17d87
2161250:  R.. 0x18899
2176250:  R.. 0x18dbf
2180000:  R.. 0x1c899
2191250:  W.. 0x1c899
2221375:  R.. 0x18899
2236375:  R.. 0x08ebf
2240125:  R.. 0x1c899
2251375:  W.. 0x1c899
2258875:  W.. 0x17d88
2281375:  R.. 0x1889a
2292625:  W.. 0x17d89
2296375:  R.. 0x18fbf
2300125:  R.. 0x1c89a
2311375:  W.. 0x1c89a
2326500:  W.. 0x17d8a
2341500:  R.. 0x1889a
2356500:  R.. 0x090bf
2360250:  W.. 0x17d8b
2364000:  R.. 0x1c89a
2375250:  W.. 0x1c89a
2390250:  W.. 0x17d8c
2405250:  R.. 0x1889b
2416500:  R.. 0x191bf
2420250:  R.. 0x1c89b
2424000:  W.. 0x17d8d
2431500:  W.. 0x1c89b
2457750:  W.. 0x17d8e
2461500:  R.. 0x1889b
2476375:  R.. 0x092bf
2480125:  R.. 0x1c89b
2491375:  W.. 0x17d8f
2495125:  W.. 0x1c89b
2502625:  R.. 0x1ffff
2506375:  R.. 0x1ffff
2510125:  R.. 0x1ffff
2513875:  R.. 0x1ffff
2525125:  W.. 0x17d90
2528875:  R.. 0x1889c
2544375:  R.. 0x1c89c
2557000:  W.. 0x1c89c
2560750:  W.. 0x17d91
2587000:  R.. 0x1889c
2594500:  W.. 0x17d92
2602000:  R.. 0x1c89c
2613250:  W.. 0x1c89c
2641375:  W.. 0x17d93
2645125:  R.. 0x1889d
2660125:  W.. 0x17d94
2663875:  R.. 0x1c89d
2675250:  W.. 0x1c89d
2694000:  W.. 0x17d95
2697750:  R.. 0x193bf
2705250:  R.. 0x1889d
2720250:  R.. 0x1c89d
2727750:  W.. 0x17d96
2731500:  W.. 0x1c89d
2757750:  R.. 0x094bf
2761500:  W.. 0x17d97
2765250:  R.. 0x1889e
2780375:  R.. 0x1c89e
2791625:  W.. 0x1c89e
2795375:  W.. 0x17d98
2817875:  R.. 0x195bf
2821625:  R.. 0x1889e
2829125:  W.. 0x17d99
2836625:  R.. 0x1c89e
2847875:  W.. 0x1c89e
2862875:  W.. 0x17d9a
2877750:  R.. 0x096bf
2881625:  R.. 0x1889f
2896500:  W.. 0x17d9b
2900250:  R.. 0x1c89f
2911500:  W.. 0x1c89f
2930250:  W.. 0x17d9c
2937750:  R.. 0x197bf
2941500:  R.. 0x1889f
2956500:  R.. 0x1c89f
2960250:  W.. 0x17d9d
2967750:  W.. 0x1c89f
2994000:  W.. 0x17d9e
2997750:  R.. 0x098bf
3001500:  R.. 0x188a0
3016500:  R.. 0x1c8a0
3027750:  W.. 0x17d9f
3031500:  W.. 0x1c8a0
3057750:  R.. 0x199bf
3061500:  W.. 0x17da0
3065250:  R.. 0x188a0
3080250:  R.. 0x1c8a0
3091500:  W.. 0x1c8a0
3095250:  W.. 0x17da1
3117750:  R.. 0x09abf
3121500:  R.. 0x188a1
3129000:  W.. 0x17da2
3136625:  R.. 0x1c8a1
3144125:  R.. 0x1ffff
3147875:  R.. 0x1ffff
3151625:  R.. 0x1ffff
3155375:  R.. 0x1ffff
3159125:  W.. 0x1c8a1
3162875:  W.. 0x17da3
3190500:  R.. 0x188a1
3198500:  W.. 0x17da4
3206000:  R.. 0x1c8a1
3217250:  W.. 0x1c8a1
3228500:  W.. 0x17da5
3247250:  R.. 0x188a2
3262250:  W.. 0x17da6
3282875:  R.. 0x1c8a2
3294125:  W.. 0x1c8a2
3297875:  W.. 0x17da7
3324125:  R.. 0x188a2
3331625:  W.. 0x17da8
3339125:  R.. 0x19bbf
3342875:  R.. 0x1c8a2
3354125:  W.. 0x1c8a2
3365375:  W.. 0x17da9
3384125:  R.. 0x188a3
3399125:  R.. 0x09cbf
3402875:  W.. 0x17daa
3406625:  R.. 0x1c8a3
3417875:  W.. 0x1c8a3
