33125:  R.. 0x1e181
44375:  W.. 0x1e181
121375:  R.. 0x1e200
132625:  W.. 0x1e200
166375:  R.. 0x1e200
177625:  R.. 0x0a4bf
181375:  W.. 0x1e200
215125:  R.. 0x1e201
226375:  W.. 0x1e201
237625:  R.. 0x1a5bf
290000:  R.. 0x1e280
297500:  R.. 0x0a6bf
301250:  W.. 0x1e280
335000:  R.. 0x1e280
346250:  W.. 0x1e280
357500:  R.. 0x1a7bf
380000:  R.. 0x1e281
391250:  W.. 0x1e281
417500:  R.. 0x0a8bf
455125:  R.. 0x1e300
466375:  W.. 0x1e300
477625:  R.. 0x1a9bf
500125:  R.. 0x1e300
511500:  W.. 0x1e300
537750:  R.. 0x0aabf
545250:  R.. 0x1e301
556500:  W.. 0x1e301
597750:  R.. 0x1abbf
620250:  R.. 0x1e380
624000:  R.. 0x1ffff
627750:  R.. 0x1ffff
631500:  R.. 0x1ffff
635250:  R.. 0x1ffff
639000:  W.. 0x1e380
674500:  R.. 0x1e380
685750:  W.. 0x1e380
719500:  R.. 0x1e381
730750:  W.. 0x1e381
792625:  R.. 0x1e400
803875:  W.. 0x1e400
818875:  R.. 0x0acbf
837625:  R.. 0x1e400
848875:  W.. 0x1e400
879000:  R.. 0x1adbf
882750:  R.. 0x1e401
894000:  W.. 0x1e401
939000:  R.. 0x0aebf
957750:  R.. 0x1e480
969125:  W.. 0x1e480
999125:  R.. 0x1afbf
1002875:  R.. 0x1e480
1014125:  W.. 0x1e480
1047875:  R.. 0x1e481
1059125:  R.. 0x0b0bf
1062875:  W.. 0x1e481
1119000:  R.. 0x1b1bf
1126500:  R.. 0x1e500
1137750:  W.. 0x1e500
1171500:  R.. 0x1e500
1179000:  R.. 0x0b2bf
1182750:  W.. 0x1e500
1216500:  R.. 0x1e501
1227750:  W.. 0x1e501
1239000:  R.. 0x1b3bf
1265250:  R.. 0x1ffff
1269000:  R.. 0x1ffff
1272750:  R.. 0x1ffff
1276500:  R.. 0x1ffff
1291500:  R.. 0x1e580
1302750:  W.. 0x1e580
1338500:  R.. 0x1e580
1349750:  W.. 0x1e580
1383500:  R.. 0x1e581
1404125:  W.. 0x1e581
1460375:  R.. 0x0b4bf
1468000:  R.. 0x1e600
1479125:  W.. 0x1e600
1512875:  R.. 0x1e600
1520375:  R.. 0x1b5bf
1524125:  W.. 0x1e600
1557875:  R.. 0x1e601
1569125:  W.. 0x1e601
1580375:  R.. 0x0b6bf
1632750:  R.. 0x1e680
1640250:  R.. 0x1b7bf
1644000:  W.. 0x1e680
1677875:  R.. 0x1e680
1689125:  W.. 0x1e680
1700375:  R.. 0x0b8bf
1722875:  R.. 0x1e681
1734125:  W.. 0x1e681
1760375:  R.. 0x1b9bf
1798000:  R.. 0x1e700
1809250:  W.. 0x1e700
1820500:  R.. 0x0babf
1843000:  R.. 0x1e700
1854250:  W.. 0x1e700
1880500:  R.. 0x1bbbf
1888000:  R.. 0x1e701
1899250:  W.. 0x1e701
1906750:  R.. 0x1ffff
1910500:  R.. 0x1ffff
1914250:  R.. 0x1ffff
1918000:  R.. 0x1ffff
1964875:  R.. 0x1e780
1976125:  W.. 0x1e780
2009750:  R.. 0x1e780
2021000:  W.. 0x1e780
2056625:  R.. 0x1e781
2067875:  W.. 0x1e781
2101625:  R.. 0x0bcbf
2131750:  R.. 0x1e800
2143000:  W.. 0x1e800
2161750:  R.. 0x1bdbf
2176750:  R.. 0x1e800
2188000:  W.. 0x1e800
2221875:  R.. 0x0bebf
2225625:  R.. 0x1e801
2236875:  W.. 0x1e801
2281875:  R.. 0x1bfbf
2300625:  R.. 0x1e880
2311875:  W.. 0x1e880
2341875:  R.. 0x0c0ff
2345625:  R.. 0x1e880
2356875:  W.. 0x1e880
2390625:  R.. 0x1e881
2401875:  R.. 0x1c1ff
2405625:  W.. 0x1e881
2461750:  R.. 0x0c2ff
2469250:  R.. 0x1e900
2480500:  W.. 0x1e900
2514250:  R.. 0x1e900
2521750:  R.. 0x1c3ff
2525500:  W.. 0x1e900
2548000:  R.. 0x1ffff
2551750:  R.. 0x1ffff
2555500:  R.. 0x1ffff
2559250:  R.. 0x1ffff
2563000:  R.. 0x1e901
2574250:  W.. 0x1e901
2640000:  R.. 0x1e980
2651250:  W.. 0x1e980
2687000:  R.. 0x1e980
2698250:  W.. 0x1e980
2732000:  R.. 0x1e981
2743250:  R.. 0x0c4ff
2747000:  W.. 0x1e981
2803250:  R.. 0x1c5ff
2810750:  R.. 0x1ea00
2821875:  W.. 0x1ea00
2855625:  R.. 0x1ea00
2863125:  R.. 0x0c6ff
2866875:  W.. 0x1ea00
2900625:  R.. 0x1ea01
2911875:  W.. 0x1ea01
2923125:  R.. 0x1c7ff
2975625:  R.. 0x1ea80
2983125:  R.. 0x0c8ff
2986875:  W.. 0x1ea80
3020625:  R.. 0x1ea80
3032000:  W.. 0x1ea80
3043250:  R.. 0x1c9ff
3065750:  R.. 0x1ea81
3077000:  W.. 0x1ea81
3103250:  R.. 0x0caff
3140875:  R.. 0x1eb00
3152125:  W.. 0x1eb00
3163375:  R.. 0x1cbff
3185875:  R.. 0x1eb00
3189625:  R.. 0x1ffff
3193375:  R.. 0x1ffff
3197125:  R.. 0x1ffff
3200875:  R.. 0x1ffff
3204625:  W.. 0x1eb00
3240125:  R.. 0x1eb01
3251375:  W.. 0x1eb01
