23000:  R.. 0x07a7f
30625:  R.. 0x1d080
41875:  W.. 0x1d080
75625:  R.. 0x1d080
83125:  R.. 0x17b7f
86875:  W.. 0x1d080
109375:  R.. 0x1ffff
113125:  R.. 0x1ffff
116875:  R.. 0x1ffff
120625:  R.. 0x1ffff
124375:  R.. 0x1d081
135625:  W.. 0x1d081
201375:  R.. 0x1d100
212625:  W.. 0x1d100
248250:  R.. 0x1d100
259500:  W.. 0x1d100
293250:  R.. 0x1d101
304500:  R.. 0x07c7f
308250:  W.. 0x1d101
364500:  R.. 0x17d7f
371875:  R.. 0x1d180
383125:  W.. 0x1d180
416875:  R.. 0x1d180
424375:  R.. 0x07e7f
428125:  W.. 0x1d180
461875:  R.. 0x1d181
473125:  W.. 0x1d181
484375:  R.. 0x17f7f
537000:  R.. 0x1d200
544500:  R.. 0x080bf
548250:  W.. 0x1d200
582000:  R.. 0x1d200
593375:  W.. 0x1d200
604625:  R.. 0x181bf
627125:  R.. 0x1d201
638375:  W.. 0x1d201
664625:  R.. 0x082bf
702125:  R.. 0x1d280
713375:  W.. 0x1d280
724625:  R.. 0x183bf
747125:  R.. 0x1d280
750875:  R.. 0x1ffff
754625:  R.. 0x1ffff
758375:  R.. 0x1ffff
762125:  R.. 0x1ffff
765750:  W.. 0x1d280
801375:  R.. 0x1d281
812625:  W.. 0x1d281
889500:  R.. 0x1d300
900750:  W.. 0x1d300
934500:  R.. 0x1d300
945750:  R.. 0x084bf
949625:  W.. 0x1d300
983375:  R.. 0x1d301
994625:  W.. 0x1d301
1005875:  R.. 0x185bf
1058500:  R.. 0x1d380
1066000:  R.. 0x086bf
1069750:  W.. 0x1d380
1103500:  R.. 0x1d380
1114750:  W.. 0x1d380
1126000:  R.. 0x187bf
1148500:  R.. 0x1d381
1159750:  W.. 0x1d381
1185875:  R.. 0x088bf
1223375:  R.. 0x1d400
1234625:  W.. 0x1d400
1245875:  R.. 0x189bf
1268375:  R.. 0x1d400
1279625:  W.. 0x1d400
1305875:  R.. 0x08abf
1313375:  R.. 0x1d401
1324625:  W.. 0x1d401
1365875:  R.. 0x18bbf
1388375:  R.. 0x1d480
1392125:  R.. 0x1ffff
1395875:  R.. 0x1ffff
1399625:  R.. 0x1ffff
1403500:  R.. 0x1ffff
1407250:  W.. 0x1d480
1442875:  R.. 0x1d480
1454125:  W.. 0x1d480
1487875:  R.. 0x1d481
1499250:  W.. 0x1d481
1561125:  R.. 0x1d500
1572375:  W.. 0x1d500
1587375:  R.. 0x08cbf
1606000:  R.. 0x1d500
1617250:  W.. 0x1d500
1647250:  R.. 0x18dbf
1651000:  R.. 0x1d501
1662250:  W.. 0x1d501
1707250:  R.. 0x08ebf
1726000:  R.. 0x1d580
1737250:  W.. 0x1d580
1767250:  R.. 0x18fbf
1771000:  R.. 0x1d580
1782250:  W.. 0x1d580
1816000:  R.. 0x1d581
1827250:  R.. 0x090bf
1831000:  W.. 0x1d581
1887375:  R.. 0x191bf
1894875:  R.. 0x1d600
1906125:  W.. 0x1d600
1939875:  R.. 0x1d600
1947500:  R.. 0x092bf
1951250:  W.. 0x1d600
1984875:  R.. 0x1d601
1996125:  W.. 0x1d601
2007375:  R.. 0x193bf
2033625:  R.. 0x1ffff
2037375:  R.. 0x1ffff
2041125:  R.. 0x1ffff
2044875:  R.. 0x1ffff
2059875:  R.. 0x1d680
2071125:  W.. 0x1d680
2106750:  R.. 0x1d680
2117875:  W.. 0x1d680
2151625:  R.. 0x1d681
2172250:  W.. 0x1d681
2228625:  R.. 0x094bf
2236125:  R.. 0x1d700
2247375:  W.. 0x1d700
2281125:  R.. 0x1d700
2288625:  R.. 0x195bf
2292375:  W.. 0x1d700
2326250:  R.. 0x1d701
2337500:  W.. 0x1d701
2348750:  R.. 0x096bf
2401250:  R.. 0x1d780
2408750:  R.. 0x197bf
2412500:  W.. 0x1d780
2446250:  R.. 0x1d780
2457500:  W.. 0x1d780
2468750:  R.. 0x098bf
2491250:  R.. 0x1d781
2502500:  W.. 0x1d781
2528750:  R.. 0x199bf
2566125:  R.. 0x1d800
2577375:  W.. 0x1d800
2588625:  R.. 0x09abf
2611125:  R.. 0x1d800
2622375:  W.. 0x1d800
2648625:  R.. 0x19bbf
2656250:  R.. 0x1d801
2667500:  W.. 0x1d801
2675000:  R.. 0x1ffff
2678750:  R.. 0x1ffff
2682500:  R.. 0x1ffff
2686250:  R.. 0x1ffff
2733125:  R.. 0x1d880
2744375:  W.. 0x1d880
