 1750:  W.. 0x1da00
35625:  R.. 0x1da01
43125:  R.. 0x0203f
46875:  W.. 0x1da01
69375:  R.. 0x1ffff
73125:  R.. 0x1ffff
76875:  R.. 0x1ffff
80625:  R.. 0x1ffff
84375:  R.. 0x1da01
95625:  W.. 0x1da01
131250:  R.. 0x1da02
142500:  W.. 0x1da02
176250:  R.. 0x1da02
187375:  W.. 0x1da02
223000:  R.. 0x1da03
234250:  W.. 0x1da03
264250:  R.. 0x1213f
298000:  R.. 0x1da80
309250:  W.. 0x1da80
324250:  R.. 0x0223f
343000:  R.. 0x1da80
354250:  W.. 0x1da80
384250:  R.. 0x1233f
388000:  R.. 0x1da81
399375:  W.. 0x1da81
433125:  R.. 0x1da81
444375:  R.. 0x0243f
448125:  W.. 0x1da81
481875:  R.. 0x1da82
493250:  W.. 0x1da82
504500:  R.. 0x1253f
527000:  R.. 0x1da82
538250:  W.. 0x1da82
564500:  R.. 0x0263f
572000:  R.. 0x1da83
583250:  W.. 0x1da83
624375:  R.. 0x1273f
646875:  R.. 0x1db00
658125:  W.. 0x1db00
684375:  R.. 0x0283f
691875:  R.. 0x1db00
703125:  W.. 0x1db00
710625:  R.. 0x1ffff
714375:  R.. 0x1ffff
718125:  R.. 0x1ffff
721875:  R.. 0x1ffff
736875:  R.. 0x1db01
748125:  W.. 0x1db01
783750:  R.. 0x1db01
795000:  W.. 0x1db01
828750:  R.. 0x1db02
849500:  W.. 0x1db02
883250:  R.. 0x1db02
894500:  W.. 0x1db02
905750:  R.. 0x1293f
928250:  R.. 0x1db03
939500:  W.. 0x1db03
965750:  R.. 0x02a3f
1003250:  R.. 0x1db80
1014500:  W.. 0x1db80
1025750:  R.. 0x12b3f
1048250:  R.. 0x1db80
1059500:  W.. 0x1db80
1085750:  R.. 0x02c3f
1093250:  R.. 0x1db81
1104500:  W.. 0x1db81
1138125:  R.. 0x1db81
1145625:  R.. 0x12d3f
1149375:  W.. 0x1db81
1183125:  R.. 0x1db82
1194375:  W.. 0x1db82
1205750:  R.. 0x02e3f
1228250:  R.. 0x1db82
1239500:  W.. 0x1db82
1265750:  R.. 0x12f3f
1273250:  R.. 0x1db83
1284500:  W.. 0x1db83
1325875:  R.. 0x0303f
1348375:  R.. 0x1dc00
1352125:  R.. 0x1ffff
1355875:  R.. 0x1ffff
1359625:  R.. 0x1ffff
1363375:  R.. 0x1ffff
1367125:  W.. 0x1dc00
1402750:  R.. 0x1dc00
1414000:  W.. 0x1dc00
1447750:  R.. 0x1dc01
1459000:  W.. 0x1dc01
1494625:  R.. 0x1dc01
1505750:  W.. 0x1dc01
1539500:  R.. 0x1dc02
1547000:  R.. 0x1313f
1550750:  W.. 0x1dc02
1584500:  R.. 0x1dc02
1595750:  W.. 0x1dc02
1607000:  R.. 0x0323f
1629500:  R.. 0x1dc03
1640750:  W.. 0x1dc03
1667125:  R.. 0x1333f
1704625:  R.. 0x1dc80
1715875:  W.. 0x1dc80
1727125:  R.. 0x0343f
1749750:  R.. 0x1dc80
1761000:  W.. 0x1dc80
1787250:  R.. 0x1353f
1794750:  R.. 0x1dc81
1806000:  W.. 0x1dc81
1839750:  R.. 0x1dc81
1847250:  R.. 0x0363f
1851000:  W.. 0x1dc81
1884750:  R.. 0x1dc82
1896000:  W.. 0x1dc82
1907125:  R.. 0x1373f
1929625:  R.. 0x1dc82
1940875:  W.. 0x1dc82
1967125:  R.. 0x0383f
1974625:  R.. 0x1dc83
1985875:  W.. 0x1dc83
1993375:  R.. 0x1ffff
1997125:  R.. 0x1ffff
2000875:  R.. 0x1ffff
2004625:  R.. 0x1ffff
2051500:  R.. 0x1dd00
2062750:  W.. 0x1dd00
2096625:  R.. 0x1dd00
2107875:  W.. 0x1dd00
2143500:  R.. 0x1dd01
2154750:  W.. 0x1dd01
2188625:  R.. 0x1393f
2192375:  R.. 0x1dd01
2203625:  W.. 0x1dd01
2237375:  R.. 0x1dd02
2248625:  R.. 0x03a3f
2252375:  W.. 0x1dd02
2286125:  R.. 0x1dd02
2297375:  W.. 0x1dd02
2308500:  R.. 0x13b3f
2331000:  R.. 0x1dd03
2342250:  W.. 0x1dd03
2368500:  R.. 0x03c3f
2406000:  R.. 0x1dd80
2417250:  W.. 0x1dd80
2428500:  R.. 0x13d3f
2451000:  R.. 0x1dd80
2462250:  W.. 0x1dd80
2488500:  R.. 0x03e3f
2496000:  R.. 0x1dd81
2507250:  W.. 0x1dd81
2541125:  R.. 0x1dd81
2548625:  R.. 0x13f3f
2552375:  W.. 0x1dd81
2586125:  R.. 0x1dd82
2597375:  W.. 0x1dd82
2608625:  R.. 0x0407f
2631250:  R.. 0x1dd82
2635000:  R.. 0x1ffff
2638750:  R.. 0x1ffff
2642500:  R.. 0x1ffff
2646250:  R.. 0x1ffff
2650000:  W.. 0x1dd82
2685625:  R.. 0x1dd83
2696875:  W.. 0x1dd83
2773625:  R.. 0x1de00
2784875:  W.. 0x1de00
2818625:  R.. 0x1de00
