171250:  R.. 0x0a6bf
231250:  R.. 0x1a7bf
291250:  R.. 0x0a8bf
351375:  R.. 0x1a9bf
411500:  R.. 0x0aabf
471500:  R.. 0x1abbf
531500:  R.. 0x0acbf
591375:  R.. 0x1adbf
617625:  R.. 0x1ffff
621375:  R.. 0x1ffff
625125:  R.. 0x1ffff
628875:  R.. 0x1ffff
765875:  R.. 0x0d600
771500:  R.. 0x1ffff
773375:  Rb. 0x1ffff
775250:  Rb. 0x1ffff
777125:  Rb. 0x1ffff
780875:  R.. 0x0d604
786500:  R.. 0x1ffff
788375:  Rb. 0x1ffff
790250:  Rb. 0x1ffff
792125:  Rb. 0x1ffff
795875:  R.. 0x0d608
801500:  R.. 0x1ffff
803375:  Rb. 0x1ffff
805250:  Rb. 0x1ffff
807125:  Rb. 0x1ffff
810875:  R.. 0x0d60c
813750:  R.. 0x0aebf
816500:  R.. 0x1ffff
818375:  Rb. 0x1ffff
820250:  Rb. 0x1ffff
822125:  Rb. 0x1ffff
825875:  R.. 0x0d610
831625:  R.. 0x1ffff
833500:  Rb. 0x1ffff
835375:  Rb. 0x1ffff
837250:  Rb. 0x1ffff
841000:  R.. 0x0d614
846625:  R.. 0x1ffff
848500:  Rb. 0x1ffff
850375:  Rb. 0x1ffff
852250:  Rb. 0x1ffff
856000:  R.. 0x0d618
861625:  R.. 0x1ffff
863500:  Rb. 0x1ffff
865375:  Rb. 0x1ffff
867250:  Rb. 0x1ffff
871000:  R.. 0x0d61c
873750:  R.. 0x1afbf
876625:  R.. 0x1ffff
878500:  Rb. 0x1ffff
880375:  Rb. 0x1ffff
882250:  Rb. 0x1ffff
886000:  R.. 0x0d620
891625:  R.. 0x1ffff
893500:  Rb. 0x1ffff
895375:  Rb. 0x1ffff
897250:  Rb. 0x1ffff
901000:  R.. 0x0d624
906625:  R.. 0x1ffff
908500:  Rb. 0x1ffff
910375:  Rb. 0x1ffff
912250:  Rb. 0x1ffff
916000:  R.. 0x0d628
921625:  R.. 0x1ffff
923500:  Rb. 0x1ffff
925375:  Rb. 0x1ffff
927250:  Rb. 0x1ffff
931000:  R.. 0x0d62c
933750:  R.. 0x0b0bf
936625:  R.. 0x1ffff
938500:  Rb. 0x1ffff
940375:  Rb. 0x1ffff
942250:  Rb. 0x1ffff
946000:  R.. 0x0d630
951625:  R.. 0x1ffff
953500:  Rb. 0x1ffff
955375:  Rb. 0x1ffff
957250:  Rb. 0x1ffff
961000:  R.. 0x0d634
966625:  R.. 0x1ffff
968500:  Rb. 0x1ffff
970375:  Rb. 0x1ffff
972250:  Rb. 0x1ffff
975875:  R.. 0x0d638
981625:  R.. 0x1ffff
983375:  Rb. 0x1ffff
985250:  Rb. 0x1ffff
987125:  Rb. 0x1ffff
990875:  R.. 0x0d63c
993750:  R.. 0x1b1bf
996500:  R.. 0x1ffff
998375:  Rb. 0x1ffff
1000250:  Rb. 0x1ffff
1002125:  Rb. 0x1ffff
1005875:  R.. 0x0d640
1011500:  R.. 0x1ffff
1013375:  Rb. 0x1ffff
1015250:  Rb. 0x1ffff
1017125:  Rb. 0x1ffff
1020875:  R.. 0x0d644
1026500:  R.. 0x1ffff
1028375:  Rb. 0x1ffff
1030250:  Rb. 0x1ffff
1032125:  Rb. 0x1ffff
1035875:  R.. 0x0d648
1041500:  R.. 0x1ffff
1043375:  Rb. 0x1ffff
1045250:  Rb. 0x1ffff
1047125:  Rb. 0x1ffff
1050875:  R.. 0x0d64c
1053625:  R.. 0x0b2bf
1056500:  R.. 0x1ffff
1058375:  Rb. 0x1ffff
1060250:  Rb. 0x1ffff
1062125:  Rb. 0x1ffff
1065875:  R.. 0x0d650
1071500:  R.. 0x1ffff
1073375:  Rb. 0x1ffff
1075250:  Rb. 0x1ffff
1077125:  Rb. 0x1ffff
1080875:  R.. 0x0d654
1086500:  R.. 0x1ffff
1088375:  Rb. 0x1ffff
1090250:  Rb. 0x1ffff
1092125:  Rb. 0x1ffff
1095875:  R.. 0x0d658
1101500:  R.. 0x1ffff
1103375:  Rb. 0x1ffff
1105250:  Rb. 0x1ffff
1107125:  Rb. 0x1ffff
1110875:  R.. 0x0d65c
1113625:  R.. 0x1b3bf
1116500:  R.. 0x1ffff
1118375:  Rb. 0x1ffff
1120250:  Rb. 0x1ffff
1122125:  Rb. 0x1ffff
1125875:  R.. 0x0d660
1131500:  R.. 0x1ffff
1133375:  Rb. 0x1ffff
1135250:  Rb. 0x1ffff
1137125:  Rb. 0x1ffff
1140875:  R.. 0x0d664
1146500:  R.. 0x1ffff
1148375:  Rb. 0x1ffff
1150250:  Rb. 0x1ffff
1152125:  Rb. 0x1ffff
1155875:  R.. 0x0d668
1161500:  R.. 0x1ffff
1163375:  Rb. 0x1ffff
1165250:  Rb. 0x1ffff
1167125:  Rb. 0x1ffff
1170875:  R.. 0x0d66c
1173750:  R.. 0x0b4bf
1176500:  R.. 0x1ffff
1178375:  Rb. 0x1ffff
1180250:  Rb. 0x1ffff
1182125:  Rb. 0x1ffff
1185875:  R.. 0x0d670
1191625:  R.. 0x1ffff
1193500:  Rb. 0x1ffff
1195375:  Rb. 0x1ffff
1197250:  Rb. 0x1ffff
1201000:  R.. 0x0d674
1206625:  R.. 0x1ffff
1208500:  Rb. 0x1ffff
1210375:  Rb. 0x1ffff
1212250:  Rb. 0x1ffff
1216000:  R.. 0x0d678
1221625:  R.. 0x1ffff
1223500:  Rb. 0x1ffff
1225375:  Rb. 0x1ffff
1227250:  Rb. 0x1ffff
1231000:  R.. 0x0d67c
1233875:  R.. 0x1b5bf
1236625:  R.. 0x1ffff
1238500:  Rb. 0x1ffff
1240375:  Rb. 0x1ffff
1242250:  Rb. 0x1ffff
1246000:  R.. 0x1ffff
1251625:  R.. 0x1ffff
1253500:  Rb. 0x1ffff
1255375:  Rb. 0x1ffff
1257250:  Rb. 0x1ffff
1261000:  R.. 0x0d600
1262875:  Rb. 0x0d601
1264750:  Rb. 0x0d602
1267125:  R.. 0x0d600
1269000:  Rb. 0x0d601
1270875:  Rb. 0x0d602
1276000:  R.. 0x0d80f
1277875:  Rb. 0x0d81f
1280750:  R.. 0x0d40f
1283500:  R.. 0x0d80f
1285375:  Rb. 0x0d81f
1288250:  R.. 0x0d40f
1291000:  R.. 0x0d600
1292875:  Rb. 0x0d601
1294750:  Rb. 0x0d602
1297125:  R.. 0x0d600
1299000:  Rb. 0x0d601
1300875:  Rb. 0x0d602
1308000:  R.. 0x0d80f
1309875:  Rb. 0x0d81f
1312625:  R.. 0x0d40f
1315500:  R.. 0x0d80f
1317375:  Rb. 0x0d81f
1320125:  R.. 0x0d40f
1323000:  R.. 0x0d600
1324875:  Rb. 0x0d601
1326750:  Rb. 0x0d602
1329000:  R.. 0x0d600
1330875:  Rb. 0x0d601
1332750:  Rb. 0x0d602
1338000:  R.. 0x0d80f
1339875:  Rb. 0x0d81f
1342625:  R.. 0x0d40f
1345500:  R.. 0x0d80f
1347375:  Rb. 0x0d81f
1350125:  R.. 0x0d40f
1353000:  R.. 0x0d600
1354875:  Rb. 0x0d601
1356750:  Rb. 0x0d602
1359000:  R.. 0x0d600
1360875:  Rb. 0x0d601
1362750:  Rb. 0x0d602
1367875:  R.. 0x0d80f
1369875:  Rb. 0x0d81f
1372625:  R.. 0x0d40f
1375375:  R.. 0x0d80f
1377250:  Rb. 0x0d81f
1380125:  R.. 0x0d40f
1407250:  R.. 0x0d600
1412875:  R.. 0x1ffff
1414750:  Rb. 0x1ffff
1416625:  Rb. 0x1ffff
1418500:  Rb. 0x1ffff
1422250:  R.. 0x0d604
1427875:  R.v 0x00000
1429750:  Rbv 0x00001
1431625:  Rbv 0x00002
1433500:  Rbv 0x00003
1437250:  R.. 0x0d608
1442875:  R.v 0x00004
1444750:  Rbv 0x00005
1446625:  Rbv 0x00006
1448500:  Rbv 0x00007
1452250:  R.. 0x0d60c
1455000:  R.. 0x0b6bf
1457875:  R.v 0x00008
1459750:  Rbv 0x00009
1461625:  Rbv 0x0000a
1463500:  Rbv 0x0000b
1467250:  R.. 0x0d610
1472875:  R.v 0x0000c
1474750:  Rbv 0x0000d
1476625:  Rbv 0x0000e
1478500:  Rbv 0x0000f
1482250:  R.. 0x0d614
1487875:  R.v 0x00010
1489750:  Rbv 0x00011
1491625:  Rbv 0x00012
1493500:  Rbv 0x00013
1497250:  R.. 0x0d618
1502875:  R.v 0x00014
1504750:  Rbv 0x00015
1506625:  Rbv 0x00016
1508500:  Rbv 0x00017
1512125:  R.. 0x0d61c
1515000:  R.. 0x1b7bf
1517875:  R.v 0x00018
1519625:  Rbv 0x00019
1521500:  Rbv 0x0001a
1523375:  Rbv 0x0001b
1527125:  R.. 0x0d620
1532750:  R.v 0x0001c
1534625:  Rbv 0x0001d
1536500:  Rbv 0x0001e
1538500:  Rbv 0x0001f
1542125:  R.. 0x0d624
1547875:  R.v 0x00020
1549750:  Rbv 0x00021
1551625:  Rbv 0x00022
1553500:  Rbv 0x00023
1557250:  R.. 0x0d628
1562875:  R.v 0x00024
1564750:  Rbv 0x00025
1566625:  Rbv 0x00026
1568500:  Rbv 0x00027
1572250:  R.. 0x0d62c
1575000:  R.. 0x0b8bf
1577875:  R.v 0x00028
1579750:  Rbv 0x00029
1581625:  Rbv 0x0002a
1583500:  Rbv 0x0002b
1587250:  R.. 0x0d630
1592875:  R.v 0x0002c
1594750:  Rbv 0x0002d
1596625:  Rbv 0x0002e
1598500:  Rbv 0x0002f
1602250:  R.. 0x0d634
1607875:  R.v 0x00030
1609750:  Rbv 0x00031
1611625:  Rbv 0x00032
1613500:  Rbv 0x00033
1617250:  R.. 0x0d638
1622875:  R.v 0x00034
1624750:  Rbv 0x00035
1626625:  Rbv 0x00036
1628500:  Rbv 0x00037
1632250:  R.. 0x0d63c
1635125:  R.. 0x1b9bf
1637875:  R.v 0x00038
1639750:  Rbv 0x00039
1641625:  Rbv 0x0003a
1643500:  Rbv 0x0003b
1647250:  R.. 0x0d640
1653000:  R.v 0x0003c
1654875:  Rbv 0x0003d
1656750:  Rbv 0x0003e
1658625:  Rbv 0x0003f
1662375:  R.. 0x0d644
1668000:  R.v 0x00040
1669875:  Rbv 0x00041
1671750:  Rbv 0x00042
1673625:  Rbv 0x00043
1677375:  R.. 0x0d648
1683000:  R.v 0x00044
1684875:  Rbv 0x00045
1686750:  Rbv 0x00046
1688625:  Rbv 0x00047
1692375:  R.. 0x0d64c
1695250:  R.. 0x0babf
1698000:  R.v 0x00048
1699875:  Rbv 0x00049
1701750:  Rbv 0x0004a
1703625:  Rbv 0x0004b
1707375:  R.. 0x0d650
1713000:  R.v 0x0004c
1714875:  Rbv 0x0004d
1716750:  Rbv 0x0004e
1718625:  Rbv 0x0004f
1722375:  R.. 0x0d654
1728000:  R.v 0x00050
1729875:  Rbv 0x00051
1731750:  Rbv 0x00052
1733625:  Rbv 0x00053
1737375:  R.. 0x0d658
1743000:  R.v 0x00054
1744875:  Rbv 0x00055
1746750:  Rbv 0x00056
1748625:  Rbv 0x00057
1752375:  R.. 0x0d65c
1755250:  R.. 0x1bbbf
1758000:  R.v 0x00058
1759875:  Rbv 0x00059
1761750:  Rbv 0x0005a
1763625:  Rbv 0x0005b
1767375:  R.. 0x0d660
1773000:  R.v 0x0005c
1774875:  Rbv 0x0005d
1776750:  Rbv 0x0005e
1778625:  Rbv 0x0005f
1782375:  R.. 0x0d664
1788000:  R.v 0x00060
1789875:  Rbv 0x00061
1791750:  Rbv 0x00062
1793625:  Rbv 0x00063
1797375:  R.. 0x0d668
1803000:  R.v 0x00064
1804875:  Rbv 0x00065
1806750:  Rbv 0x00066
1808625:  Rbv 0x00067
1812375:  R.. 0x0d66c
1815250:  R.. 0x0bcbf
1818000:  R.v 0x00068
1819875:  Rbv 0x00069
1821750:  Rbv 0x0006a
1823625:  Rbv 0x0006b
1827375:  R.. 0x0d670
1833000:  R.v 0x0006c
1834875:  Rbv 0x0006d
1836750:  Rbv 0x0006e
1838625:  Rbv 0x0006f
1842375:  R.. 0x0d674
1848000:  R.v 0x00070
1849875:  Rbv 0x00071
1851750:  Rbv 0x00072
1853625:  Rbv 0x00073
1857375:  R.. 0x0d678
1863000:  R.v 0x00074
1864875:  Rbv 0x00075
1866750:  Rbv 0x00076
1868625:  Rbv 0x00077
1872375:  R.. 0x0d67c
1875125:  R.. 0x1bdbf
1878000:  R.v 0x00078
1879875:  Rbv 0x00079
1881750:  Rbv 0x0007a
1883625:  Rbv 0x0007b
1887375:  R.. 0x1ffff
1893000:  R.v 0x0007c
1894875:  Rbv 0x0007d
1896750:  Rbv 0x0007e
1898625:  Rbv 0x0007f
1902250:  R.. 0x0d600
1904125:  Rb. 0x0d601
1906000:  Rb. 0x0d602
1908375:  R.. 0x0d604
1910250:  Rb. 0x0d605
1912125:  Rb. 0x0d606
1917250:  R.. 0x0d800
1919125:  Rb. 0x0d810
1922000:  R.. 0x0d400
1924750:  R.. 0x0d820
1926625:  Rb. 0x0d830
1929500:  R.. 0x0d410
1932250:  R.. 0x0d608
1934125:  Rb. 0x0d609
1936000:  Rb. 0x0d60a
1938375:  R.. 0x0d60c
1940250:  Rb. 0x0d60d
1942125:  Rb. 0x0d60e
1949125:  R.. 0x0d840
1951000:  Rb. 0x0d850
1953875:  R.. 0x0d420
1956625:  R.. 0x0d860
1958500:  Rb. 0x0d870
1961375:  R.. 0x0d430
1964125:  R.. 0x0d610
1966000:  Rb. 0x0d611
