38750:  R.. 0x171d8
95000:  R.. 0x0e8ff
147500:  R.. 0x171d9
155000:  R.. 0x1e9ff
181250:  R.. 0x171da
214875:  R.. 0x0eaff
218625:  R.. 0x171db
248625:  R.. 0x171dc
274875:  R.. 0x1ebff
278625:  R.. 0x171dd
312500:  R.. 0x171de
335000:  R.. 0x0ecff
346250:  R.. 0x171df
380125:  R.. 0x171e0
395125:  R.. 0x1edff
413875:  R.. 0x171e1
447625:  R.. 0x171e2
455125:  R.. 0x0eeff
481375:  R.. 0x171e3
515125:  R.. 0x1efff
518875:  R.. 0x171e4
541375:  R.. 0x1ffff
545125:  R.. 0x1ffff
548875:  R.. 0x1ffff
552625:  R.. 0x1ffff
556375:  R.. 0x171e5
583000:  R.. 0x171e6
614375:  R.. 0x171e7
648125:  R.. 0x171e8
683750:  R.. 0x171e9
717500:  R.. 0x171ea
736250:  R.. 0x0f0ff
751375:  R.. 0x171eb
785125:  R.. 0x171ec
796375:  R.. 0x1f1ff
815125:  R.. 0x171ed
849000:  R.. 0x171ee
856500:  R.. 0x0f2ff
882750:  R.. 0x171ef
916500:  R.. 0x1f3ff
920250:  R.. 0x171f0
950250:  R.. 0x171f1
976500:  R.. 0x0f4ff
984000:  R.. 0x171f2
1017625:  R.. 0x171f3
1036375:  R.. 0x1f5ff
1051375:  R.. 0x171f4
1085125:  R.. 0x171f5
1096375:  R.. 0x0f6ff
1118875:  R.. 0x171f6
1152625:  R.. 0x171f7
1156375:  R.. 0x1f7ff
1182625:  R.. 0x1ffff
1186375:  R.. 0x1ffff
1190250:  R.. 0x1ffff
1194000:  R.. 0x1ffff
1197750:  R.. 0x171f8
1220250:  R.. 0x171f9
1252125:  R.. 0x171fa
1286000:  R.. 0x171fb
1321625:  R.. 0x171fc
1355375:  R.. 0x171fd
1377875:  R.. 0x0f8ff
1385375:  R.. 0x171fe
1419000:  R.. 0x171ff
1437750:  R.. 0x1f9ff
1452750:  R.. 0x17200
1497750:  R.. 0x0faff
1557750:  R.. 0x1fbff
1572750:  R.. 0x17201
1606500:  R.. 0x17202
1617750:  R.. 0x0fcff
1640375:  R.. 0x17203
1674125:  R.. 0x17204
1677875:  R.. 0x1fdff
1704125:  R.. 0x17205
1738000:  R.. 0x0feff
1741750:  R.. 0x17206
1771750:  R.. 0x17207
1798000:  R.. 0x1ffff
1805500:  R.. 0x17208
1824125:  R.. 0x1ffff
1827875:  R.. 0x1ffff
1831625:  R.. 0x1ffff
1835375:  R.. 0x1ffff
1839125:  R.. 0x17209
1874750:  R.. 0x1720a
1908500:  R.. 0x1720b
1942250:  R.. 0x1720c
1974125:  R.. 0x1720d
2007875:  R.. 0x1720e
2019125:  R.. 0x0003f
2041625:  R.. 0x1720f
2075375:  R.. 0x17210
2079125:  R.. 0x1013f
2109250:  R.. 0x17211
2139250:  R.. 0x0023f
2143000:  R.. 0x17212
2176750:  R.. 0x17213
2199250:  R.. 0x1033f
2210500:  R.. 0x17214
2244250:  R.. 0x17215
2259250:  R.. 0x0043f
2274250:  R.. 0x17216
2308000:  R.. 0x17217
2319250:  R.. 0x1053f
2341750:  R.. 0x17218
2375375:  R.. 0x17219
2379125:  R.. 0x0063f
2409125:  R.. 0x1721a
2439125:  R.. 0x1073f
2442875:  R.. 0x1721b
2465500:  R.. 0x1ffff
2469250:  R.. 0x1ffff
2473000:  R.. 0x1ffff
2476750:  R.. 0x1ffff
2480500:  R.. 0x1721c
2511875:  R.. 0x1721d
2542500:  R.. 0x1721e
2576250:  R.. 0x1721f
2611875:  R.. 0x17220
2645625:  R.. 0x17221
2660625:  R.. 0x0083f
2679375:  R.. 0x17222
2713125:  R.. 0x17223
2720625:  R.. 0x1093f
2746750:  R.. 0x17224
2780500:  R.. 0x00a3f
2784250:  R.. 0x17225
2814250:  R.. 0x17226
2840500:  R.. 0x10b3f
2848000:  R.. 0x17227
2878000:  R.. 0x17228
2900500:  R.. 0x00c3f
2960625:  R.. 0x10d3f
2998250:  R.. 0x17229
3020750:  R.. 0x00e3f
3032000:  R.. 0x1722a
3065750:  R.. 0x1722b
3080750:  R.. 0x10f3f
3099500:  R.. 0x1722c
3107000:  R.. 0x1ffff
3110750:  R.. 0x1ffff
3114500:  R.. 0x1ffff
3118250:  R.. 0x1ffff
3129500:  R.. 0x1722d
3165000:  R.. 0x1722e
3198750:  R.. 0x1722f
3245625:  R.. 0x17230
3264375:  R.. 0x17231
3298125:  R.. 0x17232
3301875:  R.. 0x0103f
3331875:  R.. 0x17233
3362000:  R.. 0x1113f
3365750:  R.. 0x17234
3399500:  R.. 0x17235
3422000:  R.. 0x0123f
3433375:  R.. 0x17236
3467125:  R.. 0x17237
3482125:  R.. 0x1133f
3500875:  R.. 0x17238
3534625:  R.. 0x17239
3542125:  R.. 0x0143f
3568250:  R.. 0x1723a
3602000:  R.. 0x1153f
3605750:  R.. 0x1723b
3635750:  R.. 0x1723c
3662000:  R.. 0x0163f
3669500:  R.. 0x1723d
3703250:  R.. 0x1723e
3722000:  R.. 0x1173f
3733250:  R.. 0x1723f
3748250:  R.. 0x1ffff
3752000:  R.. 0x1ffff
3755750:  R.. 0x1ffff
3759500:  R.. 0x1ffff
3767000:  R.. 0x17240
3802750:  R.. 0x17241
3836500:  R.. 0x17242
3887125:  R.. 0x17243
3902250:  R.. 0x17244
3936000:  R.. 0x17245
3943500:  R.. 0x0183f
3969625:  R.. 0x17246
4003375:  R.. 0x1193f
4007125:  R.. 0x17247
4037125:  R.. 0x17248
4063375:  R.. 0x01a3f
4070875:  R.. 0x17249
