29875:  R.. 0x140d8
52375:  R.. 0x0263f
63625:  R.. 0x140d9
97375:  R.. 0x140da
112375:  R.. 0x1273f
131125:  R.. 0x140db
164875:  R.. 0x140dc
172375:  R.. 0x0283f
198750:  R.. 0x140dd
232500:  R.. 0x1293f
236250:  R.. 0x140de
266250:  R.. 0x140df
292500:  R.. 0x02a3f
300000:  R.. 0x140e0
333750:  R.. 0x140e1
352500:  R.. 0x12b3f
367500:  R.. 0x140e2
378750:  R.. 0x1ffff
382500:  R.. 0x1ffff
386250:  R.. 0x1ffff
390000:  R.. 0x1ffff
401250:  R.. 0x140e3
433125:  R.. 0x140e4
466875:  R.. 0x140e5
517375:  R.. 0x140e6
532500:  R.. 0x140e7
566250:  R.. 0x140e8
573750:  R.. 0x02c3f
600000:  R.. 0x140e9
633750:  R.. 0x12d3f
637500:  R.. 0x140ea
667625:  R.. 0x140eb
693875:  R.. 0x02e3f
701375:  R.. 0x140ec
735125:  R.. 0x140ed
753875:  R.. 0x12f3f
768875:  R.. 0x140ee
802625:  R.. 0x140ef
813875:  R.. 0x0303f
836375:  R.. 0x140f0
873875:  R.. 0x1313f
933750:  R.. 0x0323f
952500:  R.. 0x140f1
986250:  R.. 0x140f2
993750:  R.. 0x1333f
1020125:  R.. 0x1ffff
1023875:  R.. 0x1ffff
1027625:  R.. 0x1ffff
1031375:  R.. 0x1ffff
1035125:  R.. 0x140f3
1053875:  R.. 0x140f4
1085750:  R.. 0x140f5
1119625:  R.. 0x140f6
1159000:  R.. 0x140f7
1189000:  R.. 0x140f8
1215250:  R.. 0x0343f
1222750:  R.. 0x140f9
1256500:  R.. 0x140fa
1275250:  R.. 0x1353f
1290125:  R.. 0x140fb
1320125:  R.. 0x140fc
1335125:  R.. 0x0363f
1353875:  R.. 0x140fd
1387625:  R.. 0x140fe
1395125:  R.. 0x1373f
1421375:  R.. 0x140ff
1455125:  R.. 0x0383f
1458875:  R.. 0x14100
1489000:  R.. 0x14101
1515250:  R.. 0x1393f
1522750:  R.. 0x14102
1556500:  R.. 0x14103
1575375:  R.. 0x03a3f
1590375:  R.. 0x14104
1624125:  R.. 0x14105
1635375:  R.. 0x13b3f
1657875:  R.. 0x14106
1661625:  R.. 0x1ffff
1665375:  R.. 0x1ffff
1669125:  R.. 0x1ffff
1672875:  R.. 0x1ffff
1691500:  R.. 0x14107
1723375:  R.. 0x14108
1757125:  R.. 0x14109
1800250:  R.. 0x1410a
1826500:  R.. 0x1410b
1856500:  R.. 0x03c3f
1860250:  R.. 0x1410c
1890250:  R.. 0x1410d
1916625:  R.. 0x13d3f
1924125:  R.. 0x1410e
1957875:  R.. 0x1410f
1976625:  R.. 0x03e3f
1991625:  R.. 0x14110
2025500:  R.. 0x14111
2036750:  R.. 0x13f3f
2059250:  R.. 0x14112
2092875:  R.. 0x14113
2096625:  R.. 0x0407f
2126625:  R.. 0x14114
2156625:  R.. 0x1417f
2160375:  R.. 0x14115
2194125:  R.. 0x14116
2216625:  R.. 0x0427f
2227875:  R.. 0x14117
2261625:  R.. 0x14118
2276625:  R.. 0x1437f
2302875:  R.. 0x1ffff
2306625:  R.. 0x1ffff
2310375:  R.. 0x1ffff
2314125:  R.. 0x1ffff
2379875:  R.. 0x14119
2413625:  R.. 0x1411a
2445500:  R.. 0x1411b
2479250:  R.. 0x1411c
2498000:  R.. 0x0447f
2513000:  R.. 0x1411d
2546750:  R.. 0x1411e
2558000:  R.. 0x1457f
2580500:  R.. 0x1411f
2614250:  R.. 0x14120
2618000:  R.. 0x0467f
2647875:  R.. 0x14121
2677875:  R.. 0x1477f
2681625:  R.. 0x14122
2715375:  R.. 0x14123
2738000:  R.. 0x0487f
2749250:  R.. 0x14124
2779250:  R.. 0x14125
2798000:  R.. 0x1497f
2813125:  R.. 0x14126
2846875:  R.. 0x14127
2858125:  R.. 0x04a7f
2880625:  R.. 0x14128
2914375:  R.. 0x14129
2918125:  R.. 0x14b7f
2944375:  R.. 0x1ffff
2948125:  R.. 0x1ffff
2951875:  R.. 0x1ffff
2955625:  R.. 0x1ffff
2959375:  R.. 0x1412a
2981875:  R.. 0x1412b
3017375:  R.. 0x1412c
3047375:  R.. 0x1412d
3083000:  R.. 0x1412e
3116750:  R.. 0x1412f
3139250:  R.. 0x04c7f
3150500:  R.. 0x14130
3184375:  R.. 0x14131
3199375:  R.. 0x14d7f
3218125:  R.. 0x14132
3251875:  R.. 0x14133
3259375:  R.. 0x04e7f
3285750:  R.. 0x14134
3315750:  R.. 0x14135
3319500:  R.. 0x14f7f
3349500:  R.. 0x14136
3379500:  R.. 0x0507f
3383250:  R.. 0x14137
3416875:  R.. 0x14138
3439375:  R.. 0x1517f
3450625:  R.. 0x14139
3484375:  R.. 0x1413a
3499375:  R.. 0x0527f
3518125:  R.. 0x1413b
3551875:  R.. 0x1413c
3559375:  R.. 0x1537f
3585625:  R.. 0x1ffff
3589375:  R.. 0x1ffff
3593125:  R.. 0x1ffff
3596875:  R.. 0x1ffff
3600625:  R.. 0x1413d
3619500:  R.. 0x1413e
3651375:  R.. 0x1413f
3685125:  R.. 0x14140
3780875:  R.. 0x0547f
3803375:  R.. 0x14141
3837000:  R.. 0x14142
3840750:  R.. 0x1557f
3870750:  R.. 0x14143
3900750:  R.. 0x0567f
3904500:  R.. 0x14144
3938250:  R.. 0x14145
3960750:  R.. 0x1577f
3972000:  R.. 0x14146
4005750:  R.. 0x14147
4020750:  R.. 0x0587f
4039500:  R.. 0x14148
4073375:  R.. 0x14149
4080875:  R.. 0x1597f
