18750:  R.. 0x0a4bf
30000:  R.. 0x15109
63750:  R.. 0x1510a
78625:  R.. 0x1a5bf
97375:  R.. 0x1510b
131125:  R.. 0x1510c
138625:  R.. 0x0a6bf
164875:  R.. 0x1510d
198750:  R.. 0x1a7bf
202500:  R.. 0x1510e
225000:  R.. 0x1ffff
228750:  R.. 0x1ffff
232500:  R.. 0x1ffff
236250:  R.. 0x1ffff
240000:  R.. 0x1510f
266750:  R.. 0x15110
298250:  R.. 0x15111
332000:  R.. 0x15112
363875:  R.. 0x15113
397625:  R.. 0x15114
420125:  R.. 0x0a8bf
431375:  R.. 0x15115
465125:  R.. 0x15116
480125:  R.. 0x1a9bf
498750:  R.. 0x15117
532500:  R.. 0x15118
540000:  R.. 0x0aabf
566250:  R.. 0x15119
600000:  R.. 0x1abbf
603750:  R.. 0x1511a
633750:  R.. 0x1511b
660125:  R.. 0x0acbf
667625:  R.. 0x1511c
701375:  R.. 0x1511d
720125:  R.. 0x1adbf
735250:  R.. 0x1511e
769000:  R.. 0x1511f
780250:  R.. 0x0aebf
802750:  R.. 0x15120
836500:  R.. 0x15121
840250:  R.. 0x1afbf
866500:  R.. 0x1ffff
870250:  R.. 0x1ffff
874000:  R.. 0x1ffff
877750:  R.. 0x1ffff
881375:  R.. 0x15122
900125:  R.. 0x15123
935750:  R.. 0x15124
969500:  R.. 0x15125
1005125:  R.. 0x15126
1035125:  R.. 0x15127
1061375:  R.. 0x0b0bf
1068875:  R.. 0x15128
1102750:  R.. 0x15129
1121500:  R.. 0x1b1bf
1136500:  R.. 0x1512a
1170250:  R.. 0x1512b
1181500:  R.. 0x0b2bf
1204125:  R.. 0x1512c
1237875:  R.. 0x1512d
1241625:  R.. 0x1b3bf
1271625:  R.. 0x1512e
1301500:  R.. 0x0b4bf
1305250:  R.. 0x1512f
1339000:  R.. 0x15130
1361500:  R.. 0x1b5bf
1421500:  R.. 0x0b6bf
1455250:  R.. 0x15131
1481500:  R.. 0x1b7bf
1489000:  R.. 0x15132
1507750:  R.. 0x1ffff
1511500:  R.. 0x1ffff
1515250:  R.. 0x1ffff
1519000:  R.. 0x1ffff
1522750:  R.. 0x15133
1558500:  R.. 0x15134
1588500:  R.. 0x15135
1622250:  R.. 0x15136
1658000:  R.. 0x15137
1691750:  R.. 0x15138
1702875:  R.. 0x0b8bf
1721625:  R.. 0x15139
1755375:  R.. 0x1513a
1762875:  R.. 0x1b9bf
1789125:  R.. 0x1513b
1822750:  R.. 0x0babf
1826625:  R.. 0x1513c
1856500:  R.. 0x1513d
1882750:  R.. 0x1bbbf
1890250:  R.. 0x1513e
1924125:  R.. 0x1513f
1942875:  R.. 0x0bcbf
1957875:  R.. 0x15140
1991625:  R.. 0x15141
2003000:  R.. 0x1bdbf
2025500:  R.. 0x15142
2059250:  R.. 0x15143
2063000:  R.. 0x0bebf
