12250:  R.. 0x18393
16000:  R.. 0x00a3f
45875:  R.. 0x18394
75875:  R.. 0x10b3f
79625:  R.. 0x18395
113375:  R.. 0x18396
135875:  R.. 0x00c3f
147250:  R.. 0x18397
181000:  R.. 0x18398
196000:  R.. 0x10d3f
214750:  R.. 0x18399
244875:  R.. 0x1839a
256125:  R.. 0x00e3f
278625:  R.. 0x1839b
312375:  R.. 0x1839c
316125:  R.. 0x10f3f
342375:  R.. 0x1ffff
346125:  R.. 0x1ffff
349875:  R.. 0x1ffff
353625:  R.. 0x1ffff
357375:  R.. 0x1839d
379875:  R.. 0x1839e
415500:  R.. 0x1839f
449125:  R.. 0x183a0
481000:  R.. 0x183a1
514750:  R.. 0x183a2
537250:  R.. 0x0103f
548500:  R.. 0x183a3
582250:  R.. 0x183a4
597375:  R.. 0x1113f
616125:  R.. 0x183a5
649875:  R.. 0x183a6
657375:  R.. 0x0123f
683750:  R.. 0x183a7
717500:  R.. 0x1133f
721250:  R.. 0x183a8
777500:  R.. 0x0143f
833750:  R.. 0x183a9
837500:  R.. 0x1153f
867375:  R.. 0x183aa
897375:  R.. 0x0163f
901125:  R.. 0x183ab
934875:  R.. 0x183ac
957375:  R.. 0x1173f
968625:  R.. 0x183ad
983625:  R.. 0x1ffff
987375:  R.. 0x1ffff
991125:  R.. 0x1ffff
994875:  R.. 0x1ffff
1002375:  R.. 0x183ae
1038000:  R.. 0x183af
1068125:  R.. 0x183b0
1101875:  R.. 0x183b1
1133875:  R.. 0x183b2
1167625:  R.. 0x183b3
1178875:  R.. 0x0183f
1201375:  R.. 0x183b4
1235125:  R.. 0x183b5
1238875:  R.. 0x1193f
1268750:  R.. 0x183b6
1298750:  R.. 0x01a3f
1302500:  R.. 0x183b7
1336250:  R.. 0x183b8
1358750:  R.. 0x11b3f
1370000:  R.. 0x183b9
1403750:  R.. 0x183ba
1418750:  R.. 0x01c3f
1437500:  R.. 0x183bb
1471250:  R.. 0x183bc
1478750:  R.. 0x11d3f
1505125:  R.. 0x183bd
1538875:  R.. 0x01e3f
1542625:  R.. 0x183be
1572625:  R.. 0x183bf
1599000:  R.. 0x11f3f
1606500:  R.. 0x183c0
1625250:  R.. 0x1ffff
1629000:  R.. 0x1ffff
1632750:  R.. 0x1ffff
1636375:  R.. 0x1ffff
1640125:  R.. 0x183c1
1671625:  R.. 0x183c2
1705750:  R.. 0x183c3
1739500:  R.. 0x183c4
1771375:  R.. 0x183c5
1805000:  R.. 0x183c6
1820000:  R.. 0x0203f
1838750:  R.. 0x183c7
1872625:  R.. 0x183c8
1880125:  R.. 0x1213f
1906375:  R.. 0x183c9
1940125:  R.. 0x0223f
1944000:  R.. 0x183ca
1974000:  R.. 0x183cb
2000250:  R.. 0x1233f
2007750:  R.. 0x183cc
2041500:  R.. 0x183cd
2060250:  R.. 0x0243f
2075250:  R.. 0x183ce
2109000:  R.. 0x183cf
2120250:  R.. 0x1253f
