11875:  R.. 0x0223f
15625:  R.. 0x18411
45625:  R.. 0x18412
71875:  R.. 0x1233f
79375:  R.. 0x18413
113000:  R.. 0x18414
131750:  R.. 0x0243f
146750:  R.. 0x18415
176750:  R.. 0x18416
191750:  R.. 0x1253f
210500:  R.. 0x18417
244375:  R.. 0x18418
251875:  R.. 0x0263f
278125:  R.. 0x18419
312000:  R.. 0x1273f
315750:  R.. 0x1841a
338250:  R.. 0x1ffff
342000:  R.. 0x1ffff
345750:  R.. 0x1ffff
349500:  R.. 0x1ffff
353250:  R.. 0x1841b
380000:  R.. 0x1841c
415125:  R.. 0x1841d
445125:  R.. 0x1841e
480750:  R.. 0x1841f
514375:  R.. 0x18420
533125:  R.. 0x0283f
593125:  R.. 0x1293f
630625:  R.. 0x18421
653125:  R.. 0x02a3f
664375:  R.. 0x18422
698250:  R.. 0x18423
713250:  R.. 0x12b3f
732000:  R.. 0x18424
765875:  R.. 0x18425
773375:  R.. 0x02c3f
799625:  R.. 0x18426
833375:  R.. 0x12d3f
837125:  R.. 0x18427
867125:  R.. 0x18428
893250:  R.. 0x02e3f
900750:  R.. 0x18429
934500:  R.. 0x1842a
953250:  R.. 0x12f3f
968250:  R.. 0x1842b
979500:  R.. 0x1ffff
983250:  R.. 0x1ffff
987000:  R.. 0x1ffff
990750:  R.. 0x1ffff
1002000:  R.. 0x1842c
1033875:  R.. 0x1842d
1067625:  R.. 0x1842e
1118375:  R.. 0x1842f
1133375:  R.. 0x18430
1167125:  R.. 0x18431
1174625:  R.. 0x0303f
1201000:  R.. 0x18432
1234750:  R.. 0x1313f
1238500:  R.. 0x18433
1268500:  R.. 0x18434
1294625:  R.. 0x0323f
1302125:  R.. 0x18435
1335875:  R.. 0x18436
1354625:  R.. 0x1333f
1369625:  R.. 0x18437
1403375:  R.. 0x18438
1414625:  R.. 0x0343f
1437125:  R.. 0x18439
1470875:  R.. 0x1843a
1474625:  R.. 0x1353f
1504625:  R.. 0x1843b
1534625:  R.. 0x0363f
1538375:  R.. 0x1843c
1572250:  R.. 0x1843d
1594750:  R.. 0x1373f
1602250:  R.. 0x1843e
1621000:  R.. 0x1ffff
1624750:  R.. 0x1ffff
1628500:  R.. 0x1ffff
1632250:  R.. 0x1ffff
1636000:  R.. 0x1843f
1671625:  R.. 0x18440
1705375:  R.. 0x18441
1739125:  R.. 0x18442
1771000:  R.. 0x18443
1804750:  R.. 0x18444
1816000:  R.. 0x0383f
1838375:  R.. 0x18445
1872125:  R.. 0x18446
1875875:  R.. 0x1393f
1905875:  R.. 0x18447
1936000:  R.. 0x03a3f
1939750:  R.. 0x18448
1996000:  R.. 0x13b3f
2056125:  R.. 0x03c3f
2059875:  R.. 0x18449
2089875:  R.. 0x1844a
2116125:  R.. 0x13d3f
2123625:  R.. 0x1844b
2157375:  R.. 0x1844c
2176125:  R.. 0x03e3f
2191125:  R.. 0x1844d
2224875:  R.. 0x1844e
2236000:  R.. 0x13f3f
2258500:  R.. 0x1844f
2262250:  R.. 0x1ffff
2266000:  R.. 0x1ffff
2269750:  R.. 0x1ffff
2273500:  R.. 0x1ffff
2292250:  R.. 0x18450
2324125:  R.. 0x18451
2357875:  R.. 0x18452
2401125:  R.. 0x18453
2427375:  R.. 0x18454
2457375:  R.. 0x0407f
2461250:  R.. 0x18455
2491250:  R.. 0x18456
2517500:  R.. 0x1417f
2525000:  R.. 0x18457
2558750:  R.. 0x18458
2577500:  R.. 0x0427f
2592500:  R.. 0x18459
2626250:  R.. 0x1845a
2637500:  R.. 0x1437f
2659875:  R.. 0x1845b
2693625:  R.. 0x1845c
2697375:  R.. 0x0447f
2727375:  R.. 0x1845d
2757375:  R.. 0x1457f
2761125:  R.. 0x1845e
2794875:  R.. 0x1845f
2817375:  R.. 0x0467f
2828750:  R.. 0x18460
2862500:  R.. 0x18461
2877500:  R.. 0x1477f
2896250:  R.. 0x18462
2903750:  R.. 0x1ffff
2907500:  R.. 0x1ffff
2911375:  R.. 0x1ffff
2915125:  R.. 0x1ffff
2930125:  R.. 0x18463
2962000:  R.. 0x18464
2995750:  R.. 0x18465
3042625:  R.. 0x18466
3061250:  R.. 0x18467
3095000:  R.. 0x18468
3098750:  R.. 0x0487f
3128750:  R.. 0x18469
3158750:  R.. 0x1497f
3162500:  R.. 0x1846a
3196250:  R.. 0x1846b
3218750:  R.. 0x04a7f
3230000:  R.. 0x1846c
3263750:  R.. 0x1846d
3278875:  R.. 0x14b7f
3297625:  R.. 0x1846e
3331375:  R.. 0x1846f
3338875:  R.. 0x04c7f
3365250:  R.. 0x18470
3399000:  R.. 0x14d7f
3458875:  R.. 0x04e7f
3481375:  R.. 0x18471
3515125:  R.. 0x18472
3518875:  R.. 0x14f7f
3545125:  R.. 0x1ffff
3548875:  R.. 0x1ffff
3552625:  R.. 0x1ffff
3556375:  R.. 0x1ffff
3560125:  R.. 0x18473
3582625:  R.. 0x18474
3618250:  R.. 0x18475
3648250:  R.. 0x18476
3683875:  R.. 0x18477
3717750:  R.. 0x18478
3740250:  R.. 0x0507f
3751500:  R.. 0x18479
3785250:  R.. 0x1847a
3800250:  R.. 0x1517f
3819000:  R.. 0x1847b
3852750:  R.. 0x1847c
3860250:  R.. 0x0527f
3882750:  R.. 0x1847d
3916500:  R.. 0x1847e
3920250:  R.. 0x1537f
3950250:  R.. 0x1847f
3980125:  R.. 0x0547f
3983875:  R.. 0x18480
4017625:  R.. 0x18481
4040125:  R.. 0x1557f
4051375:  R.. 0x18482
4085250:  R.. 0x18483
