 5000:  R.. 0x17c01
38750:  R.. 0x17c02
46375:  R.. 0x1cfff
72500:  R.. 0x1ffff
76250:  R.. 0x1ffff
80000:  R.. 0x1ffff
83750:  R.. 0x1ffff
87500:  R.. 0x17c03
106250:  R.. 0x17c04
138125:  R.. 0x17c05
171875:  R.. 0x17c06
211125:  R.. 0x17c07
241125:  R.. 0x17c08
267375:  R.. 0x0d0ff
271125:  R.. 0x17c09
305000:  R.. 0x17c0a
327500:  R.. 0x1d1ff
338750:  R.. 0x17c0b
372625:  R.. 0x17c0c
387625:  R.. 0x0d2ff
406375:  R.. 0x17c0d
440125:  R.. 0x17c0e
447625:  R.. 0x1d3ff
473875:  R.. 0x17c0f
507625:  R.. 0x0d4ff
511375:  R.. 0x17c10
541375:  R.. 0x17c11
567625:  R.. 0x1d5ff
575125:  R.. 0x17c12
608750:  R.. 0x17c13
627500:  R.. 0x0d6ff
642500:  R.. 0x17c14
676250:  R.. 0x17c15
687500:  R.. 0x1d7ff
710000:  R.. 0x17c16
713750:  R.. 0x1ffff
717500:  R.. 0x1ffff
721250:  R.. 0x1ffff
725000:  R.. 0x1ffff
743875:  R.. 0x17c17
775750:  R.. 0x17c18
809500:  R.. 0x17c19
852750:  R.. 0x17c1a
875250:  R.. 0x17c1b
909000:  R.. 0x0d8ff
912750:  R.. 0x17c1c
942750:  R.. 0x17c1d
969000:  R.. 0x1d9ff
976500:  R.. 0x17c1e
1010125:  R.. 0x17c1f
1028875:  R.. 0x0daff
1043875:  R.. 0x17c20
1077625:  R.. 0x17c21
1088875:  R.. 0x1dbff
1111375:  R.. 0x17c22
1145125:  R.. 0x17c23
1148875:  R.. 0x0dcff
1179000:  R.. 0x17c24
1209000:  R.. 0x1ddff
1212750:  R.. 0x17c25
1246500:  R.. 0x17c26
1269125:  R.. 0x0deff
1280375:  R.. 0x17c27
1314125:  R.. 0x17c28
1329125:  R.. 0x1dfff
1355375:  R.. 0x1ffff
1359125:  R.. 0x1ffff
1362875:  R.. 0x1ffff
1366625:  R.. 0x1ffff
1428375:  R.. 0x17c29
1462125:  R.. 0x17c2a
1497750:  R.. 0x17c2b
1531500:  R.. 0x17c2c
1550250:  R.. 0x0e0ff
1565250:  R.. 0x17c2d
1599000:  R.. 0x17c2e
1610250:  R.. 0x1e1ff
1632875:  R.. 0x17c2f
1666625:  R.. 0x17c30
1670375:  R.. 0x0e2ff
1696625:  R.. 0x17c31
1730500:  R.. 0x1e3ff
1734250:  R.. 0x17c32
1764250:  R.. 0x17c33
1790500:  R.. 0x0e4ff
1798000:  R.. 0x17c34
1831625:  R.. 0x17c35
1850375:  R.. 0x1e5ff
1865375:  R.. 0x17c36
1899125:  R.. 0x17c37
1910375:  R.. 0x0e6ff
1932875:  R.. 0x17c38
1966625:  R.. 0x17c39
1970375:  R.. 0x1e7ff
1996625:  R.. 0x1ffff
2000375:  R.. 0x1ffff
2004125:  R.. 0x1ffff
2007875:  R.. 0x1ffff
2011625:  R.. 0x17c3a
2034125:  R.. 0x17c3b
2066000:  R.. 0x17c3c
2099875:  R.. 0x17c3d
2135500:  R.. 0x17c3e
2169250:  R.. 0x17c3f
2191750:  R.. 0x0e8ff
2203000:  R.. 0x17c40
2236750:  R.. 0x17c41
2251750:  R.. 0x1e9ff
2266750:  R.. 0x17c42
2300500:  R.. 0x17c43
2311750:  R.. 0x0eaff
2334250:  R.. 0x17c44
2367875:  R.. 0x17c45
2371625:  R.. 0x1ebff
2401625:  R.. 0x17c46
2431625:  R.. 0x0ecff
2435500:  R.. 0x17c47
2469250:  R.. 0x17c48
2491750:  R.. 0x1edff
2503000:  R.. 0x17c49
2536875:  R.. 0x17c4a
2551875:  R.. 0x0eeff
2570625:  R.. 0x17c4b
2604375:  R.. 0x17c4c
2611875:  R.. 0x1efff
2638125:  R.. 0x1ffff
2641875:  R.. 0x1ffff
2645625:  R.. 0x1ffff
2649375:  R.. 0x1ffff
2653125:  R.. 0x17c4d
2671875:  R.. 0x17c4e
2703750:  R.. 0x17c4f
2737500:  R.. 0x17c50
2833000:  R.. 0x0f0ff
2855500:  R.. 0x17c51
2889250:  R.. 0x17c52
2893000:  R.. 0x1f1ff
2923125:  R.. 0x17c53
2953125:  R.. 0x0f2ff
2956875:  R.. 0x17c54
2990750:  R.. 0x17c55
3013250:  R.. 0x1f3ff
3024500:  R.. 0x17c56
3058250:  R.. 0x17c57
3073250:  R.. 0x0f4ff
3092000:  R.. 0x17c58
3122000:  R.. 0x17c59
3133250:  R.. 0x1f5ff
3155750:  R.. 0x17c5a
3189375:  R.. 0x17c5b
3193125:  R.. 0x0f6ff
3223125:  R.. 0x17c5c
3253125:  R.. 0x1f7ff
3256875:  R.. 0x17c5d
3279375:  R.. 0x1ffff
3283125:  R.. 0x1ffff
3286875:  R.. 0x1ffff
3290625:  R.. 0x1ffff
3294375:  R.. 0x17c5e
3325875:  R.. 0x17c5f
3360125:  R.. 0x17c60
3393875:  R.. 0x17c61
3425750:  R.. 0x17c62
3459625:  R.. 0x17c63
3474625:  R.. 0x0f8ff
3493375:  R.. 0x17c64
3527125:  R.. 0x17c65
3534625:  R.. 0x1f9ff
3560750:  R.. 0x17c66
3594500:  R.. 0x0faff
