17500:  R.. 0x0c6ff
77625:  R.. 0x1c7ff
81375:  R.. 0x1545e
103875:  R.. 0x1ffff
107625:  R.. 0x1ffff
111500:  R.. 0x1ffff
115250:  R.. 0x1ffff
184625:  R.. 0x1545f
287625:  R.. 0x15460
298875:  R.. 0x0c8ff
358875:  R.. 0x1c9ff
392625:  R.. 0x15461
418875:  R.. 0x0caff
479000:  R.. 0x1cbff
494000:  R.. 0x15462
539000:  R.. 0x0ccff
599125:  R.. 0x1cdff
602875:  R.. 0x15463
659000:  R.. 0x0ceff
704000:  R.. 0x15464
719000:  R.. 0x1cfff
745250:  R.. 0x1ffff
749000:  R.. 0x1ffff
752750:  R.. 0x1ffff
756500:  R.. 0x1ffff
887750:  R.. 0x15465
940375:  R.. 0x0d0ff
992875:  R.. 0x15466
1000375:  R.. 0x1d1ff
1060375:  R.. 0x0d2ff
1097875:  R.. 0x15467
1120375:  R.. 0x1d3ff
1180250:  R.. 0x0d4ff
1199000:  R.. 0x15468
1240250:  R.. 0x1d5ff
1300375:  R.. 0x0d6ff
1304125:  R.. 0x15469
1360375:  R.. 0x1d7ff
1386750:  R.. 0x1ffff
1390500:  R.. 0x1ffff
1394250:  R.. 0x1ffff
1398000:  R.. 0x1ffff
1405500:  R.. 0x1546a
1525500:  R.. 0x1546b
1581750:  R.. 0x0d8ff
1611625:  R.. 0x1546c
1641625:  R.. 0x1d9ff
1701625:  R.. 0x0daff
1716625:  R.. 0x1546d
1761750:  R.. 0x1dbff
1821750:  R.. 0x0dcff
1825500:  R.. 0x1546e
1881875:  R.. 0x1ddff
1923125:  R.. 0x1546f
1941875:  R.. 0x0deff
2001875:  R.. 0x1dfff
2028000:  R.. 0x1ffff
2031750:  R.. 0x1ffff
2035500:  R.. 0x1ffff
2039250:  R.. 0x1ffff
2043000:  R.. 0x15470
2131125:  R.. 0x15471
2223125:  R.. 0x0e0ff
2234375:  R.. 0x15472
2283250:  R.. 0x1e1ff
2335750:  R.. 0x15473
2343250:  R.. 0x0e2ff
2403250:  R.. 0x1e3ff
2440625:  R.. 0x15474
2463125:  R.. 0x0e4ff
2523125:  R.. 0x1e5ff
2545625:  R.. 0x15475
2583125:  R.. 0x0e6ff
2643250:  R.. 0x1e7ff
2647000:  R.. 0x15476
2669500:  R.. 0x1ffff
2673250:  R.. 0x1ffff
2677000:  R.. 0x1ffff
2680750:  R.. 0x1ffff
2750250:  R.. 0x15477
2853250:  R.. 0x15478
2864500:  R.. 0x0e8ff
2924500:  R.. 0x1e9ff
2984375:  R.. 0x0eaff
3040750:  R.. 0x15479
3044500:  R.. 0x1ebff
3104625:  R.. 0x0ecff
3145875:  R.. 0x1547a
3164625:  R.. 0x1edff
3224625:  R.. 0x0eeff
3247125:  R.. 0x1547b
3284625:  R.. 0x1efff
3310875:  R.. 0x1ffff
3314625:  R.. 0x1ffff
3318375:  R.. 0x1ffff
3322125:  R.. 0x1ffff
3352500:  R.. 0x1547c
3457125:  R.. 0x1547d
3505875:  R.. 0x0f0ff
3558500:  R.. 0x1547e
3566000:  R.. 0x1f1ff
3626000:  R.. 0x0f2ff
3663500:  R.. 0x1547f
3686000:  R.. 0x1f3ff
3745875:  R.. 0x0f4ff
3764625:  R.. 0x15480
3805875:  R.. 0x1f5ff
3865875:  R.. 0x0f6ff
3869625:  R.. 0x15481
3926000:  R.. 0x1f7ff
3952250:  R.. 0x1ffff
3956000:  R.. 0x1ffff
3959750:  R.. 0x1ffff
3963500:  R.. 0x1ffff
3971000:  R.. 0x15482
4091125:  R.. 0x15483
