 7750:  R.. 0x1d3ff
26500:  W.. 0x16d06
60250:  W.. 0x16d07
67750:  R.. 0x0d4ff
94000:  W.. 0x16d08
127750:  R.. 0x1d5ff
131500:  W.. 0x16d09
161500:  W.. 0x16d0a
187750:  R.. 0x0d6ff
195250:  W.. 0x16d0b
213875:  R.. 0x1ffff
217625:  R.. 0x1ffff
221375:  R.. 0x1ffff
225125:  R.. 0x1ffff
228875:  W.. 0x16d0c
264500:  W.. 0x16d0d
298250:  W.. 0x16d0e
328250:  W.. 0x16d0f
363875:  W.. 0x16d10
397750:  W.. 0x16d11
409000:  R.. 0x1d7ff
431500:  W.. 0x16d12
465250:  W.. 0x16d13
469125:  R.. 0x0d8ff
499125:  W.. 0x16d14
529125:  R.. 0x1d9ff
532875:  W.. 0x16d15
566625:  W.. 0x16d16
589125:  R.. 0x0daff
596625:  W.. 0x16d17
630250:  W.. 0x16d18
649000:  R.. 0x1dbff
664000:  W.. 0x16d19
697750:  W.. 0x16d1a
709000:  R.. 0x0dcff
731500:  W.. 0x16d1b
765250:  W.. 0x16d1c
769000:  R.. 0x1ddff
799000:  W.. 0x16d1d
829000:  R.. 0x0deff
832875:  W.. 0x16d1e
855375:  R.. 0x1ffff
859125:  R.. 0x1ffff
862875:  R.. 0x1ffff
866625:  R.. 0x1ffff
870375:  W.. 0x16d1f
994250:  W.. 0x16d20
1016750:  W.. 0x16d21
1050375:  R.. 0x1dfff
1054125:  W.. 0x16d22
1084125:  W.. 0x16d23
1110375:  R.. 0x0e0ff
1117875:  W.. 0x16d24
1151625:  W.. 0x16d25
1170375:  R.. 0x1e1ff
1185375:  W.. 0x16d26
1219125:  W.. 0x16d27
1230375:  R.. 0x0e2ff
1252875:  W.. 0x16d28
1286750:  W.. 0x16d29
1290500:  R.. 0x1e3ff
1320500:  W.. 0x16d2a
1350500:  R.. 0x0e4ff
1354250:  W.. 0x16d2b
1388000:  W.. 0x16d2c
1410625:  R.. 0x1e5ff
1421875:  W.. 0x16d2d
1451750:  W.. 0x16d2e
1470500:  R.. 0x0e6ff
1485500:  W.. 0x16d2f
1496750:  R.. 0x1ffff
1500500:  R.. 0x1ffff
1504250:  R.. 0x1ffff
1508000:  R.. 0x1ffff
1519250:  W.. 0x16d30
1554875:  W.. 0x16d31
1588500:  W.. 0x16d32
1635500:  W.. 0x16d33
1654250:  W.. 0x16d34
1688000:  W.. 0x16d35
1691750:  R.. 0x1e7ff
1721750:  W.. 0x16d36
1751875:  R.. 0x0e8ff
1755625:  W.. 0x16d37
1789375:  W.. 0x16d38
1811875:  R.. 0x1e9ff
1823125:  W.. 0x16d39
1856875:  W.. 0x16d3a
1871875:  R.. 0x0eaff
1890625:  W.. 0x16d3b
1924375:  W.. 0x16d3c
1931875:  R.. 0x1ebff
1958125:  W.. 0x16d3d
1991750:  R.. 0x0ecff
1995500:  W.. 0x16d3e
2025500:  W.. 0x16d3f
2051750:  R.. 0x1edff
2055500:  W.. 0x16d40
2089250:  W.. 0x16d41
2111875:  R.. 0x0eeff
2123125:  W.. 0x16d42
2138125:  R.. 0x1ffff
2141875:  R.. 0x1ffff
2145625:  R.. 0x1ffff
2149375:  R.. 0x1ffff
2156875:  W.. 0x16d43
2192500:  W.. 0x16d44
2226375:  W.. 0x16d45
2277000:  W.. 0x16d46
2292000:  W.. 0x16d47
2333250:  R.. 0x1efff
2393125:  R.. 0x0f0ff
2408125:  W.. 0x16d48
2441875:  W.. 0x16d49
2453125:  R.. 0x1f1ff
2475625:  W.. 0x16d4a
2509375:  W.. 0x16d4b
2513125:  R.. 0x0f2ff
2543125:  W.. 0x16d4c
2573250:  R.. 0x1f3ff
2577000:  W.. 0x16d4d
2610750:  W.. 0x16d4e
2633250:  R.. 0x0f4ff
2644625:  W.. 0x16d4f
2678375:  W.. 0x16d50
2693375:  R.. 0x1f5ff
2712125:  W.. 0x16d51
2745875:  W.. 0x16d52
2753375:  R.. 0x0f6ff
2779625:  R.. 0x1ffff
2783375:  R.. 0x1ffff
2787000:  R.. 0x1ffff
2790750:  R.. 0x1ffff
2794500:  W.. 0x16d53
2813250:  W.. 0x16d54
2845125:  W.. 0x16d55
2878875:  W.. 0x16d56
2918250:  W.. 0x16d57
2944500:  W.. 0x16d58
2974500:  R.. 0x1f7ff
2978250:  W.. 0x16d59
3012125:  W.. 0x16d5a
3034625:  R.. 0x0f8ff
3045875:  W.. 0x16d5b
3079625:  W.. 0x16d5c
3094750:  R.. 0x1f9ff
3113500:  W.. 0x16d5d
3147250:  W.. 0x16d5e
3154750:  R.. 0x0faff
3181000:  W.. 0x16d5f
3214625:  R.. 0x1fbff
3218375:  W.. 0x16d60
3248375:  W.. 0x16d61
3274625:  R.. 0x0fcff
3282125:  W.. 0x16d62
3315875:  W.. 0x16d63
3334625:  R.. 0x1fdff
3349625:  W.. 0x16d64
3383375:  W.. 0x16d65
3394625:  R.. 0x0feff
3417125:  W.. 0x16d66
3420875:  R.. 0x1ffff
3424625:  R.. 0x1ffff
3428375:  R.. 0x1ffff
3432125:  R.. 0x1ffff
3451000:  W.. 0x16d67
3482875:  W.. 0x16d68
3516625:  W.. 0x16d69
3559875:  W.. 0x16d6a
3582250:  W.. 0x16d6b
3616000:  R.. 0x1ffff
3619750:  W.. 0x16d6c
3649750:  W.. 0x16d6d
3676000:  R.. 0x0003f
3683500:  W.. 0x16d6e
3717125:  W.. 0x16d6f
