31250:  W.. 0x19e47
67000:  W.. 0x19e48
100750:  W.. 0x19e49
112125:  R.. 0x1d7ff
134625:  W.. 0x19e4a
168375:  W.. 0x19e4b
172125:  R.. 0x0d8ff
202125:  W.. 0x19e4c
232125:  R.. 0x1d9ff
235875:  W.. 0x19e4d
265750:  W.. 0x19e4e
292000:  R.. 0x0daff
299500:  W.. 0x19e4f
333250:  W.. 0x19e50
352000:  R.. 0x1dbff
367000:  W.. 0x19e51
400750:  W.. 0x19e52
412000:  R.. 0x0dcff
434500:  W.. 0x19e53
468250:  W.. 0x19e54
472000:  R.. 0x1ddff
502125:  W.. 0x19e55
532125:  R.. 0x0deff
535875:  W.. 0x19e56
558375:  R.. 0x1ffff
562125:  R.. 0x1ffff
565875:  R.. 0x1ffff
569625:  R.. 0x1ffff
573375:  W.. 0x19e57
697125:  W.. 0x19e58
719625:  W.. 0x19e59
753375:  R.. 0x1dfff
757125:  W.. 0x19e5a
787125:  W.. 0x19e5b
813250:  R.. 0x0e0ff
820750:  W.. 0x19e5c
854625:  W.. 0x19e5d
873375:  R.. 0x1e1ff
888375:  W.. 0x19e5e
922125:  W.. 0x19e5f
933375:  R.. 0x0e2ff
956000:  W.. 0x19e60
989750:  W.. 0x19e61
993500:  R.. 0x1e3ff
1023500:  W.. 0x19e62
1053500:  R.. 0x0e4ff
1057250:  W.. 0x19e63
1087250:  W.. 0x19e64
1113500:  R.. 0x1e5ff
1121000:  W.. 0x19e65
1154750:  W.. 0x19e66
1173500:  R.. 0x0e6ff
1188375:  W.. 0x19e67
1199625:  R.. 0x1ffff
1203375:  R.. 0x1ffff
1207125:  R.. 0x1ffff
1210875:  R.. 0x1ffff
1222125:  W.. 0x19e68
1257750:  W.. 0x19e69
1291500:  W.. 0x19e6a
1338500:  W.. 0x19e6b
1357250:  W.. 0x19e6c
1391125:  W.. 0x19e6d
1394875:  R.. 0x1e7ff
1424875:  W.. 0x19e6e
1454875:  R.. 0x0e8ff
1458625:  W.. 0x19e6f
1492375:  W.. 0x19e70
1514875:  R.. 0x1e9ff
1526125:  W.. 0x19e71
1559875:  W.. 0x19e72
1574875:  R.. 0x0eaff
1593500:  W.. 0x19e73
1627250:  W.. 0x19e74
1634750:  R.. 0x1ebff
1661000:  W.. 0x19e75
1691000:  W.. 0x19e76
1694750:  R.. 0x0ecff
1724750:  W.. 0x19e77
1754875:  R.. 0x1edff
1758625:  W.. 0x19e78
1792375:  W.. 0x19e79
1814875:  R.. 0x0eeff
1826125:  W.. 0x19e7a
1841250:  R.. 0x1ffff
1845000:  R.. 0x1ffff
1848750:  R.. 0x1ffff
1852500:  R.. 0x1ffff
1860000:  W.. 0x19e7b
1895625:  W.. 0x19e7c
1929375:  W.. 0x19e7d
1959375:  W.. 0x19e7e
1995000:  W.. 0x19e7f
2036125:  R.. 0x1efff
