 2125:  W.. 0x1900a
35875:  W.. 0x1900b
43375:  R.. 0x0c4ff
69750:  W.. 0x1900c
103500:  R.. 0x1c5ff
107250:  W.. 0x1900d
137250:  W.. 0x1900e
163500:  R.. 0x0c6ff
171000:  W.. 0x1900f
189750:  R.. 0x1ffff
193500:  R.. 0x1ffff
197250:  R.. 0x1ffff
201000:  R.. 0x1ffff
204750:  W.. 0x19010
236125:  W.. 0x19011
270375:  W.. 0x19012
304000:  W.. 0x19013
335875:  W.. 0x19014
369625:  W.. 0x19015
384625:  R.. 0x1c7ff
403375:  W.. 0x19016
437250:  W.. 0x19017
444750:  R.. 0x0c8ff
471000:  W.. 0x19018
504875:  R.. 0x1c9ff
508625:  W.. 0x19019
538625:  W.. 0x1901a
564875:  R.. 0x0caff
572375:  W.. 0x1901b
606125:  W.. 0x1901c
624875:  R.. 0x1cbff
639875:  W.. 0x1901d
673625:  W.. 0x1901e
684875:  R.. 0x0ccff
707250:  W.. 0x1901f
744750:  R.. 0x1cdff
804750:  R.. 0x0ceff
823500:  W.. 0x19020
831000:  R.. 0x1ffff
834750:  R.. 0x1ffff
838500:  R.. 0x1ffff
842250:  R.. 0x1ffff
857250:  W.. 0x19021
889250:  W.. 0x19022
923000:  W.. 0x19023
970000:  W.. 0x19024
992500:  W.. 0x19025
1026250:  R.. 0x1cfff
1030000:  W.. 0x19026
1056250:  W.. 0x19027
1086250:  R.. 0x0d0ff
1090000:  W.. 0x19028
1123625:  W.. 0x19029
1146125:  R.. 0x1d1ff
1157375:  W.. 0x1902a
1191125:  W.. 0x1902b
1206125:  R.. 0x0d2ff
1224875:  W.. 0x1902c
1258625:  W.. 0x1902d
1266125:  R.. 0x1d3ff
1292375:  W.. 0x1902e
1326250:  R.. 0x0d4ff
1330000:  W.. 0x1902f
1360000:  W.. 0x19030
1386250:  R.. 0x1d5ff
1393750:  W.. 0x19031
1427625:  W.. 0x19032
1446375:  R.. 0x0d6ff
1461375:  W.. 0x19033
1472625:  R.. 0x1ffff
1476375:  R.. 0x1ffff
1480125:  R.. 0x1ffff
1483875:  R.. 0x1ffff
1495125:  W.. 0x19034
1530625:  W.. 0x19035
1560625:  W.. 0x19036
1611250:  W.. 0x19037
1630000:  W.. 0x19038
1660000:  W.. 0x19039
1667500:  R.. 0x1d7ff
1693750:  W.. 0x1903a
1727500:  R.. 0x0d8ff
1731250:  W.. 0x1903b
1761375:  W.. 0x1903c
1787625:  R.. 0x1d9ff
1795125:  W.. 0x1903d
1828875:  W.. 0x1903e
1847625:  R.. 0x0daff
1862750:  W.. 0x1903f
1896375:  W.. 0x19040
1907750:  R.. 0x1dbff
1930125:  W.. 0x19041
1963875:  W.. 0x19042
1967625:  R.. 0x0dcff
1997625:  W.. 0x19043
2027625:  R.. 0x1ddff
2031375:  W.. 0x19044
2065000:  W.. 0x19045
2087500:  R.. 0x0deff
2098750:  W.. 0x19046
2113875:  R.. 0x1ffff
2117625:  R.. 0x1ffff
2121375:  R.. 0x1ffff
2125125:  R.. 0x1ffff
2132625:  W.. 0x19047
2252750:  W.. 0x19048
2282750:  W.. 0x19049
2309000:  R.. 0x1dfff
2316500:  W.. 0x1904a
2350250:  W.. 0x1904b
2369000:  R.. 0x0e0ff
2384000:  W.. 0x1904c
2417750:  W.. 0x1904d
2429000:  R.. 0x1e1ff
2451375:  W.. 0x1904e
2485125:  W.. 0x1904f
2488875:  R.. 0x0e2ff
2515125:  W.. 0x19050
2548875:  R.. 0x1e3ff
2552625:  W.. 0x19051
2582750:  W.. 0x19052
2609000:  R.. 0x0e4ff
2616500:  W.. 0x19053
2650250:  W.. 0x19054
2669125:  R.. 0x1e5ff
2684125:  W.. 0x19055
2717875:  W.. 0x19056
2729125:  R.. 0x0e6ff
2751625:  W.. 0x19057
2755375:  R.. 0x1ffff
2759125:  R.. 0x1ffff
2762875:  R.. 0x1ffff
2766625:  R.. 0x1ffff
2785375:  W.. 0x19058
2817250:  W.. 0x19059
2850875:  W.. 0x1905a
2894000:  W.. 0x1905b
2920250:  W.. 0x1905c
2950250:  R.. 0x1e7ff
2954000:  W.. 0x1905d
2987750:  W.. 0x1905e
3010250:  R.. 0x0e8ff
3021625:  W.. 0x1905f
3055375:  W.. 0x19060
3070375:  R.. 0x1e9ff
3085375:  W.. 0x19061
3119250:  W.. 0x19062
3130500:  R.. 0x0eaff
3153000:  W.. 0x19063
3186750:  W.. 0x19064
3190500:  R.. 0x1ebff
3220500:  W.. 0x19065
3250375:  R.. 0x0ecff
3254125:  W.. 0x19066
3287875:  W.. 0x19067
3310375:  R.. 0x1edff
3321625:  W.. 0x19068
3355375:  W.. 0x19069
3370375:  R.. 0x0eeff
3389125:  W.. 0x1906a
3396625:  R.. 0x1ffff
3400375:  R.. 0x1ffff
3404125:  R.. 0x1ffff
3407875:  R.. 0x1ffff
3422875:  W.. 0x1906b
3454750:  W.. 0x1906c
3488625:  W.. 0x1906d
3535500:  W.. 0x1906e
3558125:  W.. 0x1906f
3591875:  R.. 0x1efff
3651750:  R.. 0x0f0ff
3674250:  W.. 0x19070
3708000:  W.. 0x19071
3711750:  R.. 0x1f1ff
3741750:  W.. 0x19072
3771750:  R.. 0x0f2ff
3775500:  W.. 0x19073
3809250:  W.. 0x19074
3831750:  R.. 0x1f3ff
3843000:  W.. 0x19075
3876750:  W.. 0x19076
3891750:  R.. 0x0f4ff
3910500:  W.. 0x19077
3940625:  W.. 0x19078
3951875:  R.. 0x1f5ff
3974375:  W.. 0x19079
4008125:  W.. 0x1907a
4011875:  R.. 0x0f6ff
4038250:  R.. 0x1ffff
4041875:  R.. 0x1ffff
4045625:  R.. 0x1ffff
4049375:  R.. 0x1ffff
4053125:  W.. 0x1907b
4075625:  W.. 0x1907c
