12000:  R.. 0x084bf
34500:  R.. 0x00e7e
45750:  W.. 0x04e7e
64500:  R.. 0x00e7f
72000:  R.. 0x185bf
75750:  W.. 0x04e7f
124500:  R.. 0x00efe
132000:  R.. 0x086bf
135750:  W.. 0x04efe
154500:  R.. 0x00eff
165750:  W.. 0x04eff
192000:  R.. 0x187bf
214500:  R.. 0x00f7e
225750:  W.. 0x04f7e
244500:  R.. 0x00f7f
252125:  R.. 0x088bf
255875:  W.. 0x04f7f
278375:  R.. 0x1ffff
282125:  R.. 0x1ffff
285875:  R.. 0x1ffff
289625:  R.. 0x1ffff
304625:  R.. 0x00ffe
315875:  W.. 0x04ffe
336500:  R.. 0x00fff
347750:  W.. 0x04fff
396500:  R.. 0x0107e
417125:  W.. 0x0507e
435875:  R.. 0x0107f
447125:  W.. 0x0507f
473375:  R.. 0x189bf
495875:  R.. 0x010fe
507125:  W.. 0x050fe
525875:  R.. 0x010ff
533375:  R.. 0x08abf
537125:  W.. 0x050ff
585875:  R.. 0x0117e
593375:  R.. 0x18bbf
597125:  W.. 0x0517e
615875:  R.. 0x0117f
627125:  W.. 0x0517f
653375:  R.. 0x08cbf
675875:  R.. 0x011fe
687125:  W.. 0x051fe
706000:  R.. 0x011ff
713500:  R.. 0x18dbf
717250:  W.. 0x051ff
766000:  R.. 0x0127e
773500:  R.. 0x08ebf
777250:  W.. 0x0527e
796000:  R.. 0x0127f
807250:  W.. 0x0527f
833500:  R.. 0x18fbf
856000:  R.. 0x012fe
867250:  W.. 0x052fe
886000:  R.. 0x012ff
893500:  R.. 0x090bf
897250:  W.. 0x052ff
919750:  R.. 0x1ffff
923500:  R.. 0x1ffff
927250:  R.. 0x1ffff
931000:  R.. 0x1ffff
945875:  R.. 0x0137e
957125:  W.. 0x0537e
977750:  R.. 0x0137f
989000:  W.. 0x0537f
1037750:  R.. 0x013fe
1058500:  W.. 0x053fe
1077250:  R.. 0x013ff
1088500:  W.. 0x053ff
1114750:  R.. 0x191bf
1137250:  R.. 0x0147e
1148625:  W.. 0x0547e
1167375:  R.. 0x0147f
1174875:  R.. 0x092bf
1178625:  W.. 0x0547f
1227375:  R.. 0x014fe
1234875:  R.. 0x193bf
1238625:  W.. 0x054fe
1257375:  R.. 0x014ff
1268625:  W.. 0x054ff
1294875:  R.. 0x094bf
1317375:  R.. 0x0157e
1328625:  W.. 0x0557e
1347250:  R.. 0x0157f
1354875:  R.. 0x195bf
1358500:  W.. 0x0557f
1407250:  R.. 0x015fe
1414750:  R.. 0x096bf
1418500:  W.. 0x055fe
1437250:  R.. 0x015ff
1448500:  W.. 0x055ff
1474750:  R.. 0x197bf
1497250:  R.. 0x0167e
1508500:  W.. 0x0567e
1527375:  R.. 0x0167f
1534875:  R.. 0x098bf
1538625:  W.. 0x0567f
1561125:  R.. 0x1ffff
1564875:  R.. 0x1ffff
1568625:  R.. 0x1ffff
1572375:  R.. 0x1ffff
1587375:  R.. 0x016fe
1598625:  W.. 0x056fe
1619375:  R.. 0x016ff
1630625:  W.. 0x056ff
1679375:  R.. 0x0177e
1700000:  W.. 0x0577e
1718750:  R.. 0x0177f
1730000:  W.. 0x0577f
1756250:  R.. 0x199bf
1778625:  R.. 0x017fe
1789875:  W.. 0x057fe
1808625:  R.. 0x017ff
1816125:  R.. 0x09abf
1819875:  W.. 0x057ff
1868625:  R.. 0x0187e
1876125:  R.. 0x19bbf
1879875:  W.. 0x0587e
1898625:  R.. 0x0187f
1909875:  W.. 0x0587f
1936125:  R.. 0x09cbf
1958750:  R.. 0x018fe
1970000:  W.. 0x058fe
1988750:  R.. 0x018ff
1996250:  R.. 0x19dbf
2000000:  W.. 0x058ff
2048750:  R.. 0x0197e
2056375:  R.. 0x09ebf
2060125:  W.. 0x0597e
2078875:  R.. 0x0197f
2090125:  W.. 0x0597f
2116375:  R.. 0x19fbf
2138875:  R.. 0x019fe
2150125:  W.. 0x059fe
2168750:  R.. 0x019ff
2176250:  R.. 0x0a0bf
2180000:  W.. 0x059ff
2202500:  R.. 0x1ffff
2206250:  R.. 0x1ffff
2210000:  R.. 0x1ffff
2213750:  R.. 0x1ffff
2228750:  R.. 0x01a7e
2240000:  W.. 0x05a7e
2260625:  R.. 0x01a7f
2271875:  W.. 0x05a7f
2320625:  R.. 0x01afe
2341250:  W.. 0x05afe
2360000:  R.. 0x01aff
2371250:  W.. 0x05aff
2397625:  R.. 0x1a1bf
2420125:  R.. 0x01b7e
2431375:  W.. 0x05b7e
2450125:  R.. 0x01b7f
2457625:  R.. 0x0a2bf
2461375:  W.. 0x05b7f
2510125:  R.. 0x01bfe
2517750:  R.. 0x1a3bf
2521500:  W.. 0x05bfe
2540250:  R.. 0x01bff
2551375:  W.. 0x05bff
2577625:  R.. 0x0a4bf
2600125:  R.. 0x01c7e
2611375:  W.. 0x05c7e
2630125:  R.. 0x01c7f
2637625:  R.. 0x1a5bf
2641375:  W.. 0x05c7f
2690125:  R.. 0x01cfe
2697500:  R.. 0x0a6bf
2701250:  W.. 0x05cfe
2720000:  R.. 0x01cff
2731250:  W.. 0x05cff
2757625:  R.. 0x1a7bf
2780125:  R.. 0x01d7e
2791375:  W.. 0x05d7e
2810125:  R.. 0x01d7f
2817625:  R.. 0x0a8bf
2821375:  W.. 0x05d7f
2844000:  R.. 0x1ffff
2847625:  R.. 0x1ffff
2851500:  R.. 0x1ffff
2855250:  R.. 0x1ffff
2870250:  R.. 0x01dfe
2881500:  W.. 0x05dfe
2902125:  R.. 0x01dff
2913375:  W.. 0x05dff
2962125:  R.. 0x01e7e
2982750:  W.. 0x05e7e
3001500:  R.. 0x01e7f
3012750:  W.. 0x05e7f
3039000:  R.. 0x1a9bf
3061500:  R.. 0x01efe
3072750:  W.. 0x05efe
3091500:  R.. 0x01eff
3098875:  R.. 0x0aabf
3102625:  W.. 0x05eff
3151375:  R.. 0x01f7e
3158875:  R.. 0x1abbf
3162625:  W.. 0x05f7e
3181375:  R.. 0x01f7f
3192625:  W.. 0x05f7f
3219000:  R.. 0x0acbf
3241500:  R.. 0x01ffe
3252750:  W.. 0x05ffe
3271500:  R.. 0x01fff
3279000:  R.. 0x1adbf
3282750:  W.. 0x05fff
3331625:  R.. 0x0207e
3339125:  R.. 0x0aebf
3342875:  W.. 0x0607e
3361625:  R.. 0x0207f
3372875:  W.. 0x0607f
3399125:  R.. 0x1afbf
3421625:  R.. 0x020fe
3432875:  W.. 0x060fe
3451625:  R.. 0x020ff
3459125:  R.. 0x0b0bf
3462875:  W.. 0x060ff
3485375:  R.. 0x1ffff
3489125:  R.. 0x1ffff
3492875:  R.. 0x1ffff
3496625:  R.. 0x1ffff
3511500:  R.. 0x0217e
3522750:  W.. 0x0617e
3543375:  R.. 0x0217f
3554625:  W.. 0x0617f
3603375:  R.. 0x021fe
3624000:  W.. 0x061fe
3642750:  R.. 0x021ff
3654000:  W.. 0x061ff
3680375:  R.. 0x1b1bf
3702875:  R.. 0x0227e
3714125:  W.. 0x0627e
3732875:  R.. 0x0227f
3740375:  R.. 0x0b2bf
3744125:  W.. 0x0627f
3793000:  R.. 0x022fe
3800500:  R.. 0x1b3bf
3804250:  W.. 0x062fe
3823000:  R.. 0x022ff
3834250:  W.. 0x062ff
3860500:  R.. 0x0b4bf
3883000:  R.. 0x0237e
3894250:  W.. 0x0637e
3912875:  R.. 0x0237f
3920500:  R.. 0x1b5bf
3924125:  W.. 0x0637f
3972875:  R.. 0x023fe
3980375:  R.. 0x0b6bf
3984125:  W.. 0x063fe
4002875:  R.. 0x023ff
4014125:  W.. 0x063ff
4040375:  R.. 0x1b7bf
4062875:  R.. 0x0247e
4074125:  W.. 0x0647e
4092875:  R.. 0x0247f
