13000:  R.. 0x11b3f
16750:  R.. 0x05dff
28000:  W.. 0x09dff
73000:  R.. 0x01c3f
76750:  R.. 0x05e7e
88000:  W.. 0x09e7e
106750:  R.. 0x05e7f
118000:  W.. 0x09e7f
133000:  R.. 0x11d3f
166875:  R.. 0x05efe
178125:  W.. 0x09efe
193125:  R.. 0x01e3f
196875:  R.. 0x05eff
208125:  W.. 0x09eff
253250:  R.. 0x11f3f
256875:  R.. 0x05f7e
268125:  W.. 0x09f7e
286875:  R.. 0x05f7f
298125:  W.. 0x09f7f
313125:  R.. 0x0203f
339375:  R.. 0x1ffff
343125:  R.. 0x1ffff
346875:  R.. 0x1ffff
350625:  R.. 0x1ffff
354375:  R.. 0x05ffe
365625:  W.. 0x09ffe
385750:  R.. 0x05fff
397500:  W.. 0x09fff
446125:  R.. 0x0607e
457375:  W.. 0x0a07e
478000:  R.. 0x0607f
489250:  W.. 0x0a07f
534375:  R.. 0x1213f
538125:  R.. 0x060fe
549375:  W.. 0x0a0fe
568125:  R.. 0x060ff
579375:  W.. 0x0a0ff
594375:  R.. 0x0223f
628250:  R.. 0x0617e
639500:  W.. 0x0a17e
654500:  R.. 0x1233f
658250:  R.. 0x0617f
669500:  W.. 0x0a17f
714500:  R.. 0x0243f
718250:  R.. 0x061fe
729500:  W.. 0x0a1fe
748250:  R.. 0x061ff
759500:  W.. 0x0a1ff
774500:  R.. 0x1253f
808250:  R.. 0x0627e
819375:  W.. 0x0a27e
834375:  R.. 0x0263f
838125:  R.. 0x0627f
849375:  W.. 0x0a27f
894375:  R.. 0x1273f
898125:  R.. 0x062fe
909375:  W.. 0x0a2fe
928125:  R.. 0x062ff
939375:  W.. 0x0a2ff
954375:  R.. 0x0283f
980750:  R.. 0x1ffff
984500:  R.. 0x1ffff
988250:  R.. 0x1ffff
992000:  R.. 0x1ffff
995750:  R.. 0x0637e
1007000:  W.. 0x0a37e
1027250:  R.. 0x0637f
1038875:  W.. 0x0a37f
1087750:  R.. 0x063fe
1099000:  W.. 0x0a3fe
1119625:  R.. 0x063ff
1130875:  W.. 0x0a3ff
1175875:  R.. 0x1293f
1179625:  R.. 0x0647e
1190875:  W.. 0x0a47e
1209625:  R.. 0x0647f
1220750:  W.. 0x0a47f
1235750:  R.. 0x02a3f
1269500:  R.. 0x064fe
1280750:  W.. 0x0a4fe
1295750:  R.. 0x12b3f
1299500:  R.. 0x064ff
1310750:  W.. 0x0a4ff
1355750:  R.. 0x02c3f
1359500:  R.. 0x0657e
1370750:  W.. 0x0a57e
