14250:  R.. 0x0687f
40500:  R.. 0x1ffff
44250:  R.. 0x1ffff
48000:  R.. 0x1ffff
51750:  R.. 0x1ffff
55500:  R.. 0x1e2ff
66750:  W.. 0x022ff
117250:  R.. 0x1e37f
128500:  W.. 0x0237f
179125:  R.. 0x1e3ff
190375:  W.. 0x023ff
235500:  R.. 0x1697f
239250:  R.. 0x1e47f
250500:  W.. 0x0247f
295500:  R.. 0x06a7f
299250:  R.. 0x1e4ff
310500:  W.. 0x024ff
355625:  R.. 0x16b7f
359375:  R.. 0x1e57f
370625:  W.. 0x0257f
415625:  R.. 0x06c7f
419375:  R.. 0x1e5ff
430625:  W.. 0x025ff
475625:  R.. 0x16d7f
479375:  R.. 0x1e67f
490500:  W.. 0x0267f
535500:  R.. 0x06e7f
539250:  R.. 0x1e6ff
550500:  W.. 0x026ff
595500:  R.. 0x16f7f
599250:  R.. 0x1e77f
610500:  W.. 0x0277f
655500:  R.. 0x0707f
659250:  R.. 0x1e7ff
670500:  W.. 0x027ff
681875:  R.. 0x1ffff
685625:  R.. 0x1ffff
689375:  R.. 0x1ffff
693125:  R.. 0x1ffff
719375:  R.. 0x1e87f
732500:  W.. 0x0287f
781375:  R.. 0x1e8ff
792625:  W.. 0x028ff
843250:  R.. 0x1e97f
854500:  W.. 0x0297f
877000:  R.. 0x1717f
903125:  R.. 0x1e9ff
914375:  W.. 0x029ff
936875:  R.. 0x0727f
963125:  R.. 0x1ea7f
974375:  W.. 0x02a7f
996875:  R.. 0x1737f
1023125:  R.. 0x1eaff
1034375:  W.. 0x02aff
1056875:  R.. 0x0747f
1083125:  R.. 0x1eb7f
1094375:  W.. 0x02b7f
1117000:  R.. 0x1757f
1143250:  R.. 0x1ebff
1154500:  W.. 0x02bff
1177000:  R.. 0x0767f
1203375:  R.. 0x1ec7f
1214625:  W.. 0x02c7f
1237125:  R.. 0x1777f
1263375:  R.. 0x1ecff
1274625:  W.. 0x02cff
1297000:  R.. 0x0787f
1323250:  R.. 0x1ffff
1327000:  R.. 0x1ffff
1330750:  R.. 0x1ffff
1334500:  R.. 0x1ffff
1338250:  R.. 0x1ed7f
1349500:  W.. 0x02d7f
1400125:  R.. 0x1edff
1411375:  W.. 0x02dff
1462000:  R.. 0x1ee7f
1473250:  W.. 0x02e7f
1518250:  R.. 0x1797f
1522000:  R.. 0x1eeff
1533250:  W.. 0x02eff
1578250:  R.. 0x07a7f
1582125:  R.. 0x1ef7f
1593375:  W.. 0x02f7f
1638375:  R.. 0x17b7f
1642125:  R.. 0x1efff
1653375:  W.. 0x02fff
1698375:  R.. 0x07c7f
1702250:  R.. 0x1f07f
1713375:  W.. 0x0307f
1758375:  R.. 0x17d7f
1762125:  R.. 0x1f0ff
1773375:  W.. 0x030ff
1818375:  R.. 0x07e7f
1822125:  R.. 0x1f17f
1833375:  W.. 0x0317f
1878250:  R.. 0x17f7f
1882000:  R.. 0x1f1ff
1893250:  W.. 0x031ff
1938375:  R.. 0x080bf
1942125:  R.. 0x1f27f
1953375:  W.. 0x0327f
1964625:  R.. 0x1ffff
1968375:  R.. 0x1ffff
1972125:  R.. 0x1ffff
1975875:  R.. 0x1ffff
2002125:  R.. 0x1f2ff
2015250:  W.. 0x032ff
2064125:  R.. 0x1f37f
2075375:  W.. 0x0337f
2126000:  R.. 0x1f3ff
2137250:  W.. 0x033ff
2159750:  R.. 0x181bf
2186000:  R.. 0x1f47f
2197250:  W.. 0x0347f
2219750:  R.. 0x082bf
2246000:  R.. 0x1f4ff
2257125:  W.. 0x034ff
2279625:  R.. 0x183bf
2305875:  R.. 0x1f57f
2317125:  W.. 0x0357f
2339625:  R.. 0x084bf
2365875:  R.. 0x1f5ff
2377125:  W.. 0x035ff
2399750:  R.. 0x185bf
2426000:  R.. 0x1f67f
2437250:  W.. 0x0367f
2459750:  R.. 0x086bf
2486125:  R.. 0x1f6ff
2497375:  W.. 0x036ff
2519875:  R.. 0x187bf
2546125:  R.. 0x1f77f
2557375:  W.. 0x0377f
2579875:  R.. 0x088bf
2606125:  R.. 0x1ffff
2609875:  R.. 0x1ffff
2613625:  R.. 0x1ffff
2617375:  R.. 0x1ffff
2621125:  R.. 0x1f7ff
2632375:  W.. 0x037ff
2682875:  R.. 0x1f87f
2694125:  W.. 0x0387f
2744750:  R.. 0x1f8ff
2756000:  W.. 0x038ff
2801000:  R.. 0x189bf
2804750:  R.. 0x1f97f
2816000:  W.. 0x0397f
2861125:  R.. 0x08abf
2864875:  R.. 0x1f9ff
2876125:  W.. 0x039ff
2921250:  R.. 0x18bbf
2925000:  R.. 0x1fa7f
2936250:  W.. 0x03a7f
2981250:  R.. 0x08cbf
2985000:  R.. 0x1faff
2996250:  W.. 0x03aff
3041250:  R.. 0x18dbf
3045000:  R.. 0x1fb7f
3056125:  W.. 0x03b7f
3101125:  R.. 0x08ebf
3104875:  R.. 0x1fbff
3116125:  W.. 0x03bff
3161125:  R.. 0x18fbf
3164875:  R.. 0x1fc7f
3176125:  W.. 0x03c7f
3221125:  R.. 0x090bf
3224875:  R.. 0x1fcff
3236125:  W.. 0x03cff
3247375:  R.. 0x1ffff
3251125:  R.. 0x1ffff
3254875:  R.. 0x1ffff
3258625:  R.. 0x1ffff
3285000:  R.. 0x1fd7f
3298125:  W.. 0x03d7f
3346875:  R.. 0x1fdff
3358125:  W.. 0x03dff
3408875:  R.. 0x1fe7f
3420125:  W.. 0x03e7f
3442625:  R.. 0x191bf
3468875:  R.. 0x1feff
3480000:  W.. 0x03eff
3502500:  R.. 0x092bf
3528750:  R.. 0x1ff7f
3540000:  W.. 0x03f7f
3562500:  R.. 0x193bf
3588750:  R.. 0x1ffff
3600000:  W.. 0x03fff
3622500:  R.. 0x094bf
3648750:  R.. 0x0007f
3660000:  W.. 0x0407f
3682500:  R.. 0x195bf
3708750:  R.. 0x000ff
3720000:  W.. 0x040ff
3742625:  R.. 0x096bf
3768875:  R.. 0x0017f
3780125:  W.. 0x0417f
3802625:  R.. 0x197bf
3828875:  R.. 0x001ff
3840125:  W.. 0x041ff
3862625:  R.. 0x098bf
3888875:  R.. 0x1ffff
3892625:  R.. 0x1ffff
3896375:  R.. 0x1ffff
3900125:  R.. 0x1ffff
3903875:  R.. 0x0027f
3915125:  W.. 0x0427f
3965750:  R.. 0x002ff
3977000:  W.. 0x042ff
4027500:  R.. 0x0037f
4038750:  W.. 0x0437f
4083875:  R.. 0x199bf
4087625:  R.. 0x003ff
