 4375:  R.. 0x1c3ff
 8000:  R.. 0x033ff
19250:  W.. 0x073ff
64375:  R.. 0x0c4ff
68125:  R.. 0x0347f
79375:  W.. 0x0747f
124500:  R.. 0x1c5ff
128125:  R.. 0x034ff
139500:  W.. 0x074ff
184500:  R.. 0x0c6ff
188250:  R.. 0x0357f
199500:  W.. 0x0757f
244625:  R.. 0x1c7ff
248250:  R.. 0x035ff
259500:  W.. 0x075ff
304500:  R.. 0x0c8ff
308250:  R.. 0x0367f
319500:  W.. 0x0767f
330750:  R.. 0x1ffff
334500:  R.. 0x1ffff
338250:  R.. 0x1ffff
342000:  R.. 0x1ffff
368250:  R.. 0x036ff
381250:  W.. 0x076ff
430000:  R.. 0x0377f
441250:  W.. 0x0777f
491875:  R.. 0x037ff
503250:  W.. 0x077ff
525750:  R.. 0x1c9ff
552000:  R.. 0x0387f
563250:  W.. 0x0787f
585750:  R.. 0x0caff
612125:  R.. 0x038ff
623375:  W.. 0x078ff
645875:  R.. 0x1cbff
672125:  R.. 0x0397f
683375:  W.. 0x0797f
705875:  R.. 0x0ccff
732125:  R.. 0x039ff
743375:  W.. 0x079ff
765875:  R.. 0x1cdff
792000:  R.. 0x03a7f
803250:  W.. 0x07a7f
825750:  R.. 0x0ceff
852000:  R.. 0x03aff
863250:  W.. 0x07aff
885750:  R.. 0x1cfff
912000:  R.. 0x03b7f
923250:  W.. 0x07b7f
945750:  R.. 0x0d0ff
972125:  R.. 0x1ffff
975875:  R.. 0x1ffff
979625:  R.. 0x1ffff
983375:  R.. 0x1ffff
987125:  R.. 0x03bff
998375:  W.. 0x07bff
1049125:  R.. 0x03c7f
1060375:  W.. 0x07c7f
1111000:  R.. 0x03cff
1122250:  W.. 0x07cff
1167250:  R.. 0x1d1ff
1171000:  R.. 0x03d7f
1182250:  W.. 0x07d7f
1227125:  R.. 0x0d2ff
1230875:  R.. 0x03dff
1242125:  W.. 0x07dff
1287125:  R.. 0x1d3ff
1290875:  R.. 0x03e7f
1302125:  W.. 0x07e7f
1347125:  R.. 0x0d4ff
1350875:  R.. 0x03eff
1362125:  W.. 0x07eff
1407250:  R.. 0x1d5ff
1411000:  R.. 0x03f7f
1422250:  W.. 0x07f7f
1467250:  R.. 0x0d6ff
1471000:  R.. 0x03fff
1482250:  W.. 0x07fff
1527375:  R.. 0x1d7ff
1531125:  R.. 0x0407f
1542375:  W.. 0x0807f
1587375:  R.. 0x0d8ff
1591125:  R.. 0x040ff
1602375:  W.. 0x080ff
1613625:  R.. 0x1ffff
1617250:  R.. 0x1ffff
1621000:  R.. 0x1ffff
1624750:  R.. 0x1ffff
1651000:  R.. 0x0417f
1664125:  W.. 0x0817f
1712875:  R.. 0x041ff
1724125:  W.. 0x081ff
1774750:  R.. 0x0427f
1786000:  W.. 0x0827f
1808500:  R.. 0x1d9ff
1834750:  R.. 0x042ff
1846000:  W.. 0x082ff
1868625:  R.. 0x0daff
1894875:  R.. 0x0437f
1906125:  W.. 0x0837f
1928750:  R.. 0x1dbff
1955000:  R.. 0x043ff
1966250:  W.. 0x083ff
1988750:  R.. 0x0dcff
2014875:  R.. 0x0447f
2026125:  W.. 0x0847f
2048625:  R.. 0x1ddff
2074875:  R.. 0x044ff
2086125:  W.. 0x084ff
2108625:  R.. 0x0deff
2134875:  R.. 0x0457f
2146000:  W.. 0x0857f
2168625:  R.. 0x1dfff
2194875:  R.. 0x045ff
2206125:  W.. 0x085ff
2228625:  R.. 0x0e0ff
2254875:  R.. 0x1ffff
2258625:  R.. 0x1ffff
2262375:  R.. 0x1ffff
2266125:  R.. 0x1ffff
2269875:  R.. 0x0467f
2281125:  W.. 0x0867f
2331875:  R.. 0x046ff
2343125:  W.. 0x086ff
2393750:  R.. 0x0477f
2405000:  W.. 0x0877f
2450000:  R.. 0x1e1ff
2453750:  R.. 0x047ff
2465000:  W.. 0x087ff
2510000:  R.. 0x0e2ff
2513750:  R.. 0x0487f
2525000:  W.. 0x0887f
2569875:  R.. 0x1e3ff
2573625:  R.. 0x048ff
2584875:  W.. 0x088ff
2629875:  R.. 0x0e4ff
2633625:  R.. 0x0497f
2644875:  W.. 0x0897f
2690000:  R.. 0x1e5ff
2693750:  R.. 0x049ff
2705000:  W.. 0x089ff
2750125:  R.. 0x0e6ff
2753875:  R.. 0x04a7f
2765125:  W.. 0x08a7f
2810125:  R.. 0x1e7ff
2813875:  R.. 0x04aff
2825125:  W.. 0x08aff
2870125:  R.. 0x0e8ff
2873875:  R.. 0x04b7f
2885125:  W.. 0x08b7f
2896375:  R.. 0x1ffff
2900125:  R.. 0x1ffff
2903875:  R.. 0x1ffff
2907625:  R.. 0x1ffff
2933875:  R.. 0x04bff
2946875:  W.. 0x08bff
2995625:  R.. 0x04c7f
3006875:  W.. 0x08c7f
3057500:  R.. 0x04cff
3068750:  W.. 0x08cff
3091375:  R.. 0x1e9ff
3117625:  R.. 0x04d7f
3128875:  W.. 0x08d7f
3151375:  R.. 0x0eaff
3177625:  R.. 0x04dff
3188875:  W.. 0x08dff
3211500:  R.. 0x1ebff
3237750:  R.. 0x04e7f
3249000:  W.. 0x08e7f
3271500:  R.. 0x0ecff
3297750:  R.. 0x04eff
3309000:  W.. 0x08eff
3331500:  R.. 0x1edff
3357625:  R.. 0x04f7f
3368875:  W.. 0x08f7f
3391375:  R.. 0x0eeff
3417625:  R.. 0x04fff
3428875:  W.. 0x08fff
3451375:  R.. 0x1efff
3477625:  R.. 0x0507f
3488875:  W.. 0x0907f
3511375:  R.. 0x0f0ff
3537625:  R.. 0x1ffff
3541375:  R.. 0x1ffff
3545125:  R.. 0x1ffff
3549000:  R.. 0x1ffff
3552750:  R.. 0x050ff
3564000:  W.. 0x090ff
3614625:  R.. 0x0517f
3625875:  W.. 0x0917f
3676625:  R.. 0x051ff
3687875:  W.. 0x091ff
3732875:  R.. 0x1f1ff
3736625:  R.. 0x0527f
3747750:  W.. 0x0927f
3792750:  R.. 0x0f2ff
3796500:  R.. 0x052ff
3807750:  W.. 0x092ff
3852750:  R.. 0x1f3ff
3856500:  R.. 0x0537f
3867750:  W.. 0x0937f
3912750:  R.. 0x0f4ff
3916500:  R.. 0x053ff
3927750:  W.. 0x093ff
3972750:  R.. 0x1f5ff
3976500:  R.. 0x0547f
3987750:  W.. 0x0947f
4032875:  R.. 0x0f6ff
4036625:  R.. 0x054ff
4047875:  W.. 0x094ff
4093000:  R.. 0x1f7ff
