 7000:  W.. 0x0adff
52125:  R.. 0x03a3f
55875:  R.. 0x06e7d
67125:  W.. 0x0ae7d
78375:  R.. 0x1ffff
82125:  R.. 0x1ffff
85875:  R.. 0x1ffff
89625:  R.. 0x1ffff
93375:  R.. 0x06e7e
104625:  W.. 0x0ae7e
124875:  R.. 0x06e7f
136625:  W.. 0x0ae7f
185375:  R.. 0x06efd
196625:  W.. 0x0aefd
217250:  R.. 0x06efe
228500:  W.. 0x0aefe
247125:  R.. 0x06eff
258375:  W.. 0x0aeff
273375:  R.. 0x13b3f
307125:  R.. 0x06f7d
318375:  W.. 0x0af7d
333375:  R.. 0x03c3f
337125:  R.. 0x06f7e
348375:  W.. 0x0af7e
367125:  R.. 0x06f7f
378375:  W.. 0x0af7f
393375:  R.. 0x13d3f
427125:  R.. 0x06ffd
438375:  W.. 0x0affd
453375:  R.. 0x03e3f
457125:  R.. 0x06ffe
468375:  W.. 0x0affe
487125:  R.. 0x06fff
498500:  W.. 0x0afff
513500:  R.. 0x13f3f
547250:  R.. 0x0707d
558500:  W.. 0x0b07d
573500:  R.. 0x0407f
577250:  R.. 0x0707e
588625:  W.. 0x0b07e
607375:  R.. 0x0707f
618625:  W.. 0x0b07f
633625:  R.. 0x1417f
667250:  R.. 0x070fd
678500:  W.. 0x0b0fd
693500:  R.. 0x0427f
697250:  R.. 0x070fe
708500:  W.. 0x0b0fe
719750:  R.. 0x1ffff
723500:  R.. 0x1ffff
727250:  R.. 0x1ffff
731000:  R.. 0x1ffff
734750:  R.. 0x070ff
746000:  W.. 0x0b0ff
796500:  R.. 0x0717d
807750:  W.. 0x0b17d
826500:  R.. 0x0717e
837750:  W.. 0x0b17e
858500:  R.. 0x0717f
869750:  W.. 0x0b17f
914750:  R.. 0x1437f
918500:  R.. 0x071fd
929750:  W.. 0x0b1fd
948625:  R.. 0x071fe
959875:  W.. 0x0b1fe
974875:  R.. 0x0447f
978625:  R.. 0x071ff
989875:  W.. 0x0b1ff
1035000:  R.. 0x1457f
1038625:  R.. 0x0727d
1049875:  W.. 0x0b27d
1068625:  R.. 0x0727e
1079875:  W.. 0x0b27e
1094875:  R.. 0x0467f
1098625:  R.. 0x0727f
1109875:  W.. 0x0b27f
1154875:  R.. 0x1477f
1158625:  R.. 0x072fd
1169875:  W.. 0x0b2fd
1188500:  R.. 0x072fe
1199750:  W.. 0x0b2fe
1214750:  R.. 0x0487f
1218500:  R.. 0x072ff
1229750:  W.. 0x0b2ff
1274875:  R.. 0x1497f
1278500:  R.. 0x0737d
1289750:  W.. 0x0b37d
1308625:  R.. 0x0737e
1319875:  W.. 0x0b37e
1334875:  R.. 0x04a7f
1338625:  R.. 0x0737f
1349875:  W.. 0x0b37f
1361125:  R.. 0x1ffff
1364875:  R.. 0x1ffff
1368625:  R.. 0x1ffff
1372375:  R.. 0x1ffff
1398750:  R.. 0x073fd
1411875:  W.. 0x0b3fd
1430625:  R.. 0x073fe
1441875:  W.. 0x0b3fe
1460625:  R.. 0x073ff
1471875:  W.. 0x0b3ff
1522500:  R.. 0x0747d
1533750:  W.. 0x0b47d
1552500:  R.. 0x0747e
1556250:  R.. 0x14b7f
1563750:  W.. 0x0b47e
1582375:  R.. 0x0747f
1593625:  W.. 0x0b47f
1616125:  R.. 0x04c7f
1642375:  R.. 0x074fd
1653625:  W.. 0x0b4fd
1672375:  R.. 0x074fe
1676125:  R.. 0x14d7f
1683625:  W.. 0x0b4fe
1702375:  R.. 0x074ff
1713625:  W.. 0x0b4ff
1736125:  R.. 0x04e7f
1762500:  R.. 0x0757d
1773750:  W.. 0x0b57d
1792500:  R.. 0x0757e
1796250:  R.. 0x14f7f
1803750:  W.. 0x0b57e
1822500:  R.. 0x0757f
1833750:  W.. 0x0b57f
1856375:  R.. 0x0507f
1882625:  R.. 0x075fd
1893875:  W.. 0x0b5fd
1912625:  R.. 0x075fe
1916375:  R.. 0x1517f
1923875:  W.. 0x0b5fe
1942625:  R.. 0x075ff
1953875:  W.. 0x0b5ff
1976375:  R.. 0x0527f
2002625:  R.. 0x1ffff
2006250:  R.. 0x1ffff
2010000:  R.. 0x1ffff
2013750:  R.. 0x1ffff
2017500:  R.. 0x0767d
2028750:  W.. 0x0b67d
2048875:  R.. 0x0767e
2060625:  W.. 0x0b67e
2079375:  R.. 0x0767f
2090625:  W.. 0x0b67f
2141250:  R.. 0x076fd
2152500:  W.. 0x0b6fd
2171250:  R.. 0x076fe
2182500:  W.. 0x0b6fe
2197625:  R.. 0x1537f
2201375:  R.. 0x076ff
2212625:  W.. 0x0b6ff
2257625:  R.. 0x0547f
2261375:  R.. 0x0777d
2272625:  W.. 0x0b77d
2291375:  R.. 0x0777e
2302750:  W.. 0x0b77e
2317750:  R.. 0x1557f
2321500:  R.. 0x0777f
2332750:  W.. 0x0b77f
2377750:  R.. 0x0567f
2381500:  R.. 0x077fd
2392750:  W.. 0x0b7fd
2411375:  R.. 0x077fe
2422625:  W.. 0x0b7fe
2437625:  R.. 0x1577f
2441375:  R.. 0x077ff
2452625:  W.. 0x0b7ff
2497625:  R.. 0x0587f
2501375:  R.. 0x0787d
2512625:  W.. 0x0b87d
2531375:  R.. 0x0787e
2542625:  W.. 0x0b87e
2557625:  R.. 0x1597f
2561375:  R.. 0x0787f
2572625:  W.. 0x0b87f
2617625:  R.. 0x05a7f
2621375:  R.. 0x078fd
2632625:  W.. 0x0b8fd
2644000:  R.. 0x1ffff
2647750:  R.. 0x1ffff
2651500:  R.. 0x1ffff
2655250:  R.. 0x1ffff
2659000:  R.. 0x078fe
2670250:  W.. 0x0b8fe
2690375:  R.. 0x078ff
2702125:  W.. 0x0b8ff
2750875:  R.. 0x0797d
2762250:  W.. 0x0b97d
2782875:  R.. 0x0797e
2794125:  W.. 0x0b97e
2812750:  R.. 0x0797f
2824000:  W.. 0x0b97f
2839000:  R.. 0x15b7f
2872750:  R.. 0x079fd
2884000:  W.. 0x0b9fd
2899000:  R.. 0x05c7f
2902750:  R.. 0x079fe
2914000:  W.. 0x0b9fe
2932750:  R.. 0x079ff
2943875:  W.. 0x0b9ff
2959000:  R.. 0x15d7f
2992625:  R.. 0x07a7d
3004000:  W.. 0x0ba7d
3019000:  R.. 0x05e7f
3022750:  R.. 0x07a7e
3034000:  W.. 0x0ba7e
3052750:  R.. 0x07a7f
3064000:  W.. 0x0ba7f
3079000:  R.. 0x15f7f
3112875:  R.. 0x07afd
3124125:  W.. 0x0bafd
3139125:  R.. 0x0607f
3142875:  R.. 0x07afe
3154125:  W.. 0x0bafe
3172875:  R.. 0x07aff
3184125:  W.. 0x0baff
3199250:  R.. 0x1617f
3232875:  R.. 0x07b7d
3244125:  W.. 0x0bb7d
3259125:  R.. 0x0627f
3262875:  R.. 0x07b7e
3274125:  W.. 0x0bb7e
3285375:  R.. 0x1ffff
3289125:  R.. 0x1ffff
3292875:  R.. 0x1ffff
3296625:  R.. 0x1ffff
3300375:  R.. 0x07b7f
3311625:  W.. 0x0bb7f
3362125:  R.. 0x07bfd
3373375:  W.. 0x0bbfd
3392125:  R.. 0x07bfe
3403375:  W.. 0x0bbfe
3424000:  R.. 0x07bff
3435250:  W.. 0x0bbff
3480375:  R.. 0x1637f
3484125:  R.. 0x07c7d
3495375:  W.. 0x0bc7d
3514125:  R.. 0x07c7e
3525375:  W.. 0x0bc7e
3540375:  R.. 0x0647f
3544125:  R.. 0x07c7f
3555500:  W.. 0x0bc7f
3600500:  R.. 0x1657f
3604250:  R.. 0x07cfd
3615500:  W.. 0x0bcfd
3634250:  R.. 0x07cfe
3645500:  W.. 0x0bcfe
3660500:  R.. 0x0667f
3664250:  R.. 0x07cff
3675500:  W.. 0x0bcff
3720500:  R.. 0x1677f
3724250:  R.. 0x07d7d
3735500:  W.. 0x0bd7d
3754125:  R.. 0x07d7e
3765375:  W.. 0x0bd7e
3780375:  R.. 0x0687f
3784125:  R.. 0x07d7f
3795375:  W.. 0x0bd7f
3840375:  R.. 0x1697f
3844125:  R.. 0x07dfd
3855375:  W.. 0x0bdfd
3874125:  R.. 0x07dfe
3885375:  W.. 0x0bdfe
3900375:  R.. 0x06a7f
3904125:  R.. 0x07dff
3915500:  W.. 0x0bdff
3926750:  R.. 0x1ffff
3930500:  R.. 0x1ffff
3934250:  R.. 0x1ffff
3938000:  R.. 0x1ffff
3964250:  R.. 0x07e7d
3977375:  W.. 0x0be7d
3996125:  R.. 0x07e7e
4007500:  W.. 0x0be7e
4026250:  R.. 0x07e7f
4037500:  W.. 0x0be7f
4088125:  R.. 0x07efd
