 8125:  W.. 0x05d7d
28750:  R.. 0x01d7e
40000:  W.. 0x05d7e
58750:  R.. 0x01d7f
70000:  W.. 0x05d7f
85000:  R.. 0x1437f
118625:  R.. 0x01dfd
129875:  W.. 0x05dfd
144875:  R.. 0x0447f
148625:  R.. 0x01dfe
159875:  W.. 0x05dfe
178625:  R.. 0x01dff
189875:  W.. 0x05dff
204875:  R.. 0x1457f
238625:  R.. 0x01e7d
249875:  W.. 0x05e7d
264875:  R.. 0x0467f
268625:  R.. 0x01e7e
279875:  W.. 0x05e7e
298625:  R.. 0x01e7f
309875:  W.. 0x05e7f
324875:  R.. 0x1477f
358750:  R.. 0x01efd
370000:  W.. 0x05efd
385000:  R.. 0x0487f
388750:  R.. 0x01efe
400000:  W.. 0x05efe
418750:  R.. 0x01eff
430000:  W.. 0x05eff
445125:  R.. 0x1497f
478875:  R.. 0x01f7d
490125:  W.. 0x05f7d
505125:  R.. 0x04a7f
508750:  R.. 0x01f7e
520000:  W.. 0x05f7e
531250:  R.. 0x1ffff
535000:  R.. 0x1ffff
538750:  R.. 0x1ffff
542500:  R.. 0x1ffff
546250:  R.. 0x01f7f
557500:  W.. 0x05f7f
608125:  R.. 0x01ffd
619375:  W.. 0x05ffd
638000:  R.. 0x01ffe
649250:  W.. 0x05ffe
669875:  R.. 0x01fff
681125:  W.. 0x05fff
726250:  R.. 0x14b7f
730000:  R.. 0x0207d
741250:  W.. 0x0607d
760000:  R.. 0x0207e
771250:  W.. 0x0607e
786250:  R.. 0x04c7f
790000:  R.. 0x0207f
801375:  W.. 0x0607f
846375:  R.. 0x14d7f
850125:  R.. 0x020fd
861375:  W.. 0x060fd
880125:  R.. 0x020fe
891375:  W.. 0x060fe
906375:  R.. 0x04e7f
910125:  R.. 0x020ff
921375:  W.. 0x060ff
966375:  R.. 0x14f7f
970125:  R.. 0x0217d
981375:  W.. 0x0617d
1000125:  R.. 0x0217e
1011375:  W.. 0x0617e
1026375:  R.. 0x0507f
1030125:  R.. 0x0217f
1041250:  W.. 0x0617f
1086250:  R.. 0x1517f
1090000:  R.. 0x021fd
1101250:  W.. 0x061fd
1120000:  R.. 0x021fe
1131250:  W.. 0x061fe
1146250:  R.. 0x0527f
1150125:  R.. 0x021ff
1161375:  W.. 0x061ff
1172625:  R.. 0x1ffff
1176375:  R.. 0x1ffff
1180125:  R.. 0x1ffff
1183875:  R.. 0x1ffff
1210125:  R.. 0x0227d
1223250:  W.. 0x0627d
1242000:  R.. 0x0227e
1253375:  W.. 0x0627e
1272125:  R.. 0x0227f
1283375:  W.. 0x0627f
1334000:  R.. 0x022fd
1345250:  W.. 0x062fd
1364000:  R.. 0x022fe
1367750:  R.. 0x1537f
1375250:  W.. 0x062fe
1394000:  R.. 0x022ff
1405250:  W.. 0x062ff
1427750:  R.. 0x0547f
1453875:  R.. 0x0237d
1465125:  W.. 0x0637d
1483875:  R.. 0x0237e
1487625:  R.. 0x1557f
1495125:  W.. 0x0637e
1513875:  R.. 0x0237f
1525125:  W.. 0x0637f
1547625:  R.. 0x0567f
1573875:  R.. 0x023fd
1585125:  W.. 0x063fd
1604000:  R.. 0x023fe
1607750:  R.. 0x1577f
1615250:  W.. 0x063fe
1634000:  R.. 0x023ff
1645250:  W.. 0x063ff
1667750:  R.. 0x0587f
1694125:  R.. 0x0247d
1705375:  W.. 0x0647d
1724125:  R.. 0x0247e
1727875:  R.. 0x1597f
1735375:  W.. 0x0647e
1754125:  R.. 0x0247f
1765375:  W.. 0x0647f
1787875:  R.. 0x05a7f
1814125:  R.. 0x1ffff
1817875:  R.. 0x1ffff
1821625:  R.. 0x1ffff
1825375:  R.. 0x1ffff
1829125:  R.. 0x024fd
1840375:  W.. 0x064fd
1860500:  R.. 0x024fe
1872125:  W.. 0x064fe
1890875:  R.. 0x024ff
1902125:  W.. 0x064ff
1952750:  R.. 0x0257d
1964000:  W.. 0x0657d
1982750:  R.. 0x0257e
1994000:  W.. 0x0657e
2009000:  R.. 0x15b7f
2012750:  R.. 0x0257f
2024000:  W.. 0x0657f
2069125:  R.. 0x05c7f
2072875:  R.. 0x025fd
2084125:  W.. 0x065fd
2102875:  R.. 0x025fe
2114125:  W.. 0x065fe
