    0:  W.v 0x10000
 3375:  R.. 0x1f5ff
10875:  R.. 0x19096
22125:  W.. 0x16fc6
25875:  W.. 0x1d096
44625:  R.. 0x19097
56000:  W.. 0x16fc7
59750:  W.. 0x1d097
63500:  R.. 0x0f6ff
78500:  R.. 0x19098
89750:  W.. 0x1d098
108500:  R.. 0x19099
119750:  W.. 0x1d099
123500:  R.. 0x1f7ff
138500:  R.. 0x1909a
149750:  W.. 0x1d09a
168500:  R.. 0x1909b
172250:  W.. 0x16fc8
179750:  W.. 0x1d09b
183500:  R.. 0x0f8ff
198500:  R.. 0x1909c
206000:  W.. 0x16fc9
209750:  R.. 0x1ffff
213500:  R.. 0x1ffff
217250:  R.. 0x1ffff
221000:  R.. 0x1ffff
224625:  W.. 0x1d09c
239625:  W.. 0x16fca
243375:  R.. 0x1909d
256000:  W.. 0x1d09d
271500:  W.. 0x16fcb
275250:  R.. 0x1909e
286500:  W.. 0x1d09e
305250:  W.. 0x16fcc
309000:  R.. 0x1909f
320250:  W.. 0x1d09f
348375:  W.. 0x16fcd
352125:  R.. 0x190a0
363375:  W.. 0x1d0a0
374625:  W.. 0x16fce
382125:  R.. 0x190a1
393375:  W.. 0x1d0a1
404625:  R.. 0x1f9ff
408375:  W.. 0x16fcf
412125:  R.. 0x190a2
423500:  W.. 0x1d0a2
438500:  W.. 0x16fd0
442250:  R.. 0x190a3
453500:  W.. 0x1d0a3
464750:  R.. 0x0faff
472250:  W.. 0x16fd1
476000:  R.. 0x190a4
487250:  W.. 0x1d0a4
506000:  W.. 0x16fd2
509875:  R.. 0x190a5
521125:  W.. 0x1d0a5
524875:  R.. 0x1fbff
539875:  W.. 0x16fd3
543625:  R.. 0x190a6
554875:  W.. 0x1d0a6
573625:  W.. 0x16fd4
577375:  R.. 0x190a7
584875:  R.. 0x0fcff
588625:  W.. 0x1d0a7
607375:  W.. 0x16fd5
611125:  R.. 0x190a8
622375:  W.. 0x1d0a8
641000:  W.. 0x16fd6
644750:  R.. 0x1fdff
648500:  R.. 0x190a9
659750:  W.. 0x1d0a9
674750:  W.. 0x16fd7
678500:  R.. 0x190aa
689750:  W.. 0x1d0aa
704750:  R.. 0x0feff
708500:  W.. 0x16fd8
712250:  R.. 0x190ab
723500:  W.. 0x1d0ab
742250:  W.. 0x16fd9
746000:  R.. 0x190ac
757250:  W.. 0x1d0ac
764750:  R.. 0x1ffff
776000:  W.. 0x16fda
779750:  R.. 0x190ad
791000:  W.. 0x1d0ad
809750:  W.. 0x16fdb
813500:  R.. 0x190ae
824750:  R.. 0x0003f
828500:  W.. 0x1d0ae
843500:  W.. 0x16fdc
847250:  R.. 0x190af
851000:  R.. 0x1ffff
854750:  R.. 0x1ffff
858500:  R.. 0x1ffff
862250:  R.. 0x1ffff
866000:  W.. 0x1d0af
877375:  W.. 0x16fdd
884875:  R.. 0x190b0
897500:  W.. 0x1d0b0
909250:  W.. 0x16fde
916750:  R.. 0x190b1
928000:  W.. 0x1d0b1
943000:  W.. 0x16fdf
946750:  R.. 0x190b2
958000:  W.. 0x1d0b2
990000:  W.. 0x16fe0
993750:  R.. 0x190b3
1005000:  W.. 0x1d0b3
1008750:  W.. 0x16fe1
1023750:  R.. 0x190b4
1035000:  W.. 0x1d0b4
1042375:  W.. 0x16fe2
1046250:  R.. 0x1013f
1053625:  R.. 0x190b5
1064875:  W.. 0x1d0b5
1076125:  W.. 0x16fe3
1083625:  R.. 0x190b6
1094875:  W.. 0x1d0b6
1106125:  R.. 0x0023f
1109875:  W.. 0x16fe4
1113625:  R.. 0x190b7
1124875:  W.. 0x1d0b7
