 2375:  W.. 0x1d91b
24875:  W.. 0x1d91c
47375:  W.. 0x1d91d
54750:  R.. 0x0123f
69750:  W.. 0x1d91e
92250:  W.. 0x1d91f
99750:  R.. 0x14668
114750:  R.. 0x1133f
118500:  W.. 0x1d920
141000:  W.. 0x1d921
163500:  W.. 0x1d922
174750:  R.. 0x0143f
186000:  W.. 0x1d923
208500:  W.. 0x1d924
231000:  W.. 0x1d925
234750:  R.. 0x1153f
253500:  W.. 0x1d926
276000:  W.. 0x1d927
287250:  R.. 0x14669
294750:  R.. 0x0163f
298500:  W.. 0x1d928
321125:  W.. 0x1d929
343625:  W.. 0x1d92a
354875:  R.. 0x1173f
366125:  W.. 0x1d92b
388625:  W.. 0x1d92c
392375:  R.. 0x1466a
411125:  W.. 0x1d92d
415000:  R.. 0x0183f
433625:  W.. 0x1d92e
456125:  W.. 0x1d92f
474875:  R.. 0x1193f
478625:  W.. 0x1d930
493625:  R.. 0x1466b
501125:  R.. 0x1ffff
504875:  R.. 0x1ffff
508625:  R.. 0x1ffff
512375:  R.. 0x1ffff
516125:  W.. 0x1d931
538625:  W.. 0x1d932
563000:  W.. 0x1d933
585375:  W.. 0x1d934
596625:  R.. 0x1466c
607875:  W.. 0x1d935
639750:  W.. 0x1d936
662375:  W.. 0x1d937
684875:  W.. 0x1d938
696125:  R.. 0x01a3f
703625:  R.. 0x1466d
707375:  W.. 0x1d939
729875:  W.. 0x1d93a
752500:  W.. 0x1d93b
756250:  R.. 0x11b3f
775000:  W.. 0x1d93c
797500:  W.. 0x1d93d
805000:  R.. 0x1466e
816250:  R.. 0x01c3f
820000:  W.. 0x1d93e
842500:  W.. 0x1d93f
865000:  W.. 0x1d940
876250:  R.. 0x11d3f
887500:  W.. 0x1d941
910000:  R.. 0x1466f
913750:  W.. 0x1d942
936250:  R.. 0x01e3f
940000:  W.. 0x1d943
962500:  W.. 0x1d944
984875:  W.. 0x1d945
996125:  R.. 0x11f3f
1007375:  W.. 0x1d946
1011125:  R.. 0x14670
1029875:  W.. 0x1d947
1052375:  W.. 0x1d948
1056125:  R.. 0x0203f
1074875:  W.. 0x1d949
1097375:  W.. 0x1d94a
1116250:  R.. 0x1213f
1120000:  R.. 0x14671
1123750:  W.. 0x1d94b
1142500:  R.. 0x1ffff
1146250:  R.. 0x1ffff
1150000:  R.. 0x1ffff
1153750:  R.. 0x1ffff
1157500:  W.. 0x1d94c
1180000:  W.. 0x1d94d
1204375:  W.. 0x1d94e
1219500:  R.. 0x14672
1227000:  W.. 0x1d94f
1249500:  W.. 0x1d950
1281375:  W.. 0x1d951
1303875:  W.. 0x1d952
1322625:  R.. 0x14673
1326375:  W.. 0x1d953
1337625:  R.. 0x0223f
1348875:  W.. 0x1d954
1371375:  W.. 0x1d955
1393750:  W.. 0x1d956
1397500:  R.. 0x1233f
1416250:  W.. 0x1d957
1423750:  R.. 0x14674
1438750:  W.. 0x1d958
1457500:  R.. 0x0243f
1461250:  W.. 0x1d959
1483750:  W.. 0x1d95a
1506250:  W.. 0x1d95b
1517500:  R.. 0x1253f
1528750:  R.. 0x14675
1532500:  W.. 0x1d95c
1555000:  W.. 0x1d95d
1577625:  R.. 0x0263f
1581375:  W.. 0x1d95e
1603875:  W.. 0x1d95f
1626375:  W.. 0x1d960
1633875:  R.. 0x14676
1637625:  R.. 0x1273f
1648875:  W.. 0x1d961
1671500:  W.. 0x1d962
1694000:  W.. 0x1d963
1697750:  R.. 0x0283f
1716500:  W.. 0x1d964
1735250:  R.. 0x14677
1739000:  W.. 0x1d965
1757750:  R.. 0x1293f
1761500:  W.. 0x1d966
1784000:  R.. 0x1ffff
1787625:  R.. 0x1ffff
1791375:  R.. 0x1ffff
1795125:  R.. 0x1ffff
1798875:  W.. 0x1d967
1821375:  W.. 0x1d968
1842000:  R.. 0x14678
1845750:  W.. 0x1d969
1868250:  W.. 0x1d96a
1890750:  W.. 0x1d96b
1922625:  W.. 0x1d96c
1941375:  R.. 0x14679
1945125:  W.. 0x1d96d
1967625:  W.. 0x1d96e
1978875:  R.. 0x02a3f
1990125:  W.. 0x1d96f
2012625:  W.. 0x1d970
2035250:  W.. 0x1d971
2039000:  R.. 0x12b3f
2046500:  R.. 0x1467a
2057750:  W.. 0x1d972
2080250:  W.. 0x1d973
2099000:  R.. 0x02c3f
2102750:  W.. 0x1d974
2125375:  W.. 0x1d975
2147875:  R.. 0x1467b
2151625:  W.. 0x1d976
2159125:  R.. 0x12d3f
2174125:  W.. 0x1d977
2196500:  W.. 0x1d978
2219000:  R.. 0x02e3f
2222750:  W.. 0x1d979
2245250:  W.. 0x1d97a
2252750:  R.. 0x1467c
2267750:  W.. 0x1d97b
2279000:  R.. 0x12f3f
2290250:  W.. 0x1d97c
2312750:  W.. 0x1d97d
2335250:  W.. 0x1d97e
2339000:  R.. 0x0303f
2357750:  W.. 0x1d97f
2399000:  R.. 0x1313f
2406500:  W.. 0x1d980
2425250:  R.. 0x1ffff
2429000:  R.. 0x1ffff
2432750:  R.. 0x1ffff
2436500:  R.. 0x1ffff
2440250:  R.. 0x1467d
2444000:  W.. 0x1d981
2467000:  W.. 0x1d982
2491000:  W.. 0x1d983
2513500:  W.. 0x1d984
2536000:  W.. 0x1d985
2543500:  R.. 0x1467e
2564125:  W.. 0x1d986
2586625:  W.. 0x1d987
2609125:  W.. 0x1d988
2620375:  R.. 0x0323f
2631625:  W.. 0x1d989
2646625:  R.. 0x1467f
2654125:  W.. 0x1d98a
