 3375:  R.v 0x05f1c
 5375:  Rbv 0x05f1d
 7250:  Rbv 0x05f1e
 9125:  Rbv 0x05f1f
12875:  R.. 0x0d624
18500:  R.v 0x05f20
20375:  Rbv 0x05f21
22250:  Rbv 0x05f22
24125:  Rbv 0x05f23
27875:  R.. 0x0d628
33500:  R.v 0x05f24
35375:  Rbv 0x05f25
37250:  Rbv 0x05f26
39125:  Rbv 0x05f27
42875:  R.. 0x0d62c
45625:  R.. 0x0587f
48500:  R.v 0x05f28
50375:  Rbv 0x05f29
52250:  Rbv 0x05f2a
54125:  Rbv 0x05f2b
57875:  R.. 0x0d630
63500:  R.v 0x05f2c
65375:  Rbv 0x05f2d
67250:  Rbv 0x05f2e
69125:  Rbv 0x05f2f
72875:  R.. 0x0d634
78500:  R.v 0x05f30
80375:  Rbv 0x05f31
82250:  Rbv 0x05f32
84125:  Rbv 0x05f33
87875:  R.. 0x0d638
93500:  R.v 0x05f34
95500:  Rbv 0x05f35
97375:  Rbv 0x05f36
99250:  Rbv 0x05f37
103000:  R.. 0x0d63c
105750:  R.. 0x1597f
108625:  R.v 0x05f38
110500:  Rbv 0x05f39
112375:  Rbv 0x05f3a
114250:  Rbv 0x05f3b
118000:  R.. 0x0d640
123625:  R.v 0x05f3c
125500:  Rbv 0x05f3d
127375:  Rbv 0x05f3e
129250:  Rbv 0x05f3f
133000:  R.. 0x0d644
138625:  R.v 0x05f40
140500:  Rbv 0x05f41
142375:  Rbv 0x05f42
144250:  Rbv 0x05f43
148000:  R.. 0x0d648
153625:  R.v 0x05f44
155500:  Rbv 0x05f45
157375:  Rbv 0x05f46
159250:  Rbv 0x05f47
163000:  R.. 0x0d64c
165875:  R.. 0x05a7f
168625:  R.v 0x05f48
170500:  Rbv 0x05f49
172375:  Rbv 0x05f4a
174250:  Rbv 0x05f4b
178000:  R.. 0x0d650
183625:  R.v 0x05f4c
185500:  Rbv 0x05f4d
187375:  Rbv 0x05f4e
189250:  Rbv 0x05f4f
193000:  R.. 0x0d654
198625:  R.v 0x05f50
200500:  Rbv 0x05f51
202375:  Rbv 0x05f52
204250:  Rbv 0x05f53
208000:  R.. 0x0d658
213625:  R.v 0x05f54
215500:  Rbv 0x05f55
217375:  Rbv 0x05f56
219250:  Rbv 0x05f57
223000:  R.. 0x0d65c
225875:  R.. 0x15b7f
228625:  R.v 0x05f58
230500:  Rbv 0x05f59
232375:  Rbv 0x05f5a
234250:  Rbv 0x05f5b
238000:  R.. 0x0d660
243625:  R.v 0x05f5c
245500:  Rbv 0x05f5d
247375:  Rbv 0x05f5e
249250:  Rbv 0x05f5f
253000:  R.. 0x0d664
258625:  R.v 0x05f60
260500:  Rbv 0x05f61
262375:  Rbv 0x05f62
264250:  Rbv 0x05f63
268000:  R.. 0x0d668
273625:  R.v 0x05f64
275500:  Rbv 0x05f65
277375:  Rbv 0x05f66
279250:  Rbv 0x05f67
283000:  R.. 0x0d66c
285750:  R.. 0x05c7f
288625:  R.v 0x05f68
290500:  Rbv 0x05f69
292375:  Rbv 0x05f6a
294250:  Rbv 0x05f6b
298000:  R.. 0x0d670
303500:  R.v 0x05f6c
305500:  Rbv 0x05f6d
307375:  Rbv 0x05f6e
309125:  Rbv 0x05f6f
312875:  R.. 0x0d674
318500:  R.v 0x05f70
320375:  Rbv 0x05f71
322250:  Rbv 0x05f72
324125:  Rbv 0x05f73
327875:  R.. 0x0d678
333500:  R.v 0x05f74
335375:  Rbv 0x05f75
337250:  Rbv 0x05f76
339125:  Rbv 0x05f77
342875:  R.. 0x0d67c
345750:  R.. 0x15d7f
348500:  R.v 0x05f78
350375:  Rbv 0x05f79
352250:  Rbv 0x05f7a
354125:  Rbv 0x05f7b
357875:  R.. 0x1ffff
363500:  R.v 0x05f7c
365375:  Rbv 0x05f7d
367250:  Rbv 0x05f7e
369125:  Rbv 0x05f7f
372875:  R.. 0x0d600
374750:  Rb. 0x0d601
376625:  Rb. 0x0d602
379000:  R.. 0x0d600
380875:  Rb. 0x0d601
382750:  Rb. 0x0d602
387875:  R.. 0x0d80e
389750:  Rb. 0x0d81e
392625:  R.. 0x0d40e
395375:  R.. 0x0d80e
397250:  Rb. 0x0d81e
400125:  R.. 0x0d40e
402875:  R.. 0x0d600
404750:  Rb. 0x0d601
406625:  Rb. 0x0d602
409000:  R.. 0x0d600
410875:  Rb. 0x0d601
412750:  Rb. 0x0d602
419750:  R.. 0x0d80e
421625:  Rb. 0x0d81e
424500:  R.. 0x0d40e
427250:  R.. 0x0d80e
429125:  Rb. 0x0d81e
432000:  R.. 0x0d40e
434750:  R.. 0x0d600
436625:  Rb. 0x0d601
438500:  Rb. 0x0d602
440875:  R.. 0x0d600
442750:  Rb. 0x0d601
444625:  Rb. 0x0d602
449750:  R.. 0x0d80e
451625:  Rb. 0x0d81e
454500:  R.. 0x0d40e
457375:  R.. 0x0d80e
459250:  Rb. 0x0d81e
