  500:  R.v 0x0d443
 4125:  R.. 0x0d648
 9750:  R.v 0x03944
11625:  Rbv 0x03945
13500:  Rbv 0x03946
15375:  Rbv 0x03947
19125:  R.. 0x0d64c
22000:  R.. 0x1dfff
24750:  R.v 0x03948
26625:  Rbv 0x03949
28500:  Rbv 0x0394a
30375:  Rbv 0x0394b
34125:  R.. 0x0d650
37000:  R.. 0x1e61c
39750:  R.v 0x0394c
41625:  Rbv 0x0394d
43500:  Rbv 0x0394e
45375:  Rbv 0x0394f
49125:  R.. 0x0d654
52000:  W.. 0x1e61c
54750:  R.v 0x03950
56625:  Rbv 0x03951
58500:  Rbv 0x03952
60375:  Rbv 0x03953
64125:  R.. 0x0d658
69750:  R.v 0x03954
71625:  Rbv 0x03955
73500:  Rbv 0x03956
75375:  Rbv 0x03957
79125:  R.. 0x0d65c
81875:  R.. 0x0e0ff
84750:  R.v 0x03958
86625:  Rbv 0x03959
88500:  Rbv 0x0395a
90375:  Rbv 0x0395b
94125:  R.. 0x0d660
96875:  R.. 0x1e61d
99750:  R.v 0x0395c
101625:  Rbv 0x0395d
103500:  Rbv 0x0395e
105375:  Rbv 0x0395f
109125:  R.. 0x0d664
111875:  W.. 0x1e61d
114750:  R.v 0x03960
116625:  Rbv 0x03961
118500:  Rbv 0x03962
120375:  Rbv 0x03963
124125:  R.. 0x0d668
129750:  R.v 0x03964
131625:  Rbv 0x03965
133500:  Rbv 0x03966
135375:  Rbv 0x03967
139125:  R.. 0x0d66c
141875:  R.. 0x1e1ff
144750:  R.v 0x03968
146625:  Rbv 0x03969
148500:  Rbv 0x0396a
150375:  Rbv 0x0396b
154125:  R.. 0x0d670
156875:  R.. 0x1e61d
159750:  R.v 0x0396c
161625:  Rbv 0x0396d
163500:  Rbv 0x0396e
165375:  Rbv 0x0396f
169125:  R.. 0x0d674
171875:  W.. 0x1e61d
174750:  R.v 0x03970
176625:  Rbv 0x03971
178500:  Rbv 0x03972
180375:  Rbv 0x03973
184125:  R.. 0x0d678
189750:  R.v 0x03974
191625:  Rbv 0x03975
193500:  Rbv 0x03976
195375:  Rbv 0x03977
199125:  R.. 0x0d67c
201875:  R.. 0x0e2ff
204750:  R.v 0x03978
206625:  Rbv 0x03979
208500:  Rbv 0x0397a
210375:  Rbv 0x0397b
214125:  R.. 0x1ffff
217000:  R.. 0x1e61e
219750:  R.v 0x0397c
221625:  Rbv 0x0397d
223500:  Rbv 0x0397e
225375:  Rbv 0x0397f
229125:  R.. 0x0d600
231000:  Rb. 0x0d601
232875:  Rb. 0x0d602
235250:  R.. 0x0d600
237125:  Rb. 0x0d601
239000:  Rb. 0x0d602
241375:  W.. 0x1e61e
244125:  R.. 0x0d802
246000:  Rb. 0x0d812
248875:  R.. 0x0d402
251625:  R.. 0x0d802
253500:  Rb. 0x0d812
256375:  R.. 0x0d402
259125:  R.. 0x0d600
261000:  Rb. 0x0d601
262875:  Rb. 0x0d602
265250:  R.. 0x0d600
267125:  Rb. 0x0d601
269000:  Rb. 0x0d602
276125:  R.. 0x0d802
278000:  Rb. 0x0d812
280750:  R.. 0x0d402
283625:  R.. 0x0d802
285500:  Rb. 0x0d812
288250:  R.. 0x0d402
291125:  R.. 0x0d600
293000:  Rb. 0x0d601
294875:  Rb. 0x0d602
297250:  R.. 0x0d600
299125:  Rb. 0x0d601
301000:  Rb. 0x0d602
303375:  R.. 0x1e61e
306125:  R.. 0x0d802
308000:  Rb. 0x0d812
310750:  R.. 0x0d402
313625:  R.. 0x0d802
315500:  Rb. 0x0d812
318375:  R.. 0x0d402
321125:  R.. 0x0d600
323000:  Rb. 0x0d601
324875:  Rb. 0x0d602
327250:  R.. 0x0d600
329125:  Rb. 0x0d601
331000:  Rb. 0x0d602
333375:  W.. 0x1e61e
336125:  R.. 0x0d802
338000:  Rb. 0x0d812
340875:  R.. 0x0d402
