 3125:  R.v 0x044f4
 5000:  Rbv 0x044f5
 6875:  Rbv 0x044f6
 8750:  Rbv 0x044f7
12500:  R.. 0x0d67c
15375:  R.. 0x1417f
18125:  R.v 0x044f8
20000:  Rbv 0x044f9
21875:  Rbv 0x044fa
23750:  Rbv 0x044fb
27500:  R.. 0x1ffff
33125:  R.v 0x044fc
35000:  Rbv 0x044fd
36875:  Rbv 0x044fe
38750:  Rbv 0x044ff
42500:  R.. 0x0d640
44375:  Rb. 0x0d641
46250:  Rb. 0x0d642
48625:  R.. 0x0d600
50500:  Rb. 0x0d601
52375:  Rb. 0x0d602
54750:  R.. 0x14ae4
57500:  R.. 0x0da09
59375:  Rb. 0x0da19
62250:  R.. 0x0d509
65000:  R.. 0x0d809
66875:  Rb. 0x0d819
69750:  R.. 0x0d409
72500:  R.. 0x0d600
74500:  Rb. 0x0d601
76375:  Rb. 0x0d602
78625:  R.. 0x0d600
80500:  Rb. 0x0d601
82375:  Rb. 0x0d602
89500:  R.. 0x0d809
91375:  Rb. 0x0d819
94125:  R.. 0x0d409
97000:  R.. 0x0d809
98875:  Rb. 0x0d819
101625:  R.. 0x0d409
104500:  R.. 0x0d600
106375:  Rb. 0x0d601
108250:  Rb. 0x0d602
110500:  R.. 0x0d600
112375:  Rb. 0x0d601
114250:  Rb. 0x0d602
119500:  R.. 0x0d809
121375:  Rb. 0x0d819
124125:  R.. 0x0d409
126875:  R.. 0x0d809
128875:  Rb. 0x0d819
131625:  R.. 0x0d409
134375:  R.. 0x0d600
136250:  Rb. 0x0d601
138125:  Rb. 0x0d602
140500:  R.. 0x0d600
142375:  Rb. 0x0d601
144250:  Rb. 0x0d602
149375:  R.. 0x0d809
151250:  Rb. 0x0d819
154125:  R.. 0x0d409
156875:  R.. 0x0d809
158750:  Rb. 0x0d819
161625:  R.. 0x0d409
179375:  R.. 0x14ae5
188750:  R.. 0x0d600
194375:  R.. 0x1ffff
196250:  Rb. 0x1ffff
198125:  Rb. 0x1ffff
200000:  Rb. 0x1ffff
203750:  R.. 0x0d604
209375:  R.v 0x04500
211250:  Rbv 0x04501
213125:  Rbv 0x04502
215000:  Rbv 0x04503
218750:  R.. 0x0d608
224375:  R.v 0x04504
226250:  Rbv 0x04505
228125:  Rbv 0x04506
230000:  Rbv 0x04507
233750:  R.. 0x0d60c
236500:  R.. 0x0427f
239375:  R.v 0x04508
241250:  Rbv 0x04509
243125:  Rbv 0x0450a
245000:  Rbv 0x0450b
248750:  R.. 0x0d610
254375:  R.v 0x0450c
256250:  Rbv 0x0450d
258125:  Rbv 0x0450e
260000:  Rbv 0x0450f
263750:  R.. 0x0d614
266500:  R.. 0x14ae6
269375:  R.v 0x04510
271250:  Rbv 0x04511
273125:  Rbv 0x04512
275000:  Rbv 0x04513
278625:  R.. 0x0d618
284250:  R.v 0x04514
286125:  Rbv 0x04515
288000:  Rbv 0x04516
289875:  Rbv 0x04517
293625:  R.. 0x0d61c
296500:  R.. 0x1437f
299375:  R.v 0x04518
301125:  Rbv 0x04519
303000:  Rbv 0x0451a
305000:  Rbv 0x0451b
308625:  R.. 0x0d620
314250:  R.v 0x0451c
316250:  Rbv 0x0451d
318125:  Rbv 0x0451e
320000:  Rbv 0x0451f
323750:  R.. 0x0d624
329375:  R.v 0x04520
331250:  Rbv 0x04521
333125:  Rbv 0x04522
335000:  Rbv 0x04523
338750:  R.. 0x0d628
344375:  R.v 0x04524
346250:  Rbv 0x04525
348125:  Rbv 0x04526
350000:  Rbv 0x04527
353750:  R.. 0x0d62c
356500:  R.. 0x0447f
359375:  R.v 0x04528
361250:  Rbv 0x04529
363125:  Rbv 0x0452a
365000:  Rbv 0x0452b
368750:  R.. 0x0d630
371625:  R.. 0x14ae7
374375:  R.v 0x0452c
376250:  Rbv 0x0452d
378125:  Rbv 0x0452e
380000:  Rbv 0x0452f
383750:  R.. 0x0d634
389375:  R.v 0x04530
391250:  Rbv 0x04531
393125:  Rbv 0x04532
395000:  Rbv 0x04533
398750:  R.. 0x0d638
404375:  R.v 0x04534
406250:  Rbv 0x04535
408125:  Rbv 0x04536
410000:  Rbv 0x04537
413750:  R.. 0x0d63c
416625:  R.. 0x1457f
419375:  R.v 0x04538
421375:  Rbv 0x04539
423250:  Rbv 0x0453a
425125:  Rbv 0x0453b
428875:  R.. 0x0d640
434500:  R.v 0x0453c
436375:  Rbv 0x0453d
438250:  Rbv 0x0453e
440125:  Rbv 0x0453f
443875:  R.. 0x0d644
449500:  R.v 0x04540
451375:  Rbv 0x04541
453250:  Rbv 0x04542
455125:  Rbv 0x04543
458875:  R.. 0x0d648
464500:  R.v 0x04544
466375:  Rbv 0x04545
468250:  Rbv 0x04546
470125:  Rbv 0x04547
473875:  R.. 0x0d64c
476750:  R.. 0x0467f
479500:  R.v 0x04548
481375:  Rbv 0x04549
483250:  Rbv 0x0454a
485125:  Rbv 0x0454b
488875:  R.. 0x0d650
491750:  R.. 0x14ae8
494500:  R.v 0x0454c
496375:  Rbv 0x0454d
498250:  Rbv 0x0454e
500125:  Rbv 0x0454f
503875:  R.. 0x0d654
509500:  R.v 0x04550
511375:  Rbv 0x04551
513250:  Rbv 0x04552
515125:  Rbv 0x04553
518875:  R.. 0x0d658
524500:  R.v 0x04554
526375:  Rbv 0x04555
528250:  Rbv 0x04556
530125:  Rbv 0x04557
533875:  R.. 0x0d65c
536750:  R.. 0x1477f
539500:  R.v 0x04558
541375:  Rbv 0x04559
543250:  Rbv 0x0455a
545125:  Rbv 0x0455b
548875:  R.. 0x0d660
554500:  R.v 0x0455c
556375:  Rbv 0x0455d
558250:  Rbv 0x0455e
560125:  Rbv 0x0455f
563875:  R.. 0x0d664
569500:  R.v 0x04560
571375:  Rbv 0x04561
573250:  Rbv 0x04562
575125:  Rbv 0x04563
578875:  R.. 0x0d668
581750:  R.. 0x14ae9
584500:  R.v 0x04564
586375:  Rbv 0x04565
588250:  Rbv 0x04566
590125:  Rbv 0x04567
593875:  R.. 0x0d66c
596750:  R.. 0x0487f
599500:  R.v 0x04568
601375:  Rbv 0x04569
603250:  Rbv 0x0456a
605125:  Rbv 0x0456b
608875:  R.. 0x0d670
614500:  R.v 0x0456c
616375:  Rbv 0x0456d
618250:  Rbv 0x0456e
620125:  Rbv 0x0456f
623875:  R.. 0x0d674
629500:  R.v 0x04570
631375:  Rbv 0x04571
633250:  Rbv 0x04572
635125:  Rbv 0x04573
638875:  R.. 0x0d678
644500:  R.v 0x04574
646375:  Rbv 0x04575
648250:  Rbv 0x04576
650125:  Rbv 0x04577
653875:  R.. 0x0d67c
656625:  R.. 0x1497f
659500:  R.v 0x04578
661375:  Rbv 0x04579
663250:  Rbv 0x0457a
665125:  Rbv 0x0457b
668875:  R.. 0x1ffff
674375:  R.v 0x0457c
676250:  Rbv 0x0457d
678125:  Rbv 0x0457e
680000:  Rbv 0x0457f
683750:  R.. 0x0d640
685625:  Rb. 0x0d641
687500:  Rb. 0x0d642
689875:  R.. 0x0d600
691750:  Rb. 0x0d601
693625:  Rb. 0x0d602
696000:  R.. 0x14aea
698750:  R.. 0x0da0a
700625:  Rb. 0x0da1a
703500:  R.. 0x0d50a
706250:  R.. 0x0d80a
708125:  Rb. 0x0d81a
711000:  R.. 0x0d40a
713750:  R.. 0x0d600
715625:  Rb. 0x0d601
717500:  Rb. 0x0d602
719875:  R.. 0x0d600
721750:  Rb. 0x0d601
723625:  Rb. 0x0d602
730625:  R.. 0x0d80a
732500:  Rb. 0x0d81a
735375:  R.. 0x0d40a
738125:  R.. 0x0d80a
740000:  Rb. 0x0d81a
742875:  R.. 0x0d40a
745625:  R.. 0x0d600
747500:  Rb. 0x0d601
749375:  Rb. 0x0d602
751750:  R.. 0x0d600
753625:  Rb. 0x0d601
755500:  Rb. 0x0d602
760625:  R.. 0x0d80a
762500:  Rb. 0x0d81a
765375:  R.. 0x0d40a
768125:  R.. 0x0d80a
770000:  Rb. 0x0d81a
772875:  R.. 0x0d40a
775625:  R.. 0x0d600
777625:  Rb. 0x0d601
779500:  Rb. 0x0d602
781750:  R.. 0x0d600
783625:  Rb. 0x0d601
785500:  Rb. 0x0d602
787875:  R.. 0x14aeb
790750:  R.. 0x0d80a
792625:  Rb. 0x0d81a
795375:  R.. 0x0d40a
798250:  R.. 0x0d80a
800125:  Rb. 0x0d81a
802875:  R.. 0x0d40a
830125:  R.. 0x0d600
835750:  R.. 0x1ffff
837625:  Rb. 0x1ffff
839500:  Rb. 0x1ffff
841375:  Rb. 0x1ffff
845125:  R.. 0x0d604
850750:  R.v 0x04580
852625:  Rbv 0x04581
854500:  Rbv 0x04582
856375:  Rbv 0x04583
860125:  R.. 0x0d608
865750:  R.v 0x04584
867625:  Rbv 0x04585
869500:  Rbv 0x04586
871375:  Rbv 0x04587
875125:  R.. 0x0d60c
878000:  R.. 0x04a7f
880875:  R.v 0x04588
882750:  Rbv 0x04589
884625:  Rbv 0x0458a
886500:  Rbv 0x0458b
890250:  R.. 0x0d610
893000:  R.. 0x14aec
895875:  R.v 0x0458c
