  250:  R.v 0x06060
 1750:  Rb. 0x06010
 4625:  R.. 0x0d400
 7375:  R.. 0x0d600
 9250:  Rb. 0x0d601
11125:  Rb. 0x0d602
13500:  R.. 0x0d600
15375:  Rb. 0x0d601
17250:  Rb. 0x0d602
20500:  W.. 0x1d416
24250:  R.. 0x0d800
26125:  Rb. 0x0d810
29000:  R.. 0x0d400
31750:  R.. 0x0d800
33625:  Rb. 0x0d810
36500:  R.. 0x0d400
39250:  R.. 0x0d600
41125:  Rb. 0x0d601
43000:  Rb. 0x0d602
45375:  R.. 0x0d600
47250:  Rb. 0x0d601
49125:  Rb. 0x0d602
51500:  R.. 0x19417
54375:  R.. 0x0d800
56250:  Rb. 0x0d810
59000:  R.. 0x0d400
61875:  R.. 0x0d800
63750:  Rb. 0x0d810
66500:  R.. 0x0d400
69375:  R.. 0x0d600
71250:  Rb. 0x0d601
73125:  Rb. 0x0d602
75375:  R.. 0x0d600
77250:  Rb. 0x0d601
79125:  Rb. 0x0d602
81500:  W.. 0x1d417
84375:  R.. 0x0d800
86250:  Rb. 0x0d810
89000:  R.. 0x0d400
91875:  R.. 0x0d800
93750:  Rb. 0x0d810
96500:  R.. 0x0d400
114375:  R.. 0x19418
123750:  R.. 0x0d600
126500:  W.. 0x1d418
129375:  R.. 0x1ffff
131250:  Rb. 0x1ffff
133125:  Rb. 0x1ffff
135000:  Rb. 0x1ffff
138625:  R.. 0x0d604
144250:  R.v 0x00880
146125:  Rbv 0x00881
148000:  Rbv 0x00882
149875:  Rbv 0x00883
153625:  R.. 0x0d608
156500:  R.. 0x19419
159250:  R.v 0x00884
161125:  Rbv 0x00885
163000:  Rbv 0x00886
164875:  Rbv 0x00887
168625:  R.. 0x0d60c
171500:  R.. 0x0d4ff
174250:  R.v 0x00888
176125:  Rbv 0x00889
178000:  Rbv 0x0088a
179875:  Rbv 0x0088b
183625:  R.. 0x0d610
186500:  W.. 0x1d419
189250:  R.v 0x0088c
191125:  Rbv 0x0088d
