  33:  R.d 0x1e37f               R.d 0x1edff               R.d 0x1f87f               R.. 0x002ff
  57:  W.. 0x0237f               W.. 0x02dff               W.. 0x0387f               W.. 0x042ff
  81:               R.d 0x1e8ff               R.d 0x1f37f               R.d 0x1fdff
 105:               W.. 0x028ff               W.. 0x0337f               W.. 0x03dff
 165:  R.d 0x1e3ff               R.d 0x1ee7f               R.d 0x1f8ff               R.. 0x0037f
 189:  W.. 0x023ff               W.. 0x02e7f               W.. 0x038ff               W.. 0x0437f
 213:               R.d 0x1e97f               R.d 0x1f3ff               R.d 0x1fe7f
 237:               W.. 0x0297f               W.. 0x033ff               W.. 0x03e7f
 293:  R.d 0x1e47f               R.d 0x1eeff               R.d 0x1f97f               R.. 0x003ff
 317:  W.. 0x0247f               W.. 0x02eff               W.. 0x0397f
 341:               R.d 0x1e9ff               R.d 0x1f47f               R.d 0x1feff
 365:               W.. 0x029ff               W.. 0x0347f               W.. 0x03eff
 421:  R.d 0x1e4ff               R.d 0x1ef7f               R.d 0x1f9ff
 445:  W.. 0x024ff               W.. 0x02f7f               W.. 0x039ff
 469:               R.d 0x1ea7f               R.d 0x1f4ff               R.d 0x1ff7f
 493:               W.. 0x02a7f               W.. 0x034ff               W.. 0x03f7f
 549:  R.d 0x1e57f               R.d 0x1efff               R.d 0x1fa7f
 573:  W.. 0x0257f               W.. 0x02fff               W.. 0x03a7f
 597:               R.d 0x1eaff               R.d 0x1f57f               R.. 0x1ffff
 621:               W.. 0x02aff               W.. 0x0357f               W.. 0x03fff
 677:  R.d 0x1e5ff               R.d 0x1f07f               R.d 0x1faff
 701:  W.. 0x025ff               W.. 0x0307f               W.. 0x03aff
 725:               R.d 0x1eb7f               R.d 0x1f5ff               R.. 0x0007f
 749:               W.. 0x02b7f               W.. 0x035ff               W.. 0x0407f
 805:  R.d 0x1e67f               R.d 0x1f0ff               R.d 0x1fb7f
 829:  W.. 0x0267f               W.. 0x030ff               W.. 0x03b7f
 853:               R.d 0x1ebff               R.d 0x1f67f               R.. 0x000ff
 877:               W.. 0x02bff               W.. 0x0367f               W.. 0x040ff
 933:  R.d 0x1e6ff               R.d 0x1f17f               R.d 0x1fbff
 957:  W.. 0x026ff               W.. 0x0317f               W.. 0x03bff
 981:               R.d 0x1ec7f               R.d 0x1f6ff               R.. 0x0017f
1005:               W.. 0x02c7f               W.. 0x036ff               W.. 0x0417f
1061:  R.d 0x1e77f               R.d 0x1f1ff               R.d 0x1fc7f
1085:  W.. 0x0277f               W.. 0x031ff               W.. 0x03c7f
1109:               R.d 0x1ecff               R.d 0x1f77f               R.. 0x001ff
1133:               W.. 0x02cff               W.. 0x0377f               W.. 0x041ff
1189:  R.d 0x1e7ff               R.d 0x1f27f               R.d 0x1fcff
1213:  W.. 0x027ff               W.. 0x0327f               W.. 0x03cff
1269:               R.d 0x1ed7f               R.d 0x1f7ff               R.. 0x0027f
1293:               W.. 0x02d7f               W.. 0x037ff               W.. 0x0427f
1317:  R.d 0x1e87f               R.d 0x1f2ff               R.d 0x1fd7f
1345:  W.. 0x0287f               W.. 0x032ff               W.. 0x03d7f
