  29:  W.d 0x1eb01  W.d 0x1ee81  W.d 0x1f201  W.d 0x1f581  W.d 0x1f901  W.d 0x1fc81  W.d 0x00001
 163:  W.d 0x1eb80  W.d 0x1ef00  W.d 0x1f280  W.d 0x1f600  W.d 0x1f980  W.d 0x1fd00  W.d 0x00080
 221:  W.d 0x1eb81  W.d 0x1ef01  W.d 0x1f281  W.d 0x1f601  W.d 0x1f981  W.d 0x1fd01  W.d 0x00081
 349:  W.d 0x1ec00  W.d 0x1ef80  W.d 0x1f300  W.d 0x1f680  W.d 0x1fa00  W.d 0x1fd80
 445:  W.d 0x1ec01  W.d 0x1ef81  W.d 0x1f301  W.d 0x1f681  W.d 0x1fa01  W.d 0x1fd81
 573:  W.d 0x1ec80  W.d 0x1f000  W.d 0x1f380  W.d 0x1f700  W.d 0x1fa80  W.d 0x1fe00
 637:  W.d 0x1ec81  W.d 0x1f001  W.d 0x1f381  W.d 0x1f701  W.d 0x1fa81  W.d 0x1fe01
 765:  W.d 0x1ed00  W.d 0x1f080  W.d 0x1f400  W.d 0x1f780  W.d 0x1fb00  W.d 0x1fe80
 829:  W.d 0x1ed01  W.d 0x1f081  W.d 0x1f401  W.d 0x1f781  W.d 0x1fb01  W.d 0x1fe81
 957:  W.d 0x1ed80  W.d 0x1f100  W.d 0x1f480  W.d 0x1f800  W.d 0x1fb80  W.d 0x1ff00
1021:  W.d 0x1ed81  W.d 0x1f101  W.d 0x1f481  W.d 0x1f801  W.d 0x1fb81  W.d 0x1ff01
1149:  W.d 0x1ee00  W.d 0x1f180  W.d 0x1f500  W.d 0x1f880  W.d 0x1fc00  W.d 0x1ff80
1213:  W.d 0x1ee01  W.d 0x1f181  W.d 0x1f501  W.d 0x1f881  W.d 0x1fc01  W.d 0x1ff81
1331:  W.d 0x1ee80  W.d 0x1f200  W.d 0x1f580  W.d 0x1f900  W.d 0x1fc80  W.d 0x00000
