# Reconstructed CPU request cycles (fit_2026.cc --trellis).
# Per capture: phi is the pin delay used, eps the per-edge tolerance.
# edge  t2 (/CSx rise, VDP cycles)  T (cycle the arbiter saw it)  slot (RAS granted)  dev
# dev = T - floor(t2 + phi), non-zero only for an edge that the
# tolerance let tip to the neighbouring cycle. Only captures whose
# reconstruction reproduced the .txt exactly are listed.

capture scr5-dispOff-stop-rdwrCpu-1g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.03026  eps 0.00000  edges 115  grants 113  pre-capture request no
   0     66.006      77       96     0  outside
   1    137.455     148      164     0
   2    209.172     220      236     0
   3    280.622     291      308     0
   4    352.206     363      380     0
   5    423.522     434      452     0
   6    495.238     506      524     0
   7    566.688     577      596     0
   8    638.272     649      676     0
   9    709.895     720      740     0
  10    781.305     792      812     0
  11    852.754     863      884     0
  12    924.471     935      956     0
  13    995.921    1006     1028     0
  14   1067.505    1078     1100     0
  15   1138.821    1149     1172     0
  16   1389.429    1400     1416     0
  17   1460.879    1471     1488     0
  18   1532.463    1543     1564     0
  19   1603.778    1614     1636     0
  20   1675.495    1686     1708     0
  21   1746.945    1757     1788     0
  22   1818.661    1829     1852     0
  23   1890.111    1901     1924     0
  24   1961.695    1972     1988     0
  25   2033.011    2044     2060     0
  26   2104.728    2115     2132     0
  27   2176.178    2187     2204     0
  28   2247.762    2258     2276     0
  29   2319.384    2330     2348     0
  30   2390.794    2401     2428     0
  31   2462.244    2473     2492     0
  32   2533.960    2544     2564     0
  33   2605.410    2616     2636     0
  34   2676.994    2688     2712     0
  35   2748.310    2759     2776     0
  36   2820.027    2831     2848     0
  37   2891.477    2902     2924     0
  38   2963.193    2974     2996     0
  39   3034.643    3045     3068     0
  40   3106.227    3117     3140     0
  41   3177.543    3188     3204     0
  42   3249.259    3260     3284     0
  43   3320.709    3331     3348     0
  44   3392.293    3403     3420     0
  45   3463.916    3474     3492     0
  46   3535.326    3546     3564     0
  47   3606.776    3617     3636     0
  48   3678.492    3689     3708     0
  49   3749.942    3760     3780     0
  50   3821.526    3832     3852     0
  51   3892.842    3903     3924     0
  52   3964.558    3975     4004     0
  53   4036.008    4047     4070     0
  54   4107.725    4118     4136     0
  55   4179.175    4190     4208     0
  56   4429.516    4440     4460     0
  57   4500.966    4511     4532     0
  58   4572.682    4583     4604     0
  59   4644.132    4655     4676     0
  60   4715.716    4726     4748     0
  61   4787.032    4798     4820     0
  62   4858.749    4869     4892     0
  63   4930.199    4941     4964     0
  64   5001.783    5012     5036     0
  65   5073.405    5084     5100     0
  66   5144.815    5155     5172     0
  67   5216.265    5227     5244     0
  68   5287.981    5299     5316     0
  69   5359.431    5370     5388     0
  70   5431.015    5442     5464     0
  71   5502.331    5513     5536     0
  72   5574.048    5585     5636     0
  73   5645.498    5656     5676     0
  74   5717.214    5728     5748     0
  75   5788.664    5799     5820     0
  76   5860.248    5871     5892     0
  77   5931.564    5942     5964     0
  78   6003.280    6014     6036     0
  79   6074.730    6085     6108     0
  80   6146.314    6157     6180     0
  81   6217.937    6228     6244     0
  82   6289.347    6300     6316     0
  83   6360.797    6371     6388     0
  84   6432.513    6443     6460     0
  85   6503.963    6514     6532     0
  86   6575.547    6586     6604     0
  87   6646.863    6657     6676     0
  88   6718.579    6729     6748     0
  89   6790.029    6801     6824     0
  90   6861.746    6872     6888     0
  91   6933.196    6944     6960     0
  92   7004.780    7015     7036     0
  93   7076.096    7087     7108     0
  94   7147.812    7158     7180     0
  95   7219.262    7230     7260     0
  96   7469.738    7480     7500     0
  97   7541.053    7552     7572     0
  98   7612.770    7623     7644     0
  99   7684.220    7695     7716     0
 100   7755.804    7766     7788     0
 101   7827.426    7838     7860     0
 102   7898.836    7909     7932     0
 103   7970.286    7981     8004     0
 104   8042.002    8053     8108     0
 105   8113.452    8124     8140     0
 106   8185.037    8196     8216     0
 107   8256.352    8267     8288     0
 108   8328.069    8339     8372     0
 109   8399.519    8410     8428     0
 110   8471.235    8482     8500     0
 111   8542.685    8553     8572     0
 112   8614.269    8625     8644     0
 113   8685.585    8696     8716     0
 114   8757.301    8768     8788     0  outside

capture scr5-dispOff-stop-rdwrCpu-2g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 10.93582  eps 0.00000  edges 115  grants 113  pre-capture request no
   0    313.383     324      340     0  outside
   1    384.968     395      420     0
   2    456.285     467      484     0
   3    528.003     538      556     0
   4    599.453     610      628     0
   5    671.171     682      700     0
   6    742.622     753      772     0
   7    814.207     825      844     0
   8    885.524     896      916     0
   9    957.242     968      988     0
  10   1028.693    1039     1060     0
  11   1100.410    1111     1132     0
  12   1171.861    1182     1204     0
  13   1243.312    1254     1276     0
  14   1314.763    1325     1352     0
  15   1386.481    1397     1416     0
  16   1457.932    1468     1488     0
  17   1529.517    1540     1556     0
  18   1600.834    1611     1628     0
  19   1672.551    1683     1700     0
  20   1744.002    1754     1772     0
  21   1815.720    1826     1844     0
  22   1887.171    1898     1916     0
  23   2137.516    2148     2172     0
  24   2208.967    2219     2236     0
  25   2280.684    2291     2308     0
  26   2352.135    2363     2380     0
  27   2423.720    2434     2452     0
  28   2495.037    2505     2524     0
  29   2566.755    2577     2596     0
  30   2638.206    2649     2668     0
  31   2709.923    2720     2736     0
  32   2781.374    2792     2808     0
  33   2852.825    2863     2900     0
  34   2924.276    2935     2956     0
  35   2995.994    3006     3028     0
  36   3067.445    3078     3100     0
  37   3139.030    3149     3172     0
  38   3210.347    3221     3244     0
  39   3282.064    3293     3316     0
  40   3353.515    3364     3380     0
  41   3425.233    3436     3452     0
  42   3496.684    3507     3524     0
  43   3568.269    3579     3596     0
  44   3639.586    3650     3668     0
  45   3711.303    3722     3740     0
  46   3782.754    3793     3812     0
  47   3854.472    3865     3884     0
  48   3925.923    3936     3956     0
  49   3997.374    4008     4028     0
  50   4068.825    4079     4104     0
  51   4140.543    4151     4168     0
  52   4211.993    4222     4268     0
  53   4283.579    4294     4316     0
  54   4354.895    4365     4396     0
  55   4426.613    4437     4460     0
  56   4498.064    4508     4524     0
  57   4569.782    4580     4596     0
  58   4641.233    4652     4668     0
  59   4712.818    4723     4740     0
  60   4784.135    4795     4812     0
  61   4855.852    4866     4884     0
  62   4927.303    4938     4956     0
  63   5177.782    5188     5204     0
  64   5249.099    5260     5276     0
  65   5320.817    5331     5372     0
  66   5392.268    5403     5420     0
  67   5463.985    5474     5496     0
  68   5535.436    5546     5568     0
  69   5607.021    5617     5636     0
  70   5678.338    5689     5708     0
  71   5750.056    5760     5780     0
  72   5821.507    5832     5852     0
  73   5893.092    5904     5924     0
  74   5964.409    5975     5996     0
  75   6036.126    6047     6068     0
  76   6107.577    6118     6148     0
  77   6179.295    6190     6212     0
  78   6250.746    6261     6284     0
  79   6322.331    6333     6356     0
  80   6393.648    6404     6420     0
  81   6465.365    6476     6492     0
  82   6536.816    6547     6564     0
  83   6608.534    6619     6636     0
  84   6679.985    6690     6740     0
  85   6751.436    6762     6780     0
  86   6822.887    6833     6856     0
  87   6894.604    6905     6928     0
  88   6966.055    6976     7004     0
  89   7037.641    7048     7068     0
  90   7108.957    7119     7140     0
  91   7180.675    7191     7212     0
  92   7252.126    7263     7284     0
  93   7323.843    7334     7356     0
  94   7395.294    7406     7428     0
  95   7466.880    7477     7500     0
  96   7538.196    7549     7572     0
  97   7609.914    7620     7644     0
  98   7681.365    7692     7708     0
  99   7753.083    7764     7780     0
 100   7824.533    7835     7852     0
 101   7895.984    7906     7924     0
 102   7967.435    7978     7996     0
 103   8218.047    8228     8248     0
 104   8289.498    8300     8320     0
 105   8360.949    8371     8388     0
 106   8432.400    8443     8460     0
 107   8504.118    8515     8532     0
 108   8575.569    8586     8604     0
 109   8647.154    8658     8676     0
 110   8718.470    8729     8756     0
 111   8790.188    8801     8820     0
 112   8861.639    8872     8892     0
 113   8933.357    8944     8964     0
 114   9004.808    9015     9036     0  outside

capture scr5-dispOff-stop-rdwrCpu-3g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 10.76694  eps 0.25000  edges 114  grants 114  pre-capture request no
