 2750:  R.. 0x0bebf
 6500:  R.. 0x18384
17750:  W.. 0x1c384
32750:  R.. 0x1444d
47750:  R.. 0x18385
59000:  W.. 0x1c385
62750:  R.. 0x1bfbf
66500:  R.. 0x1444e
89000:  R.. 0x18386
100375:  R.. 0x1444f
104125:  W.. 0x1c386
122875:  R.. 0x0c0ff
130375:  R.. 0x14450
134125:  R.. 0x18387
145375:  W.. 0x1c387
164125:  R.. 0x14451
175375:  R.. 0x18388
183000:  R.. 0x1c1ff
186625:  W.. 0x1c388
198000:  R.. 0x14452
216750:  R.. 0x18389
228000:  W.. 0x1c389
231750:  R.. 0x14453
243000:  R.. 0x0c2ff
258000:  R.. 0x1838a
265500:  R.. 0x14454
269250:  W.. 0x1c38a
299250:  R.. 0x14455
303000:  R.. 0x1c3ff
306750:  R.. 0x1838b
318000:  W.. 0x1c38b
329250:  R.. 0x1ffff
333000:  R.. 0x1ffff
336750:  R.. 0x1ffff
340500:  R.. 0x1ffff
344250:  R.. 0x14456
348000:  R.. 0x1838c
359250:  W.. 0x1c38c
366750:  R.. 0x14457
391000:  R.. 0x1838d
402250:  R.. 0x14458
406000:  W.. 0x1c38d
432250:  R.. 0x14459
436000:  R.. 0x1838e
447250:  W.. 0x1c38e
467875:  R.. 0x1445a
475375:  R.. 0x1838f
486625:  W.. 0x1c38f
501625:  R.. 0x1445b
516625:  R.. 0x18390
524125:  R.. 0x0c4ff
527875:  W.. 0x1c390
535375:  R.. 0x1445c
558000:  R.. 0x18391
569250:  R.. 0x1445d
573000:  W.. 0x1c391
584250:  R.. 0x1c5ff
603000:  R.. 0x1445e
606750:  R.. 0x18392
618000:  W.. 0x1c392
636875:  R.. 0x1445f
644375:  R.. 0x0c6ff
648125:  R.. 0x18393
659375:  W.. 0x1c393
670625:  R.. 0x14460
689375:  R.. 0x18394
700625:  W.. 0x1c394
704375:  R.. 0x1c7ff
730625:  R.. 0x18395
741875:  W.. 0x1c395
764375:  R.. 0x0c8ff
771875:  R.. 0x18396
783125:  W.. 0x1c396
786875:  R.. 0x14461
813000:  R.. 0x18397
820500:  R.. 0x14462
824250:  R.. 0x1c9ff
828000:  W.. 0x1c397
854250:  R.. 0x14463
858000:  R.. 0x18398
869250:  W.. 0x1c398
884250:  R.. 0x0caff
888000:  R.. 0x14464
899250:  R.. 0x18399
910500:  W.. 0x1c399
921750:  R.. 0x14465
940500:  R.. 0x1839a
944250:  R.. 0x1cbff
951750:  W.. 0x1c39a
955500:  R.. 0x14466
970500:  R.. 0x1ffff
974250:  R.. 0x1ffff
978000:  R.. 0x1ffff
981750:  R.. 0x1ffff
985500:  R.. 0x14467
989250:  R.. 0x1839b
1000625:  W.. 0x1c39b
1021250:  R.. 0x14468
1032500:  R.. 0x1839c
1043750:  W.. 0x1c39c
1055000:  R.. 0x14469
1073750:  R.. 0x1839d
1085000:  W.. 0x1c39d
1088875:  R.. 0x1446a
1113250:  R.. 0x1839e
1120750:  R.. 0x1446b
1124500:  W.. 0x1c39e
1154500:  R.. 0x1446c
1158250:  R.. 0x1839f
1165750:  R.. 0x0ccff
1169500:  W.. 0x1c39f
1188250:  R.. 0x1446d
1199375:  R.. 0x183a0
1210625:  W.. 0x1c3a0
1221875:  R.. 0x1446e
1225625:  R.. 0x1cdff
1240625:  R.. 0x183a1
1251875:  W.. 0x1c3a1
1255625:  R.. 0x1446f
1281875:  R.. 0x183a2
1285625:  R.. 0x0ceff
1289375:  R.. 0x14470
1293125:  W.. 0x1c3a2
1323125:  R.. 0x14471
1326875:  R.. 0x183a3
1338125:  W.. 0x1c3a3
1345625:  R.. 0x1cfff
1356875:  R.. 0x14472
1368125:  R.. 0x183a4
1379375:  W.. 0x1c3a4
1390625:  R.. 0x14473
1405625:  R.. 0x0d0ff
1409375:  R.. 0x183a5
1420625:  W.. 0x1c3a5
1424375:  R.. 0x14474
