 4750:  W.. 0x1c602
27250:  R.. 0x10d3f
31000:  W.. 0x1c603
53500:  W.. 0x1c604
76000:  W.. 0x1c605
87250:  R.. 0x00e3f
98500:  W.. 0x1c606
121000:  W.. 0x1c607
143500:  W.. 0x1c608
147250:  R.. 0x10f3f
166000:  W.. 0x1c609
188500:  W.. 0x1c60a
207250:  R.. 0x0103f
211000:  W.. 0x1c60b
233625:  R.. 0x1ffff
237375:  R.. 0x1ffff
241125:  R.. 0x1ffff
244875:  R.. 0x1ffff
248625:  W.. 0x1c60c
271125:  W.. 0x1c60d
295500:  W.. 0x1c60e
318000:  W.. 0x1c60f
340500:  W.. 0x1c610
372500:  W.. 0x1c611
394875:  W.. 0x1c612
417375:  W.. 0x1c613
428625:  R.. 0x1113f
439875:  W.. 0x1c614
462375:  W.. 0x1c615
484875:  W.. 0x1c616
488625:  R.. 0x0123f
507375:  W.. 0x1c617
529875:  W.. 0x1c618
548625:  R.. 0x1133f
552375:  W.. 0x1c619
574875:  W.. 0x1c61a
597375:  W.. 0x1c61b
608625:  R.. 0x0143f
619875:  W.. 0x1c61c
642375:  W.. 0x1c61d
664875:  W.. 0x1c61e
668625:  R.. 0x1153f
687500:  W.. 0x1c61f
728750:  R.. 0x0163f
736250:  W.. 0x1c680
758750:  W.. 0x1c681
781250:  W.. 0x1c682
788750:  R.. 0x1173f
803750:  W.. 0x1c683
826250:  W.. 0x1c684
848750:  R.. 0x0183f
852500:  W.. 0x1c685
875000:  R.. 0x1ffff
878750:  R.. 0x1ffff
882500:  R.. 0x1ffff
886250:  R.. 0x1ffff
890000:  W.. 0x1c686
912500:  W.. 0x1c687
936875:  W.. 0x1c688
959250:  W.. 0x1c689
981750:  W.. 0x1c68a
1013625:  W.. 0x1c68b
1036125:  W.. 0x1c68c
1058750:  W.. 0x1c68d
1070000:  R.. 0x1193f
1081250:  W.. 0x1c68e
1103750:  W.. 0x1c68f
1126250:  W.. 0x1c690
1130000:  R.. 0x01a3f
1148750:  W.. 0x1c691
1171375:  W.. 0x1c692
1190125:  R.. 0x11b3f
1193875:  W.. 0x1c693
1216375:  W.. 0x1c694
1238875:  W.. 0x1c695
1250125:  R.. 0x01c3f
1261375:  W.. 0x1c696
1283875:  W.. 0x1c697
1306375:  W.. 0x1c698
1310125:  R.. 0x11d3f
1328875:  W.. 0x1c699
1351375:  W.. 0x1c69a
1370000:  R.. 0x01e3f
1373750:  W.. 0x1c69b
1396250:  W.. 0x1c69c
1418750:  W.. 0x1c69d
1430000:  R.. 0x11f3f
1441250:  W.. 0x1c69e
1463750:  W.. 0x1c69f
1490000:  R.. 0x0203f
1512625:  W.. 0x1c700
1516375:  R.. 0x1ffff
1520125:  R.. 0x1ffff
1523875:  R.. 0x1ffff
1527625:  R.. 0x1ffff
1535125:  W.. 0x1c701
1558125:  W.. 0x1c702
1582000:  W.. 0x1c703
1604500:  W.. 0x1c704
1627125:  W.. 0x1c705
1655250:  W.. 0x1c706
1677750:  W.. 0x1c707
1700250:  W.. 0x1c708
1711500:  R.. 0x1213f
1722750:  W.. 0x1c709
1745250:  W.. 0x1c70a
1767750:  W.. 0x1c70b
1771500:  R.. 0x0223f
1790125:  W.. 0x1c70c
1812625:  W.. 0x1c70d
1831375:  R.. 0x1233f
1835125:  W.. 0x1c70e
1857625:  W.. 0x1c70f
1880125:  W.. 0x1c710
1891375:  R.. 0x0243f
1902625:  W.. 0x1c711
1925125:  W.. 0x1c712
1947625:  W.. 0x1c713
1951375:  R.. 0x1253f
1970250:  W.. 0x1c714
1992750:  W.. 0x1c715
2011500:  R.. 0x0263f
2015250:  W.. 0x1c716
2037750:  W.. 0x1c717
2060375:  W.. 0x1c718
2071625:  R.. 0x1273f
2082875:  W.. 0x1c719
