 9875:  W.. 0x1ff43
32500:  W.. 0x1ff44
36250:  R.. 0x06c7f
55000:  W.. 0x1ff45
77500:  W.. 0x1ff46
96250:  R.. 0x16d7f
100000:  W.. 0x1ff47
122500:  W.. 0x1ff48
145000:  W.. 0x1ff49
156250:  R.. 0x06e7f
167500:  W.. 0x1ff4a
190000:  W.. 0x1ff4b
212375:  W.. 0x1ff4c
216125:  R.. 0x16f7f
234875:  W.. 0x1ff4d
257375:  W.. 0x1ff4e
276125:  R.. 0x0707f
279875:  W.. 0x1ff4f
302375:  W.. 0x1ff50
324875:  W.. 0x1ff51
336125:  R.. 0x1717f
347375:  W.. 0x1ff52
369875:  W.. 0x1ff53
392500:  W.. 0x1ff54
396250:  R.. 0x0727f
415000:  W.. 0x1ff55
422500:  R.. 0x1ffff
426250:  R.. 0x1ffff
430000:  R.. 0x1ffff
433750:  R.. 0x1ffff
437500:  W.. 0x1ff56
460000:  W.. 0x1ff57
484375:  W.. 0x1ff58
507000:  W.. 0x1ff59
529500:  W.. 0x1ff5a
561375:  W.. 0x1ff5b
583875:  W.. 0x1ff5c
606250:  W.. 0x1ff5d
617500:  R.. 0x1737f
628750:  W.. 0x1ff5e
651250:  W.. 0x1ff5f
673750:  W.. 0x1ff60
677500:  R.. 0x0747f
696250:  W.. 0x1ff61
718750:  W.. 0x1ff62
737500:  R.. 0x1757f
741250:  W.. 0x1ff63
763750:  W.. 0x1ff64
786250:  W.. 0x1ff65
797500:  R.. 0x0767f
808750:  W.. 0x1ff66
831250:  W.. 0x1ff67
853875:  W.. 0x1ff68
857625:  R.. 0x1777f
876375:  W.. 0x1ff69
898875:  W.. 0x1ff6a
917625:  R.. 0x0787f
921375:  W.. 0x1ff6b
944000:  W.. 0x1ff6c
966500:  W.. 0x1ff6d
977750:  R.. 0x1797f
989000:  W.. 0x1ff6e
1011375:  W.. 0x1ff6f
1033875:  W.. 0x1ff70
1037625:  R.. 0x07a7f
1056375:  W.. 0x1ff71
1063875:  R.. 0x1ffff
1067625:  R.. 0x1ffff
1071375:  R.. 0x1ffff
1075125:  R.. 0x1ffff
1078875:  W.. 0x1ff72
1101375:  W.. 0x1ff73
1125750:  W.. 0x1ff74
1148250:  W.. 0x1ff75
1170750:  W.. 0x1ff76
1202625:  W.. 0x1ff77
1225125:  W.. 0x1ff78
1247625:  W.. 0x1ff79
1258875:  R.. 0x17b7f
1270125:  W.. 0x1ff7a
1292750:  W.. 0x1ff7b
1315250:  W.. 0x1ff7c
1319000:  R.. 0x07c7f
1337750:  W.. 0x1ff7d
1360250:  W.. 0x1ff7e
1379000:  R.. 0x17d7f
1382750:  W.. 0x1ff7f
