15750:  R.. 0x1617f
30750:  R.. 0x1ebd7
42000:  W.. 0x1ebd7
75750:  R.. 0x0627f
98250:  R.. 0x1ec57
109500:  W.. 0x1ec57
135875:  R.. 0x1637f
150875:  R.. 0x1ec58
162125:  R.. 0x1ffff
165875:  R.. 0x1ffff
169625:  R.. 0x1ffff
173375:  R.. 0x1ffff
177125:  W.. 0x1ec58
235250:  R.. 0x1ecd8
246500:  W.. 0x1ecd8
300875:  R.. 0x1ecd9
312125:  W.. 0x1ecd9
357125:  R.. 0x0647f
368375:  R.. 0x1ed59
379625:  W.. 0x1ed59
417000:  R.. 0x1657f
420750:  R.. 0x1ed5a
432000:  W.. 0x1ed5a
477000:  R.. 0x0667f
488250:  R.. 0x1edda
499500:  W.. 0x1edda
537125:  R.. 0x1677f
540875:  R.. 0x1eddb
552125:  W.. 0x1eddb
597250:  R.. 0x0687f
608500:  R.. 0x1ee5b
619750:  W.. 0x1ee5b
657250:  R.. 0x1697f
661000:  R.. 0x1ee5c
672250:  W.. 0x1ee5c
717250:  R.. 0x06a7f
728500:  R.. 0x1eedc
739750:  W.. 0x1eedc
777250:  R.. 0x16b7f
781000:  R.. 0x1eedd
792125:  W.. 0x1eedd
803375:  R.. 0x1ffff
807125:  R.. 0x1ffff
810875:  R.. 0x1ffff
814625:  R.. 0x1ffff
849750:  R.. 0x1ef5d
861500:  W.. 0x1ef5d
902750:  R.. 0x1ef5e
914000:  W.. 0x1ef5e
972250:  R.. 0x1efde
983500:  W.. 0x1efde
998500:  R.. 0x06c7f
1024750:  R.. 0x1efdf
1036000:  W.. 0x1efdf
1058625:  R.. 0x16d7f
1092375:  R.. 0x1f05f
1103625:  W.. 0x1f05f
1118625:  R.. 0x06e7f
1144875:  R.. 0x1f060
1156125:  W.. 0x1f060
1178625:  R.. 0x16f7f
1212250:  R.. 0x1f0e0
1223500:  W.. 0x1f0e0
1238500:  R.. 0x0707f
1264750:  R.. 0x1f0e1
1276000:  W.. 0x1f0e1
1298500:  R.. 0x1717f
1332250:  R.. 0x1f161
1343500:  W.. 0x1f161
1358500:  R.. 0x0727f
1384750:  R.. 0x1f162
1396000:  W.. 0x1f162
1418625:  R.. 0x1737f
1444875:  R.. 0x1ffff
1448625:  R.. 0x1ffff
1452375:  R.. 0x1ffff
1456125:  R.. 0x1ffff
1459875:  R.. 0x1f1e2
1471125:  W.. 0x1f1e2
1514375:  R.. 0x1f1e3
1525625:  W.. 0x1f1e3
1583750:  R.. 0x1f263
1594875:  W.. 0x1f263
1636125:  R.. 0x1f264
1639875:  R.. 0x0747f
1647375:  W.. 0x1f264
1699875:  R.. 0x1757f
1703625:  R.. 0x1f2e4
1714875:  W.. 0x1f2e4
1756125:  R.. 0x1f2e5
1759875:  R.. 0x0767f
1767375:  W.. 0x1f2e5
1819875:  R.. 0x1777f
1823625:  R.. 0x1f365
1834875:  W.. 0x1f365
1876250:  R.. 0x1f366
1880000:  R.. 0x0787f
1887500:  W.. 0x1f366
1940000:  R.. 0x1797f
1943750:  R.. 0x1f3e6
1955000:  W.. 0x1f3e6
1996250:  R.. 0x1f3e7
2000000:  R.. 0x07a7f
2007500:  W.. 0x1f3e7
2060000:  R.. 0x17b7f
2063750:  R.. 0x1f467
2075000:  W.. 0x1f467
2086250:  R.. 0x1ffff
2090000:  R.. 0x1ffff
2093750:  R.. 0x1ffff
2097500:  R.. 0x1ffff
2116250:  R.. 0x1f468
2127875:  W.. 0x1f468
2185625:  R.. 0x1f4e8
2196875:  W.. 0x1f4e8
2236250:  R.. 0x1f4e9
2247500:  W.. 0x1f4e9
2281250:  R.. 0x07c7f
2303875:  R.. 0x1f569
2315125:  W.. 0x1f569
2341375:  R.. 0x17d7f
2356375:  R.. 0x1f56a
2367625:  W.. 0x1f56a
2401375:  R.. 0x07e7f
2423875:  R.. 0x1f5ea
2435125:  W.. 0x1f5ea
2461375:  R.. 0x17f7f
2476375:  R.. 0x1f5eb
2487625:  W.. 0x1f5eb
2521375:  R.. 0x080bf
2543875:  R.. 0x1f66b
2555000:  W.. 0x1f66b
2581250:  R.. 0x181bf
2596250:  R.. 0x1f66c
2607500:  W.. 0x1f66c
2641250:  R.. 0x082bf
2663875:  R.. 0x1f6ec
2675125:  W.. 0x1f6ec
2701375:  R.. 0x183bf
2716375:  R.. 0x1f6ed
2727625:  R.. 0x1ffff
2731375:  R.. 0x1ffff
2735125:  R.. 0x1ffff
2738875:  R.. 0x1ffff
2742625:  W.. 0x1f6ed
2800875:  R.. 0x1f76d
2812125:  W.. 0x1f76d
2866500:  R.. 0x1f76e
2877750:  W.. 0x1f76e
2922750:  R.. 0x084bf
2934000:  R.. 0x1f7ee
2945250:  W.. 0x1f7ee
2982625:  R.. 0x185bf
2986375:  R.. 0x1f7ef
2997625:  W.. 0x1f7ef
3042625:  R.. 0x086bf
3053875:  R.. 0x1f86f
3065125:  W.. 0x1f86f
3102625:  R.. 0x187bf
3106375:  R.. 0x1f870
3117625:  W.. 0x1f870
3162750:  R.. 0x088bf
3174000:  R.. 0x1f8f0
3185250:  W.. 0x1f8f0
3222875:  R.. 0x189bf
3226625:  R.. 0x1f8f1
3237875:  W.. 0x1f8f1
3282875:  R.. 0x08abf
3294125:  R.. 0x1f971
3305375:  W.. 0x1f971
3342875:  R.. 0x18bbf
3346625:  R.. 0x1f972
3357750:  W.. 0x1f972
3369000:  R.. 0x1ffff
3372750:  R.. 0x1ffff
3376500:  R.. 0x1ffff
3380250:  R.. 0x1ffff
3415375:  R.. 0x1f9f2
3427125:  W.. 0x1f9f2
3468375:  R.. 0x1f9f3
3479625:  W.. 0x1f9f3
3537750:  R.. 0x1fa73
3549000:  W.. 0x1fa73
3564125:  R.. 0x08cbf
3590375:  R.. 0x1fa74
3601625:  W.. 0x1fa74
3624125:  R.. 0x18dbf
3658000:  R.. 0x1faf4
3669250:  W.. 0x1faf4
3684250:  R.. 0x08ebf
3710500:  R.. 0x1faf5
3721750:  W.. 0x1faf5
3744250:  R.. 0x18fbf
3777875:  R.. 0x1fb75
3789125:  W.. 0x1fb75
3804125:  R.. 0x090bf
3830375:  R.. 0x1fb76
3841625:  W.. 0x1fb76
3864125:  R.. 0x191bf
3897875:  R.. 0x1fbf6
3909125:  W.. 0x1fbf6
3924125:  R.. 0x092bf
3950375:  R.. 0x1fbf7
3961625:  W.. 0x1fbf7
3984125:  R.. 0x193bf
4010500:  R.. 0x1ffff
4014250:  R.. 0x1ffff
4018000:  R.. 0x1ffff
4021750:  R.. 0x1ffff
4025500:  R.. 0x1fc77
4036750:  W.. 0x1fc77
4079875:  R.. 0x1fc78
4091125:  W.. 0x1fc78
