 6000:  R.. 0x1a68b
21000:  R.. 0x1e68b
32250:  W.. 0x1e68b
71625:  R.. 0x1a68c
86625:  R.. 0x1e68c
98000:  W.. 0x1e68c
128000:  R.. 0x1437f
131750:  R.. 0x1a68c
146750:  R.. 0x1e68c
158000:  W.. 0x1e68c
188000:  R.. 0x0447f
191750:  R.. 0x1a68d
206750:  R.. 0x1e68d
218000:  W.. 0x1e68d
248000:  R.. 0x1457f
251750:  R.. 0x1a68d
266750:  R.. 0x1e68d
278000:  W.. 0x1e68d
308000:  R.. 0x0467f
311750:  R.. 0x1a68e
326625:  R.. 0x1e68e
337875:  W.. 0x1e68e
367875:  R.. 0x1477f
371625:  R.. 0x1a68e
386625:  R.. 0x1e68e
397875:  W.. 0x1e68e
427875:  R.. 0x0487f
431625:  R.. 0x1a68f
446625:  R.. 0x1e68f
458000:  W.. 0x1e68f
488000:  R.. 0x1497f
491750:  R.. 0x1a68f
506750:  R.. 0x1e68f
518000:  W.. 0x1e68f
548125:  R.. 0x04a7f
551875:  R.. 0x1a690
566875:  R.. 0x1e690
574375:  R.. 0x1ffff
578125:  R.. 0x1ffff
581875:  R.. 0x1ffff
585625:  R.. 0x1ffff
589375:  W.. 0x1e690
620750:  R.. 0x1a690
636250:  R.. 0x1e690
647500:  W.. 0x1e690
677500:  R.. 0x1a691
692500:  R.. 0x1e691
713125:  W.. 0x1e691
743000:  R.. 0x1a691
758000:  R.. 0x1e691
769250:  R.. 0x14b7f
773000:  W.. 0x1e691
803000:  R.. 0x1a692
818000:  R.. 0x1e692
829250:  R.. 0x04c7f
833000:  W.. 0x1e692
863000:  R.. 0x1a692
878000:  R.. 0x1e692
889250:  R.. 0x14d7f
893000:  W.. 0x1e692
923125:  R.. 0x1a693
938125:  R.. 0x1e693
949375:  R.. 0x04e7f
953125:  W.. 0x1e693
983125:  R.. 0x1a693
998125:  R.. 0x1e693
1009500:  R.. 0x14f7f
1013250:  W.. 0x1e693
1043250:  R.. 0x1a694
1058250:  R.. 0x1e694
1069500:  R.. 0x0507f
1073250:  W.. 0x1e694
1103250:  R.. 0x1a694
1118250:  R.. 0x1e694
1129500:  R.. 0x1517f
1133125:  W.. 0x1e694
1163125:  R.. 0x1a695
1178125:  R.. 0x1e695
1189375:  R.. 0x0527f
1193125:  W.. 0x1e695
1215625:  R.. 0x1ffff
1219375:  R.. 0x1ffff
1223125:  R.. 0x1ffff
1226875:  R.. 0x1ffff
1230625:  R.. 0x1a695
1245625:  R.. 0x1e695
1257250:  W.. 0x1e695
1288750:  R.. 0x1a696
1303750:  R.. 0x1e696
1315000:  W.. 0x1e696
1354375:  R.. 0x1a696
1369500:  R.. 0x1e696
1380750:  W.. 0x1e696
1410750:  R.. 0x1537f
1414500:  R.. 0x1a697
1429500:  R.. 0x1e697
1440750:  W.. 0x1e697
1470875:  R.. 0x0547f
1474625:  R.. 0x1a697
1489625:  R.. 0x1e697
1500875:  W.. 0x1e697
1530875:  R.. 0x1557f
1534500:  R.. 0x1a698
1549500:  R.. 0x1e698
1560750:  W.. 0x1e698
1590750:  R.. 0x0567f
1594500:  R.. 0x1a698
1609500:  R.. 0x1e698
1620750:  W.. 0x1e698
1650750:  R.. 0x1577f
1654500:  R.. 0x1a699
1669500:  R.. 0x1e699
1680750:  W.. 0x1e699
1710750:  R.. 0x0587f
1714500:  R.. 0x1a699
1729500:  R.. 0x1e699
1740750:  W.. 0x1e699
1770750:  R.. 0x1597f
1774500:  R.. 0x1a69a
1789500:  R.. 0x1e69a
1800750:  W.. 0x1e69a
1830875:  R.. 0x05a7f
1834625:  R.. 0x1a69a
1849625:  R.. 0x1e69a
1857125:  R.. 0x1ffff
1860875:  R.. 0x1ffff
1864625:  R.. 0x1ffff
1868375:  R.. 0x1ffff
1872125:  W.. 0x1e69a
1903625:  R.. 0x1a69b
1919000:  R.. 0x1e69b
1930250:  W.. 0x1e69b
1960250:  R.. 0x1a69b
1975250:  R.. 0x1e69b
1995875:  W.. 0x1e69b
2025875:  R.. 0x1a69c
2040875:  R.. 0x1e69c
2052125:  R.. 0x15b7f
2055875:  W.. 0x1e69c
2085750:  R.. 0x1a69c
2100750:  R.. 0x1e69c
2112000:  R.. 0x05c7f
2115750:  W.. 0x1e69c
2145750:  R.. 0x1a69d
2160875:  R.. 0x1e69d
2172125:  R.. 0x15d7f
2175875:  W.. 0x1e69d
2205875:  R.. 0x1a69d
2220875:  R.. 0x1e69d
2232125:  R.. 0x05e7f
2235875:  W.. 0x1e69d
2266000:  R.. 0x1a69e
2281000:  R.. 0x1e69e
2292250:  R.. 0x15f7f
2296000:  W.. 0x1e69e
2326000:  R.. 0x1a69e
2341000:  R.. 0x1e69e
2352250:  R.. 0x0607f
2356000:  W.. 0x1e69e
2386000:  R.. 0x1a69f
2401000:  R.. 0x1e69f
2412250:  R.. 0x1617f
2416000:  W.. 0x1e69f
2446000:  R.. 0x1a69f
2461000:  R.. 0x1e69f
2472125:  R.. 0x0627f
